eng,afr,zul,xho,ssw,nbl,nso,tsn,sot,ven,tso
bride service,bruidsdiens,ukusebenzela umakoti,inkonzo yomtshakazi,emalobolo,umsebenzi kamakoti,tirelo ya monyadi,tirelo ya monyadiwa,tshebeletso ya bohadi,tshumelavhuhwe,"ndzovolo, ku ba tihomu"
bride wealth,"bruidskat, lobola ",umnotho kamakoti,ubutyebi bomtshakazi,"ingcebo yamakoti, umhlambiso",umnotho kamakoti,mahumo a monyadi,khumo ya monyadi,matshidiso a ba bohweng,ndifhelavhomakhulu,midzivuriso
bureaucracy ,burokrasie,ibhyurokhrasi,ulawulo lwabantu abaqeshiweyo ,umbuso lophetfwe tisebenti tahulumende ,"ibhiriyokhresi, umbuso ophethwe ziinsebenzi zikarhulumende",birokrasi,birokerasi,birokerasi (mokgwa wa tlhahlamano ya mesebetsi),birokirasi,matirhelo hi ku landzelerisa nxanxamelo wa matshamelo ya vurhangeri
capitalism,kapitalisme,ubungxowankulu,inkqubo yelizwe elawulwa yimali,kuba nemali lenyenti yekucala ibhizinisi,ihlelo lomnotho onzinze ezandleni zabantu bangeqadi,bokapitale,bokapitalise,bokapitale,khephithaḽizimu,mphamelo wa vukorhokeri eka vaaki hi ndlela yo bindzurisa
cargo cults,vragkultusse,imikhankaso yemilingo  yokulingisa izindlela zaseYurophu kwezomnotho,iinkqubo zonqulo zomthwalo,tinkholo te-cargo,isiqhema esihlangene ngekolo ethileko,mokgwa wa tumelo ya dithoto,mekgatlho e e dumelang mo khumong ya dithoto,mekgwa ya bodumedi ya ho ithuisa ,lupfumomanditi,mphahlo wa swikwembu
Cartesian,Cartesies,"okuthathelwe emibonweni yesazi sefilosofi, uDescartes",ifilosofi yenzululwazi yendalo (i-cartesian),i-Cartesian ,ihlathululo neembonelo zemitjho,Cartesian,Khathešiene,Mokgwa wa Carte,Tshikhatheshia,mulandzeri wa Descartes
caste system,kastestelsel,uhlelo lwekhasti,inkqubo yodidi lwabantu,luhlobo lwekutalwa ekhatsi esitukulwaneni sakubo,ikambiso yokuhlukanisa abanjingileko nabatlhagako,mokgwa wa kabelo,tsamaiso ya go farologanya ka tsalo,mokgwa wa ho kgetholla ho ya ka tswalo,sisiṱeme ya khasithi,muhlawuriwa/mukhethwa
cattle complex,beeskompleks,isikhundla nomnotho ngokwezinkomo umuntu anazo,indawo yemfuyo yeenkomo,bunhlonhla,ukwaba ipahla ngokuyabelana,leruo,thuo ya dikgomo,mokgwa wa dikgomo,maitele a lupfumothakha,rifuwo
chiefdom,"kapteinskap, hoofmanskap",ubukhosi,ubukhosi,bukhosi besikhulu,ubukhosi,"bogoši, borena",bogosi,borena,vhuhosi,vuhosi
clan,stamgroep,isizwe senkosi eyodwa,isiduko,lusendvo,ikoro,mohlobo,losika,leloko,"lusese, lushaka",nyimba
class,klas,ikilasi labantu,udidi,licembu,amalunga wesiqhema somphakathi,maemo,setlhopha (go ya ka maemo a loago),maemo a batho,"vhuimo, tshiimo",ntlawa
class consciousness,klassebewustheid,ukwazi ngekilasi,ukuthanda umgangatho,kwatisa licembu,ikolelo yabantu,temogo ya maemo,temogo ya maemo,tsotello ya maemo,"tshiṱalula nga vhuimo, tshiimo",vutitwi bya ntlawa
classificatory kinship terms,geordende verwantskapterme,amathemu okuhlela ezobundeni ngokwamakilasi,amagama okuhlela ngokobuzalwane,kuhlelenjiswa kwemagama ebuhlobo,ukuhlelwa kwamathemu wobuhlobo,mareo a go aroganya meloko,mareo a karologanyo ya losika  ,mareo a ho hlophisa kamano lelapeng,mathemo a vhushakavhuangaredzi,mutswala
cohort (stat.),kohort (stat.),ikhohothi,iqela labantu abanento ebadibanisayo,licembu lebantfu labatelwe eminyakeni lengu-5,isiqhema,dithaka,setlhopha sa balekane ba ba welang mo pakeng ya dingwagatlhano,balekane,"murole, thanga",tintangha
commodification,kommodifiëring,ukuguqulela kokuthengiswayo,ukulungisa kunye,"kwenta umkhicito, imphahla yekutsengwa",okuligugu,kgwebofatša,kgwebofatso,ho fetola ntho hore e be thepa e nang le boleng,vhubindudzi,swixavisiwa swa nkoka
communitas,gemeenskapsgees,ikhomyunithasi,umoya wobudlelwane,kuba moyamunye kwemmango,ummoya wokubumbana emphakathini,tšhomišanommogo ya setšhaba,mowa wa bommogo,moya wa kopano,vhuthihi,vunyandzayin'we
conjugal relationship,huweliksverhouding,ubudlelwane babaganeneyo,unxulumano lomtshato,budlelwane balabashadene,itjhebiswano ngokuthathana,tswalano magareng ga bagatša,kamano ya banyalani,kamano ya ba nyalaneng,vhudzekani,varhandzani
"consanguineal kin (consanguinity, consanguineous)",bloedverwante,izihlobo zegazi,"izalamane ngokwegazi (ngokwegazi, ngegazi)",sihlobo sengati,isihlobo seengazi,"tswalano ka madi, pelego",kamano ya madi,kamano ya madi,vhushaka nga malofha,maxaka ya ngati
