id,eng__001,eng__002,eng__003,eng__004,afr__001,afr__002,afr__003,afr__004,afr__005,zul__001,zul__002,zul__003,xho__001,xho__002,xho__003,xho__004,ssw__001,ssw__002,ssw__003,ssw__004,ssw__005,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,nso__001,nso__002,nso__003,sot__001,sot__002,sot__003,sot__004,ven__001,ven__002,ven__003,ven__004,tso__001,tso__002,tso__003,tso__004
dsac_multi_hum_00011,balance <n.> {e.g. in bank account},,,,balans,bankbalans,,,,ibhalansi,,,ibhalansi,intsalela,,,imali lekhona,ibhalansi,,,,imali esebhanga,ibhalansi,,,maditshalelo,balanse,,palantshe ka pankeng,,,balanse,masalla,,,tshelede tsalela,,,,nsalo,,,
dsac_multi_hum_00012,balanced budget,,,,gebalanseerde begroting,,,,,isabelozimali esilinganisiwe,,,uhlahlo-mali olulungelelanisiweyo,ibhajethi elungelelanisiweyo,,,liphakelotimali lelilinganisiwe,ibhajethi lelinganisiwe,umcombelelotimali lolinganisiwe,,,isabelomali esaneleko,,,,tekanyetsokabotlhomameng,,,patšete yeo e lekanetšego,tekanyetšo yeo e lekanetšego,,tekanyetso e tsitsitseng,bajete e tsitsitseng,,,ndinganyamugaganyagwama,mugaganyagwama wo linganywaho,,,mpimanyeto wo ringanela,,,
dsac_multi_hum_00013,balanced economy,,,,gebalanseerde ekonomie,,,,,ezomnotho ezilinganisiwe,,,uqoqosho oluzinzileyo,,,,umnotfo losimeme,,,,,umnotho odzimeleleko,,,,ikonomitlhomameng,,,ikonomi yeo e lekanetšego,,,moru o tsitsitseng,,,,ikonomi yo linganywaho,,,,ikhonomi yo ringanela,,,
dsac_multi_hum_00014,balance of payments,,,,betalingsbalans,bb,,,,ukulinganiswa kwenkokhelo,i-bop,,ingxelo-mali yorhwebelwano namanye amazwe,i-bop,,,sitatimende setinkhokhelo,,,,,isitatimende senarha sokuthengiselana,isitatimende selizwe sokuthengiselana,,,tuelokanegotlhomameng,tshupatuelotlhomameng,,palantshe morago ga ditefelo,,,rekoto ya ditefello matjhabeng,,,,mbadelondinganywa,,,,nsalo wa tihakelo,,,
dsac_multi_hum_00015,balance of trade,,,,handelsbalans,,,,,ahlukomanani lokuhwebelana,,,umahluko kwixabiso lorhwebelwano namanye amazwe,,,,umehlukokuhwebelana,,,,,umehluko wamanani wokurhwebelana,,,,tshupakgwebisano,,,palantshe ya kgwebišano,,,botsitso ba kgwebisano,,,,ndingano ya mbambadzo,,,,hambano wa nxaviselano,,,
dsac_multi_hum_00016,balance sheet,,,,balansstaat,,,,,uhlasilinganiso sezimali,,,ingxelo yobume bezimali,,,,sitatimendetimali,,,,,isitatimende sobujamomali,,,,tshupatirisotlotlo,,,palantshešiti,letlakala la palantshe,,kakaretso ya direkoto tsa kgwebo,,,,tshitatamennde tsha ndinganyiso,,,,xitatimende xa tshamelotimali,,,
dsac_multi_hum_00017,bank {n.},{organisation rendering financial services},,,,bank,,,,,ibhange,,,ibhanki,,,,libhange,,,,,ibhanga,,,,polokelo,banka,,panka,,,banka,,,,bannga,,,,bangi,,,
dsac_multi_hum_00018,bank account,,,,bankrekening,,,,,i-akhawunti yasebhange,,,i-akhawunti yebhanki,,,,i-akhawunti yasebhange,,,,,i-akhawundi yebhanga,,,,tshupatlotlopanko,tshupatlotlopoloko,,akhaonte ya panka,,,akhaonte ya banka,,,,akhaunthu ya bannga,,,,akhawunti ya bangi,nkota ya bangi,,
dsac_multi_hum_00019,bank deposit slip,,,,bankdepositostrokie,,,,,isiliphu sokufaka ebhange,,,isiliphu sokufaka imali ebhankini,isiliphu sokudiphozitha,,,lipheshana lekudiphoza,siliphu sekufaka imali ebhange,,,,isilibhu sokufaka imali ebhanga,isitlankana sokudibhozitha imali,,,tshupapoloko ya polokelo,tshupapoloko ya banka,,selipi sa dipositi sa panka,setlankana sa peo ya tšhelete,,selipi sa ho kenya tjhelete bankeng,,,,tshiḽipi tsha u bannga,,,,xilipi xo veka mali ebangi,xilipi xo dipozita xa le bangi,,
dsac_multi_hum_00020,banking,,,,bankbedryf,bankwese,,,,ukubhenka,,,ukubhankisha,,,,kubhanga,,,,,ukubhanga,ibhizinisi lokubhanga,,,go boloka,go banka,,go panka,go šomiša panka,,ho banka,,,,u bannga,vhubanngi,,,ku banga,,,
dsac_multi_hum_00021,bank statement,,,,bankstaat,,,,,isitatimende sasebhange,,,inkcazo-mali yebhanki,isitethimenti sebhanki,,,sitatimende sasebhange,,,,,isitatimende sebhanga,,,,tshupatlotlopolokelo,kanegopolokelo,,setatamente sa pankeng,,,seteitemente sa banka,,,,tshitatamennde tsha bannga,,,,xitatimende xa le bangi,,,
dsac_multi_hum_00022,basis point,,,,basispunt,bsp,,,,inkombaluguquko,,,isilinganisi-nguqu kwixabiso,isilinganisi-nguqu kwipesenti yexabiso,,,silinganisosisekelo,,,,,icezusilinganiso,,,,ntlhatekanyetso,,,tekanyotheo,tekanyo ya motheo ka diperesente,,tekanyo ya motheo,,,,ndinganyiso ya mutheo,,,,xipimamali,,,
dsac_multi_hum_00023,bear market {economy},,,,beermark,daalmark,,,,ukwehla kwamanani ezimakethe,,,ukwehla kwexabiso kwiimarike,ukwehla kwexabiso kwiimakethi,,,lwehlomnotfo,kwehla kwemnotfo,kuwa kwemakethe,,,ukwehla kwamandla weemakethe,,,,mmarakaphutlhamo,,,phuhlamommaraka,phuhlamo ya mmaraka,,putlamo ya maraka,,,,vhutsamaraga,vhutsamakete,,,ku wa ka makete,,,
dsac_multi_hum_00024,bid <n.> {an offer},,,,bod,,,,,isincintiswanokuthenga,,,uniko-xabiso,ukubhida,,,kubhida,,,,,ukubhida,,,,peeletso,thekokgaisano,,piti ya fantising,,,boiketo,,,,thengophikhisano,,,,nghandho,,,
dsac_multi_hum_00025,bill <n.> {money owed},,,,rekening,,,,,incwadi yesikweletu,ibhili,,inkcazo-tyala,isitethimenti setyala,,,sitatimendesikweleti,ibhili,,,,ibhili,isitatimende sesikolodo,isitatimende sesikwelede,,tshupamolato,sekoloto,,tšhupamolato,,,tshupamolato,,,,tsumbalandu,tsumbamulandu,,,bili,,,
dsac_multi_hum_00026,black market,,,,swartmark,,,,,uhwebomgunyathi,uhwebosinyenyela,,urhwebo lomgunyathi,urhwebo olungekho mthethweni,,,luhwebomgunyati,kuhweba lokungekho emtsetfweni,,,,ukurhweba ngomgunyathi,imakethe engasisemthethweni,,,mmarakakiletswa,kgwebokiletswa,,kgwebo yeo e sego molaong,,,maraka wa sekgukgu,,,,thengiso nyiledzwa,,,,bindzu ro yirisiwa,,,
dsac_multi_hum_00027,bond {stocks and bonds},,,,obligasie,,,,,ibhondi,,,ibhondi,,,,ibhondi,,,,,ibhondi,,,,bonto,,,ponte,,,bonto,,,,mbofho ndifhelano,bondo,,,bondo,,,
dsac_multi_hum_00028,bonus,,,,bonus,,,,,bhonasi,,,ibhonasi,,,,ibhonasi,,,,,ibhonasi,,,,mogolotlaleletso,bonase,,ponase,,,bonase,,,,nyingamuholo,bonasi,,,bonasi,,,
dsac_multi_hum_00029,bookkeeping,,,,boekhou,boekhoudin,,,,ukugcina amabhuku,,,ugcino-ncwadi zemali,,,,lugcinomabhuku,,,,,ukuphathwa kweencwadi zeemali,,,,tsholodibuka,tsholobukatlotlo,,bolekodi bja dipuku,,,bolekodi ba dibuka,poloko ya dibuka,,,vhuvhulunga mbalelano,vhufarabugu,,,vuhlayisatinkota,vuhlayisatiakhawunti,,
dsac_multi_hum_00030,boom period {economy},,,,bloeitydperk,bloeiperiode,,,,isikhathi sokukhula komnotho,,,ilixa lokunyuka koqoqosho,,,,sikhatsi sekundlondlobala kwemnotfo,sikhatsi sekukhula kwemnotfo,,,,ukubhudluzela kwebhizinisi,,,,pakakgolo,,,nakokgolo ya kgwebo,pakakgolo ya kgwebo,,nako ya kgolo,,,,thithimo ya vhubindudzi,,,,nkarhi wa ndzalo wa bindzu,,,
dsac_multi_hum_00031,break-even point {economy},,,,gelykbreekpunt,,,,,iqophelokulingana,,,ukulingana kwenkcitho nenzuzo,,,,kuhweba lokungenanzuzo nekulahlekelwa,,,,,izinga lokulingana kweendleko nengeniso,,,,ntlhatekanyo,,,pakatekanyo,seemo sa magareng kwebong,,ntlhatekano,,,,nyimelakati ya vhubindudzi,,,,nkarhi wa nkambhindzulo kumbe nkandzahlekelo,,,
dsac_multi_hum_00032,broker {business},,,,makelaar,,,,,umxhumanisikuhwebelana,ibhrokha,,unozakuzaku kurhwebo,ibhrowukha,,,umchumanisikuhwebelana,umsitikuhwebelana,ibhrokha,,,umsebenzeli kezerhwebo,ibhrowukha,,,mogwebisi,,,poroukhara ya kgwebišano,poroukara,,broukara,,,,zhendedzi,,,,muhlanganyetanxaviselano,muburokara,,
dsac_multi_hum_00033,bubble <n.> {financial market},,,,borrel,,,,,ugqamucishi wezomnotho,,,unyuko-maxabiso olumandla ngokukhawuleza,,,,kwenyuka kwemanani ngemandla,kwenyuka kwemakethe ngalokungakalindzeleki,kwenyuka kwemakethe ngekuphangisa,kwehla kwemanani ngalokungakalindzeleki,kwehla kwemanani ngemandla,ikhukhumalontengo,,,,tlhatlogo,,,tlhahlošo ya ditheko ntle le mabaka,,,kgolo ya thetsane,,,,maragapaḓaphimo,maragapfukaphimo,,,ntlakuko wa makete,,,
dsac_multi_hum_00034,budget <n.>,,,,begroting,,,,,isabelomali,uhlahlomali,,uhlahlo lwabiwo-mali,uqingqo-mali,,,liphakelotimali,umcombelelotimali,ibhajethi,luhlelotimali,lwabiwotimali,isabelo seemali,isabelomali,ibhajedi,,tekanyetsokabo,,,tekanyetšo,patšete,,tekanyetso,bajete,,,mbekanyagwama,,,,mpimanyeto,,,
dsac_multi_hum_00035,budget deficit,,,,begrotingstekort,,,,,isabelomali esinganele,,,usilelo kuhlahlo lwabiwo-mali,usilelo kuqingqo-mali,,,sikhebesi,kushoda kweliphakelotimali,kusilela kwebhajethi,kusilela kwemcombelelotimali,kusilela kweliphakelotimali,itlhayelo yesabelo seemali,itlhayelo yesabelomali,itlhayelo yebhajedi,,tlhaelotekanyetsokabo,,,tlhaelelotekanyetšo,tlhaelelo ya patšete,,tlolo ya tekanyetso,tlolo ya bajete,,,ṱhahelelo ya mbekanyagwama,,,,nkayivelo wa mpimanyeto,,,
dsac_multi_hum_00036,building industry,,,,boubedryf,,,,,imboni yezokwakha,,,ushishino lokwakha,,,,ibhizinisi yetekwakha,imboni yetekwakha,,,,ibubulo lokwakha,,,,madirelokago,,,intaseteri ya tša boagi,,,indastri ya kaho,,,,nḓowetshumo ya vhufhaṱi,,,,vumaki bya vuaki,,,
dsac_multi_hum_00037,bull market {economy},,,,bulmark,stygmark,,,,ukukhuphuka kwezimakethe,,,ukunyuka kwexabiso kwiimarike,ukunyuka kwexabiso kwiimakethi,,,kwenyuka kwemakethe,kukhuphuka kwemnotfo,,,,iimakethe ezisemandleni,,,,kgolommaraka,tlhatlogommaraka,,tlhatlogo ya mmaraka,,,matlafalo ya maraka,,,,vhugonya ha maraga,,,,ntlakuko wa makete,,,
dsac_multi_hum_00038,business confidence,,,,sakevertroue,,,,,inkombakuzithemba kwezebhizinisi,,,ukuthembeka kushishino,,,,inkhombakutetsemba ebhizinisini,,,,,ikomba yokuzithemba ebhizinisini,,,,boitshepokgwebong,tshepokgwebong,,boitshepokgwebong,,,letshepa kgwebong,,,,vhuḓifulufheli kha vhubindudzi,,,,vutitshembi ebindzwini,,,
dsac_multi_hum_00039,business management,,,,sakebestuur,,,,,ukuphathwa kwebhizinisi,,,ulawulo lweshishini,,,,kulawula ibhizinisi,kuphatsa ibhizinisi,,,,ukuphathwa kwebhizinisi,,,,taolokgwebo,,,taolokgwebo,taolo ya kgwebo,,tsamaiso ya kgwebo,,,,ndangulo ya vhubindudzi,,,,mafambiselo ya bindzu,,,
dsac_multi_hum_00040,business plan,,,,sakeplan,,,,,umhlahlandlela wokusebenza,uhlelo lwebhizinisi,,isicwangciso seshishini,,,,luhlelobhizinisi,,,,,umtlamo webhizinisi,iplani yebhizinisi,,,lenaanekgwebo,,,leano la kgwebo,,,moralo wa kgwebo,,,,pulane ya vhubindudzi,,,,kungu ra bindzu,,,
dsac_multi_hum_00041,business venture,,,,sakeonderneming,,,,,ukuqhuba ibhizinisi,,,ilinge loshishino,,,,lulingobhizinisi,,,,,ilingelelo lebhizinisi,isilingelelo sebhizinisi,,,tekelelokgwebo,,,bolekadigalekgwebong,maitekelo go tša kgwebo,,teko ya kgwebo,,,,ndingedzo ya vhubindudzi,,,,ndzingeto wa bindzu,,,
dsac_multi_hum_00042,buyer’s market,,,,kopersmark,,,,,imakethe evuna abathengi,,,imarike exhamlisa abathengi,imakethi exhamlisa abathengi,,,imakethe levuna batsengi,imakethe yebatsengi,,,,imakethe ezuzisa abathengi,,,,mmarakelabareki,,,tšweletšontši ya go hola bareki,,,maraka wa bareki,,,,maraga mbuedza vharengi,maraga wa vharengi,,,makete wa vaxavi,,,
dsac_multi_hum_00043,capital {money},,,,kapitaal,kap,,,,ingqalabhizinisi,imali yokuqala ibhizinisi,,inkunzi,,,,imali yekucala ibhizinisi,imali yekusungula ibhizinisi,,,,imali yokusikimisa ibhizinisi,imali yokutlhama ibhizinisi,,,letlole,madi,,khepetlele,matlotlo,,khapitale,,,,tshelede,mali,,,mali,,,
dsac_multi_hum_00044,capital adequacy,,,,kapitaaltoereikendheid,,,,,ingqalabhizinisi eyanele,imali yokuqala ibhizinisi eyanele,,isilinganiso senkunzi,,,,imali lelingene,imali leyenele,,,,isilinganiso sobujamomali esibekiweko,,,,tekanotlole,,,tekanelo ya matlotlo,tekanelo ya dithoto,,khapitale e lekaneng,,,,tshelede yo linganaho,mali yo linganaho,,,ndzinganelo wa mali,,,
dsac_multi_hum_00045,capital flight,,,,kapitaalvlug,,,,,ukuhoxiswa kotshalomali,,,urhoxiso-nkunzi ngabatyali,,,,luhocisomali kubasisi,kubaleka kwebasisi,,,,ukutsonyulwa kwamasiso,ukubalekiswa kwamasiso,,,ntshotlole,tshabisotlole,,kgogelomorago ya khepetlele,kgogelomorago ya dithoto,,palehiso ya khapitale,thobiso ya khapitale,,,ṱhunḓululo ya tshelede,ṱhunḓululo ya mali,,,humesovuvekisi,,,
dsac_multi_hum_00046,capital gain,,,,kapitaalwins,,,,,inzuzo,,,ingeniso yekhapitali,inzuzo yekhapitalii,,,inzuzo,intalo,,,,inzuzo ngepahla,inzuzo yepahla,,,morokotso,koketsegotlole,,lešokotšo go khepetlele,poelo go khepetlele,,phaello ya khapitale,,,,mbuelo ya vhubindudzi,,,,mbuyelo wa mali,,,
dsac_multi_hum_00047,capital intensive <adj.>,,,,kapitaalintensief,,,,,ingqalabhizinisi eningi,,,imfuneko yenkunzi eninzi,isidingo senkunzi eninzi,,,sidzingomali sekucala ibhizinisi,sizumbulu sekucala ibhizinisi,,,,-funako isizumbulu sokusebenza,-funako isizumbulu sokukhiqiza,,,tirisotlolentsi,,,nyakego ya khepetlele ya godimo,nyakego ya dithoto tša godimo,,bokgothokgotho ba tjhelete tshebetsong ya kgwebo,ditshenyehelo tsa khapitale,,,-shumisesaho zwibveledzwa,,,,-swihumelerisiwa leswi lavaka mali yo tala,,,
dsac_multi_hum_00048,capital investment,,,,kapitaalbelegging,,,,,utshalomali ebhizinisini,,,utyalo-nkunzi,,,,lusisomali,luhlanyelomali,lutjalomali,,,amasiso wemali,amasisomali,,,peeletsotlole,,,peeletšokgwebong,peeletšo ya letlotlo,,letsete la khapitale,,,,vhubindudzi nga masheleni,,,,vuvekisi bya mali ebindzwini,,,
dsac_multi_hum_00049,capitalist system,,,,kapitalistiese stelsel,,,,,inqubo yogombela kwesakhe,,,inkqubo yobungxowa-nkulu,,,,luhlelo lwekuhwebabugovu,indlelabukhephithali,indlela yekuhwebabugovu,luhlelobukhephithali,,irherho lobukhephithalisti,,,,bokapitale,,,sekapitale,,,tsamaiso ya bokhapitale,,,,sisteme ya thengiselano,,,,sisiteme ya xikhapitalisi,,,
dsac_multi_hum_00050,capital loss,,,,kapitaalverlies,,,,,ukulahlekelwa,,,ilahleko yekhapitali,,,,lulahlekotimali,lulahlekosizumbulu,,,,ilahlekelo yethengisopahla,,,,tatlhegelotlole,tatlhegelomadi,,tahlegelo ya matlotlo,tahlegelo ya khepetlele,,tahlehelo ya khapitale,,,,ndozwo ya vhubindudzi,,,,ndzahlekelo wa mali enhundzwini,,,
dsac_multi_hum_00051,capital market,,,,kapitaalmark,,,,,imakethe yezimali,,,imarike yezimali,,,,imakethetimali,,,,,imakethe yokurhweba,,,,mmarakatlole,,,mmaraka wa khepetlele,mmaraka wa dithoto,,maraka wa khapitale,,,,maraga wa thengiselano,,,,makete wa swa timali,,,
dsac_multi_hum_00052,capital outlay,,,,kapitaaluitgawe,,,,,izindleko zengcebo empilonde,,,ukunyusa ixabiso lekhapitali,ukunyusa ixabiso le-asethi,ukunyusa ixabiso lokuthenga,,tindleko tebhizinisi,,,,,iindleko zepahla,,,,peeletsothoto,,,ditefelo tša dithoto tša go se šute,ditefelo tša khepetlele tša go se šute,,ditshenyehelo tsa khapitale,,,,tshelede ya mutheo,,,,mali yo xava nhundzu,,,
dsac_multi_hum_00053,capital structure,,,,kapitaalstruktuur,,,,,isimozimali zebhizinisi,,,ubume benkunzi,,,,simotimali sebhizinisi,,,,,ubujamomali bebhizinisi,,,,kemotlole,,,maemo a khepetlele,maemo a dithoto,,boemo ba khapitale,,,,tshivhumbeo tsha masheleni,nyimele ya masheleni,,,xivumbeko xa swa timali,,,
dsac_multi_hum_00054,cartel,,,,kartel,,,,,umbimbi lohwebo,,,imbumba yopheko-maxabiso,ikhatheli,,,bosomabhizinisi labanesivumelwano sentsengo,bosomabhizinisi labanesivumelwanontsengo,tinkampani letinesivumelwanontsengo,ikhatheli,,isigungu sabalawuliintengo,ikhatheli,,,semphatotlamo,khathele,,mokgatlo wa dikhamphani tša go dirišana go laola ditefelo,khathele,,khathele,,,,vhukwila ha vhubindudzi,,,,tifeme to lawula,,,
dsac_multi_hum_00055,cash payment,,,,kontantbetaling,,,,,ukukhokha ngemali,,,intlawulo ngemali,,,,imbadalokheshi,kubhadala ngekheshi,,,,ukubhadala ngemali,imbadalo ngemali,,,madiseatleng,,,tefo ka kheše,,,tefo ka kontane,tefo ka tjhelete,,,mbadelo nga tshelede,,,,hakelo ya khexe,,,
dsac_multi_hum_00056,cash payments journal,,,,kasjoernaal,,,,,ibhuku lezimali ezikhokhiwe,ijenali yezimali ezikhokhiwe,,ijenali yentlawulo ngemali,,,,ijenali yembadalokheshi,,,,,ijenali yokubhadala ngemali,,,,jenalemadiseatleng,,,tšenale ya ditefo ka kheše,,,jenale ya tefo ka kontane,jenale ya tefo ka tjhelete,,,dzhenaḽa dza mbadelo nga tshelede,,,,jenali ya tihakelo ta khexe,,,
dsac_multi_hum_00057,cash receipt,,,,kwitansie,,,,,irisidi,,,irisithi yemali,,,,irisithi yembadalokheshi,lipheshana lembadalokheshi,,,,irasidi yokubhadala,,,,tshupatefo,tshupatuelo,resiti,resiti ya kheše,,,resiti ya tefo ka kontane,resiti ya tefo ka tjhelete,,,tshiḽipi tsha mbadelo,rasithi ya mbadelo,,,rhisiti ra khexe,,,
dsac_multi_hum_00058,cash receipts journal,,,,kasjoernaal,,,,,ijenali yezimali ezingenile,,,ijenali yeerisithi zemali,,,,ijenalirisithi yembadalokheshi,,,,,ijenali yamarasidi wokubhadala,,,,jenaletshupatefo,jenaletshupatuelo,jenaletshuparesiti,tšenale ya diresiti tša tšheke,,,jenale ya diresiti tsa tefo ka kontane,jenale ya diresiti tsa tefo ka tjhelete,,,dzhenaḽa ya zwiḽipi zwa mbadelo,,,,jenali ya tirhisiti ta khexe,,,
dsac_multi_hum_00059,cash register slip,,,,kasregisterstrokie,,,,,isiliphu sesisefo semali,isiliphu sethili,,isiliphu sentlawulo ngemali,,,,siliphu sethili,,,,,isilibhu sethili,isitlankana sethili,,,tshupatheko,,,selipi sa thili,,,selipi sa thili,,,,tshiḽipi tsha thiḽi,rasithi ya thiḽi,,,xilipi xa thili,,,
dsac_multi_hum_00060,central bank,,,,sentrale bank,,,,,ibhange lombuso,,,ibhanki enguvimba,,,,libhangengodla,libhange lesive,,,,ibhanga engamele amanye,ibhanga yenarha,ibhanga yelizwe,,bankabogare,,,pankakgolo,panka ya resefe,,banka e kgolo,,,,bannga ya vhukati,banngakhulwane,,,banginkulu,bangi ya le xikarhi,,
dsac_multi_hum_00061,central planning,,,,sentrale beplanning,,,,,ukuhlelwa komnotho wezwe,,,ucwangciso-qoqosho ngurhulumente,,,,luhlelisomnotfo lwesive,,,,,umtlamo womnotho welizwe,,,,togomaanogare,,,peakanyo ka mmušo,peakanyo ya taolo ya ikonomi ka mmušo,,thero ya moruo wa naha,,,,vhupulanitetshelwa,,,,nkunguhato wa ikhonomi wa tiko,,,
dsac_multi_hum_00062,chain of production,,,,produksieketting,,,,,izigaba zokukhiqiza,,,izigaba zemveliso,,,,luchungechunge lwekukhicita,,,,,ilandelanomkhiqizo,,,,lenaneotlhagiso,,,dikgato tša tšweletšo,,,dikgato tsa tlhahiso,,,,thevhekano ya vhubveledzi,,,,nandzelelano wa andziso,,,
dsac_multi_hum_00063,charge <n.> {money},,,,koste,,,,,intengiso,,,ixabiso,,,,intsengo,inkhokhelo,imbadalo,,,intengo,,,,tlhotlhwa,,,tefelo,poreisi,,tefiso,,,,mutengo,,,,nkoxo,,,
dsac_multi_hum_00064,circular flow,,,,sirkulêre vloei,,,,,umzungezo wezebhizinisi,,,ujikelezo-miba yezemveliso,,,,umjikeletotimali,umjikeletobhizinisi,,,,umzombelezo webhizinisi,,,,kelodiko,,,neeletšano tshepetšong ya kgwebo,kakgolano tshepetšong ya kgwebo,,sedikadikwe sa neeletsano kgwebong,,,,mutevheṱhaḓu wa ikonomi,,,,nandzelelano wo helela wa bindzu,nkhulukondzhendzheleko,,
dsac_multi_hum_00065,close corporation,,,,beslote korporasie,BK,,,,ibhizinisi ledlanzana,inkampani yedlanzana,i-CC,iqumrhu eliqingqiweyo,,,,inkampanigovuka,inkampani lencunyelwe emalunga,inkampani lengakakhululeki,i-CC,,ikhamphani ekhawulelako,ikhamphani evalekileko,,,kgwebonnye,CC,kgwebopotlana,kgwebo ya maloko a go se fete lesome,koporasi ya maloko a go se fete lesome,,koporasi e behetsweng meedi,,,,koporasi ya miraḓo tewa,,,,bindzuvuxirhompfaleko,BVM,,
dsac_multi_hum_00066,closed economy,,,,geslote ekonomie,,,,,umnotho wezwe,,,uqoqosho lokungarhwebelani namanye amazwe,,,,umnotfoluhwebo lotimele,umnotfogovuka wavelonkhe,umnotfo lovalekile,luhwebo lolutimele,,umnotho ovalelweko,,,,ikonomigae,,,ikonomi ya go se gwebišane le dinaga di šele,,,moruo wa lehae,,,,ikonomi tshayambambadzo,,,,ikhonomi yo pfaleka,,,
dsac_multi_hum_00067,closed market,,,,geslote mark,,,,,imakethe yezwe,,,imarike yokungarhwebelani namanye amazwe,,,,imakethe letimele,imakethe levalekile,,,,imakethe ekhawulelweko,imakethe evalelweko,,,mmarakagae,,,mmaraka wa go se gwebišane le dinaga di šele,,,maraka wa lehae,,,,maragatshayambambadzo,,,,makete wo pfaleka,,,
