id,eng__001,eng__002,afr__001,afr__002,afr__003,afr__004,zul__001,zul__002,xho__001,xho__002,xho__003,xho__004,xho__005,xho__006,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,tsn__004,nso__001,nso__002,nso__003,sot__001,sot__002,ven__001,ven__002,ven__003,tso__001,tso__002,tso__003
dsac_multi_art_00011,African music,,Afrikamusiek,,,,umculo wase-Afrika,,umculo waseAfrika,,,,,,umculo wema-Afrika,,,,umvumo we-Afrika,,,,mmino wa Seaforika,,,,mmino wa Seafrika,,,mmino wa Afrika,,Muzika wa Tshiafrika,,,vuyimbeleri bya Xiafrika,,
dsac_multi_art_00012,African tradition,,Afrikatradisie,,,,isiko lase-Afrika,,isithethe saseAfrika,inkqubo yaseAfrika,,,,,imihambo yema-Afrika,,,,isiko le-Afrika,,,,setso sa Seaforika,,,,setšo sa Seafrika,,,moetlo wa Afrika,,maitele a Tshiafrika,,,ntolovelo wa Xiafrika,ndhavuko wa Xiafrika,
dsac_multi_art_00013,Afro-jazz tradition,,Afro-jazz-tradisie,Afrojazztradisie,Afrojazz-tradisie,,isiko lejezi yase-Afrika,,inkqubo yomngqungqo waseAfrika,,,,,,imihambo yejezi yase-Afrika,,,,ijezi yegido le-Afrika,,,,setso sa jese ya Seaforika,,,,setšo sa jese ya Seafrika,,,moetlo wa jese ya Afrika,,maitele a dzheze ya Tshiafrika,,,jeze ya xintu ya Xiafrika,,
dsac_multi_art_00014,album {music},,album,,,,i-albhamu yomculo,,icwecwe lomculo,ialbham yomculo,,,,,liqoqo lemculo,i-albhamu,,,i-albhamu yomvumo,,,,kokoanyopina,alebamo,,,alepamo,,,albamo,,aḽibamu,,,alibamu,,
dsac_multi_art_00015,album {book},,album,,,,i-albhamu yezithombe,,ialbham,,,,,,liqoqo letitfombe,i-albhamu,,,i-albhamu yeenthombe,,,,kokoanyo,alebamo,,,alepamo,,,albamo,,aḽibamu,,,alibamu,,
dsac_multi_art_00016,alien <n.> <compare spaceman> {person},,vreemdeling,,,,isifikanamthwalo,,isidalwa esingesosaloo ndawo,umfiki,,,,,umchamuki,sifiki,,,iphandle,umuntu otjhili,isifiki,,moditšhaba,motswakwa,motswantle,,motšwantle,,,molata,moditjhaba,mubvasili,musili,mubvannḓa,munhumumbe,,
dsac_multi_art_00017,altarpiece,,altaarstuk,,,,isithombebuciko sase-althare,,umsebenzi wobugcisa osesibingelelweni,,,,,,umhlobiso webuciko waselatini,umhlobiso webuciko wasephulphithi,,,umgwalo we-althari,,,,sekgabisaaletara,,,,bokgabo bja aletareng,,,mokgabiso wa altara,,vhutsila ha aḽiṱare,aḽiṱare,,xifaniso xa le gandzelweni,,
dsac_multi_art_00018,alto {voice},,alt,tweede stem,,,indlela yesibili,i-altho,ialtho,,,,,,i-altho,,,,i-altho,,,,altho,,,,aletho,lentšu la bobedi la moopelo,,altho,,ipfi ḽa vhuvhili,alto,,sekene,,
dsac_multi_art_00019,ancient culture,,antieke kultuur,,,,isiko lasemandulo,,incubeko yamandulo,incubeko yakudala,,,,,lisiko lasendvulo,lisiko lakadzeni,,,isiko lekadeni,isiko lemandulo,,,setso sa bogologolo,setso sa kgale,setso sa maloba,,setšo sa bogologolo,,,tlwaelo ya maswetso,,mvelele ya kalekale,,,mfuwo wa khale ka khaleni,,
dsac_multi_art_00020,ancient people,,antieke volk,,,,abantu basemandulo,,abantu bamandulo,abantu bakudala,,,,,bantfu basendvulo,bantfu bakadzeni,,,abantu bakade,abantu bemandulo,abantu bekadeni,,bagologolo,,,,bagologolo,batala,,batho ba maswetso,,vhakalekale,,,vanhu va khale ka khaleni,,
dsac_multi_art_00021,ancient ritual,,antieke ritueel,,,,umkhuba wasemandulo,,isithethe samandulo,isithethe sakudala,inkqubo yesiko yamandulo,,,,umsimeto wasendvulo,umsimeto wakadzeni,,,isikokambiso lekadeni,isikokambiso yekadeni,isikokambiso lemandulo,,meetlo ya bogologolo,meetlo ya kgale,meetlo ya maloba,,moetlo wa segologolo,tirelo ya segologolo,,tshebeletso ya maswetso,,nyitelatherelo,,,mphahlo wa khale ka khaleni,,
dsac_multi_art_00022,animated film,animated movie,tekenfilm,tekenprent,tekenrolprent,animasierolprent,ingqayi yopopayi,ibhayisikobho yopopayi,ibhanyabhanya yoopopayi,ifilim yoopopayi,,,,,lifilimu labopopayi,,,,ifilimu lobusingapilo,ifilimu labopopayi,,,setshwantshiso,,,,filimi ya diphedi tša maitirelo,,,filimi ya ditshwantsho,dipopae,fiḽimu ya zwipopai,,,bayisikopo ya swimunhuhatiwa,filimi ya swimunhuhatiwa,muvhi ya swimunhuhatiwa
dsac_multi_art_00023,anti-phonal style,,beurtsangstyl,antifonale styl,antifoniese styl,,indlelakuvumela iculo,,ukulandel umhlabeli,,,,,,kulandzela umholi wengoma,,,,ukuvumela umkhaleli,,,,mokgwatlhabeletso,,,,mokgwa wa go hlabeletša,bohlabeletši,,ho phokola,,u sima,,,vuhlaveleri,,
dsac_multi_art_00024,aria,,aria,,,,isolo ku-ophera,,umculi okhatshwa yiokhestra,,,,,,umculitimfijoli,i-ariya,,,ingomasibetho kayedwana,i-ariya,,,moopelanosipatwa-ke-diletswa,ariya,,,ariya,koša ya moopelanoši ka diletšo,,aria,,aria,,,ariya,,
dsac_multi_art_00025,ark,,ark,,,,umkhumbi,,umkhumbi,,,,,,umkhumbi,,,,umkhumbi,i-ark,,,areka,,,,areka,,,areka,,gungwa,,,ngalava,,
dsac_multi_art_00026,art community,,kunsgemeenskap,,,,umphakathi wezobuciko,,abantu abakwezobugcisa,abantu bezobugcisa,,,,,ummango webuciko,,,,indawo yobugwali,indawo yobukghwari obuthileko,,,batsweretshi,bataki,,,maloko a bokgabo,setšhaba sa bokgabo,,sehlopha sa bonono,,vhatsila,,,ntlawa wa swa vutshila,,
dsac_multi_art_00027,art company,,kunsmaatskappy,,,,inkampani yezobuciko,,inkampani yezobugcisa,,,,,,inkampani yebuciko,,,,ikhampani yobugwali,ikhamphani yobukghwari,,,setlamo sa botsweretshi,setlamo sa botaki,,,khamphani ya bokgabo,mokgatlo wa bokgabo,,khamphani ya bonono,,khamphani ya vhutsila,,,komponi ya swa vutshila,khamphani ya swa vutshila,
dsac_multi_art_00028,art funding agency,,kunsbefondsings-agentskap,,,,inhlangano exhasa ezobuciko,,iarhente yenkxaso-mali yezobugcisa,,,,,,sikhungo lesesekela tebuciko ngemali,,,,i-ejensi yesikhwama sezobugwali,i-ejensi yesikhwama sezobukghwari,,,seetleetsibotsweretshi,seetleetsibotaki,,,atšentshi ya matlotlo a tša bokgabo,kemedi ya matlotlo a tša bokgabo,,setheo sa matlole a bonono,,zhendedzindam bedzavhutsila,zhendedzi ḽa u lambedza vhutsila,,nhlangano wo phalala hi timali ka swa vutshila,,
dsac_multi_art_00029,artistic <adj.>,,kunstig,artistiek,,,okobuciko,,-bugcisa,,,,,,-kwebuciko,,,,-kobugwali,-kobukghwari,-kobugagu,,-botsweretshi,-botaki,,,-botaki,,,-kgabisang,-bonono,-vhutsila,,,-vutshila,,
dsac_multi_art_00030,artistic director,,artistieke direkteur,artistiese direkteur,kunsdirekteur,,umqondisi wezobuciko,,umlawuli wezobugcisa,,,,,,umcondzisi wetebuciko,,,,umnqophisi wezobugwali,umnqophisi wezobukghwari,,,mokaedi wa botsweretshi,mokaedi wa botaki,,,molaodi wa botaki,molaodi wa bokgabo,,molaodi wa bonono,,mulangavhutsila,,,mulawuri wa swa vutshila,,
dsac_multi_art_00031,artistic innovation,,artistieke innovering,,,,ukuthuthukisa kabusha ezobuciko,,uyilo ngokutsha kwezobugcisa,,,,,,lokusha kutebuciko,,,,okutjha kezobugwali,okutjha kezobukghwari,,,boitlhameditsweretshi,boitlhameditaki,,,tlhabollo ya tša botaki,tlhabollo ya tša bokgabo,,boqapi,,vhubveledzavhutsila,,,vuantswisi bya swa vutshila,,
dsac_multi_art_00032,artistic interest,,artistieke belang,,,,intshisekelo kwezobuciko,,umdla kwezobugcisa,,,,,,lutsandvo lwetebuciko,,,,ikareko kezobukghwari,itjisakalo kezobukghwari,ikareko yobugwali,,dikgatlhegelo tsa botaki,dikgatlhegelo tsa botsweretshi,,,kgahlego go tša botaki,kgahlego go tša bokgabo,,tjheseho bononong,,dzangalelo ḽa vhutsila,,,ntsakelo wa swa vutshila,,
dsac_multi_art_00033,artistry,,kunssin,kunstenaarstalent,kunsvaardigheid,,ikhono lezobuciko,,ubugcisa,isakhono sobugcisa,ubuchule,,,,likhono lebuciko,,,,ikghono lobukghwari,ikghono lobugwali,,,botsweretshi,botaki,,,bokgoni bja botaki,bokgoni bja bokgabo,,bonono,,vhutsila,,,vuswikoti,,
dsac_multi_art_00034,art museum,,kunsmuseum,,,,isilondolozimagugu sezobuciko,,imyuziyam yezobugcisa,,,,,,umsamo wetebuciko,,,,imyuziyamu yobukghwari,imyuziyzmu yesino,,,musiamo wa botsweretshi,musiamo wa botaki,,,musiamo wa bokgabo,musiamo wa botaki,,mosiamo wa bonono,,muziamu wa vhutsila,,,muziyamu wa swa vutshila,,
dsac_multi_art_00035,arts and culture,,kuns en kultuur,,,,ubuciko namasiko,,ubugcisa nenkcubeko,,,,,,buciko nemasiko,,,,ubukghwari namasiko,ubugwali namasiko,,,setso le botsweretshi,setso le botaki,,,bokgabo le setšo,,,bonono le botjhaba,,vhutsila na mvelele,,,vutshila na mfuwo,,
dsac_multi_art_00036,arts calendar,,kunskalender,,,,unyangazonke wezobuciko,ikhalenda yezobuciko,ikhalenda yezobugcisa,,,,,,ikhalenda yetebuciko,,,,ikhalenda yobugwali,ikhalenda yobukghwari,,,khalenta ya botsweretshi,khalenta ya botaki,,,khalentara ya bokgabo,tšhupamabaka ya bokgabo,,khalenda ya bonono,,khaḽenda ya vhutsila,,,khalendara ya swa vutshila,,
dsac_multi_art_00037,arts centre,,kunssentrum,,,,isikhungo sezobuciko,,iziko lezobugcisa,,,,,,sikhungo setebuciko,,,,iziko lobukghwari,iziko lezobugwali,,,tikwatikwe ya botsweretshi,sentha ya botaki,tikwatikwe ya botaki,sentha ya botsweretshi,senthara ya bokgabo,senthara ya botaki,,setsi sa bonono,,senthara ya vhutsila,,,senthara ya swa vutshila,,
dsac_multi_art_00038,art school,,kunsskool,,,,isikole sezobuciko,,isikolo sezobugcisa,,,,,,sikolo setebuciko,,,,isikolo sobukghwari,isikolo sobugwali,,,sekolo sa botsweretshi,sekolo sa botaki,,,sekolo sa bokgabo,sekolo sa botaki,,sekolo sa bonono,,tshikolo tsha vhutsila,,,xikolo xa swa vutshila,,
dsac_multi_art_00039,arts funding body,,kunsbefondsingsliggaam,kunsbefondsende liggaam,,,isigungu esixhasa ezobuciko,,iqumrhu lenkxaso-mali yezobugcisa,,,,,,umtimba lowesekela tebuciko ngetimali,,,,ihlangano yesikhwama sobukghwari,ihlangano yesikhwama sobugwali,,,seetleetsabotsweretshi,seetleetsabotaki,,,baabi ba matlotlo a bokgabo,baabi ba matlotlo a botaki,,setheo sa matlole a bonono,,dzanganondam bedzavhutsila,dzangano ḽa u lambedza vhutsila,,nhlangano wo phalala swa vutshila,,
dsac_multi_art_00040,arts industry,,kunsbedryf,kunsindustrie,,,imboni yezobuciko,,ushishino lwezobugcisa,urhwebo lwezobugcisa,,,,,imboni yetebuciko,,,,irhwebo lezobukghwari,irhwebo lezobugwali,,,madirelobotsweretshi,madirelobotaki,,,intaseteri ya bokgabo,intaseteri ya botaki,,indasteri ya bonono,,nḓowetshumo ya vhutsila,,,vumaki bya swa vutshila,,
dsac_multi_art_00041,audition <v.>,,oudisie doen,oudisie aflê,,,ukuhlola ikhono,,zigqatsele ukuchongwa,ukungenela ukhuphiswano lokuchongwa,,,,,hlunga,hlola,,,-hlungwa,,,,tekotiragatso,,,,-otišina,-iteka,,-iketa,,nanguludza,,,kambela,,
dsac_multi_art_00042,Aum <Hindu symbol> {symbol},,Aum,Om,,,uphawunkulunkulu lamaHindu,i-Aum,uAum,uOm,,,,,umfanekiso wemaHindu,i-Aum,,,i-Aum,,,,Aum,,,,Aum,Modimo ka Sehintu,,Aum,,Aum,,,Aum,Omu,
dsac_multi_art_00043,background music,,agtergrondmusiek,,,,umculo ophelezela isimo,,umculo otsholo phantsi,,,,,,umculo lokhalela phasi,,,,umvumo ozwakala ngemva,ingoma ezwakala ngemva,,,mminolemorago,,,,mmino wa go kwagala ka morago,,,mmino o tshehetsang,,muzikathikhedzi,,,vuyimbeleri byo seketela,,
dsac_multi_art_00044,backing vocals,,agtergrondstemme,,,,abavumelimculo,,umculo weemvumi ezincedisayo,,,,,,emaphimbo lesekelako,,,,umdumo osekela ingoma,abavumeli,,,batshegetsimoopedi,,,,mantšu a bathekgi,,,dibini tse tshehetsang,,vhubvumeli,,,nhlavelelo,,
dsac_multi_art_00045,bandleader,,orkesleier,,,,umholibhendi,,inkokeli yeqela leentambula,inkokeli yebhendi,,,,,umholi webhendi,,,,umdosiphambili webhendi,umdosiphambili wesiqhema,umkhaleli,,moeteledipele wa bente,,,,moetapele wa sehlopha sa mmino,,,moetapele wa bente,,murangaphanḓa wa bennde,mulangabennde,,murhangeri wa bende,,
dsac_multi_art_00046,baritone {voice},,bariton,,,,ibharathoni,,ukungqokola,ibharithoni,,,,,ibharathoni,ibhesi,,,ibharathoni,,,,kodutlase,,,,parithone,,,barathone,,barathoni,,,xibizana,,
dsac_multi_art_00047,bar line {music},,maatstreep,,,,isihlukanisimabha,,umgca owahlula imilinganiselo yexesha emculweni,umgca obonakalisa ibha,,,,,umugca webha,,,,umuda webha,,,,molanoko,,,,mothalo wa go kgaogantšha dipara tša mmino,mothalo wa go kgaogantšha dinoko tša mmino,,mola wa baa,,vhukhethadungo,,,ndzhati wa dingu,,
dsac_multi_art_00048,bass-baritone {voice},,basbariton,,,,ibharathoni eyidoshaba,ibharathoni eyibhesi,bungqokola bundyondyo,,,,,,ibhesi lesemkhatsini,,,,ibharathoni yebhesi,,,,moporo wa kodutlase,,,,parithone ya peisi,,,barathone ya bese,,barathoni ya bazi,barathoni ya bisi,barathoni ya bizi,bizixikarhi,,
dsac_multi_art_00049,bass clef,,bassleutel,,,,uphawu lwenothi lebhesi,,uphawu olubonakalisa indyondyo,,,,,,iklefu yebhesi,,,,itshwayo lenothi yebhesi,,,,tlelefe ya moporo,,,,tlelefe ya peisi,,,tlelefe ya bese,,khii ya bisi,khii ya bazi,khii ya bizi,mfungho wa bizi,,
dsac_multi_art_00050,bassist,,basspeler,,,,umdlalisiginci sebhesi,,umdlali wesiginkci sebhesi,umdlali wesiginkci esindyondyayo,,,,,umdlali wegatari yebhesi,,,,umbethi wegatara yebhesi,umbethi wegatara yelizwi elindondako,,,moletsakataraporo,,,,sebapadi sa katara ya peisi,,,moletsakatara ya bese,,mulidzabisi,mulidzabazi,mulidzabizi,muchayi wa bizi,,
dsac_multi_art_00051,baton {film orchestra},,dirigeerstokkie,dirigeerstok,,,induku yokubhidisa,,intongana yokubhexesha iculo,,,,,,indvuku yekuculisa,indvuku yekukhondaktha,,,intongana yokuvumisa,,,,thupana,takata,,,thatana ya go opediša,,,molangwana,lesokwana,mbaḓana,bathoni,tshitanda,xinhongana xa muyimbelerisi,,
dsac_multi_art_00052,belly dancer,,buikdanseres,,,,odansa ngokutshikizisa isisu,,umdanisi ovonyavonya isinqe,,,,,,umdansi lomsikati lontjikitisa lukhalo,,,,umjidisidini,,,,mminisampa,,,,sebini sa go bintšha dimpa,motantshi wa go tantshiša dimpa,,motjeki ka mpa,,mutshinisakhundu,,,mucinisaxisuti,,
dsac_multi_art_00053,block print,,blokdruk,,,,umbhalosigxivizo,,ushicilelo ngeebhloko ezikroliweyo,,,,,,umbhalosingcivito,,,,isithombemgadangiso,,,,kgatisoboloko,,,,kgatišo ya mongwapo,,,kgatiso ya diboloko,,tshiganḓo,,,nghandlho,,
dsac_multi_art_00054,blue note,,blou noot,troebeltoon,,,inothi elindondayo,,ibhlunowuthi,,,,,,linothi leliphasi,,,,inothi eliphasi,,,,nnototlase,,,,nnoto ya fase,,,noto ya maikutlo,noto ya dibluse,buḽuunoutu,,,noto ya buluzi,,
dsac_multi_art_00055,bodhi tree <Buddhism> {symbol},,bodhi-boom,,,,uphawu lwenkolo iBhudizimu,,umqondiso wonqulo lwamaBhuda,umqondiso wonqulo lwamaNdiya,,,,,luphawu lwebuBhuda,,,,itshwayo le-bodhi,,,,setlhare sa bodhi,,,,mohlare wa bodhi,,,sefate sa bodhi,,muri wa bodhi,,,nsinya wa bodi,mfungho wa Mabodi,
dsac_multi_art_00056,body popping {type of hip-hop dance},,body popping,,,,ukudansa sarobhothi,,umdaniso wokuvonyavonya umzimba buxhuzula,ukuzivonyavonya,ukuzijwenya,,,,kuntjikitisa emalunga emtimba,,,,umjido wokuzisongasonga,i-body popping,,,thobommele {mofuta wa moretelediane},,,,mohuta wa mmino wa go tabogataboga,,,motjeko wa boithutlo,,mutshino wa u petekana,,,ncino wa mpetsekompetseko wa miri,,
dsac_multi_art_00057,bouldering cave,,steengrot,,,,umgede,,iqolomba lomdlalo wogwenyelo,,,,,,umhume welitje,,,,irholo lokuqaqada,,,,logaga,,,,lewa la ntotoma,,,lehaha la mafika,,bako ḽa tombo,,,baku ra ribye,,
dsac_multi_art_00058,brace {music},,balkhakie,,,,isihlanganisizindlela zomculo,,ibreyisi,uphawu lokudibanisa iziteyivu,,,,,bakaki,tibiyelo,,,isihlanganisinteyivu,ibhreyisi,,,boreisi,,,,leswao la dinoto tša go opelwa ka nako ye tee,,,breise,,bureisi,luswayo lwa tshitangi,,xihlanganisi,,
dsac_multi_art_00059,brand <n.>,,handelsmerk,,,,uphawumkhiqizo,,uhlobo lwemveliso olulodwa,uphawu lwemveliso olulodwa,,,,,umkhicito,,,,itshwayo lepahla,,,,kuno,,,,seka sa kgwebo,leswao la setšweletšwa,,letshwao,,burende,dzinakhwevho,,mfungho,burende,
dsac_multi_art_00060,branding <n.>,,handelsmerkgewing,,,,ukufaka uphawumkhiqizo,,uqaqambisa iimveliso,ukuphawula,iinzame zokuqaqambisa iimveliso,ukuqaqambisa iinkonzo,,,kufaka luphawu,,,,ukukhangisa itshwayo lepahla,,,,letshwaokuno,,,,boipapatšo,,,bobapatsi,,vhukungedzeli,,,ku funghahata,ku burenda,
dsac_multi_art_00061,brand manager,,handelsmerkbestuurder,,,,imenenja yomkhiqizo,,umlawuli wohlobo lwemveliso olulodwa,,,,,,umcondzisi wetekukhangisa,,,,umphathi weenkhangiso zepahla,,,,molaodi wa letshwaokgwebo,,,,molaodi wa papatšo,,,motsamaisi wa dipapatso,,mulangakhungedzelo,,,mufambisi wa mfungho,mufambisi wa burende,
dsac_multi_art_00062,brass {musical instrument},,koperblaasinstrument,,,,izinsimbi ezifuthwayo zethusi,,izixhobo zomculo zexina,isikhaliso sebrasi,,,,,licilongo,,,,ibhrasi,ibhorompita,,,diphala,borase,,,diphala,,,brase,,porompiṱa,,,porompita,,
dsac_multi_art_00063,bass-baritone {voice},,basbariton,,,,ibharathoni eyidoshaba,ibharathoni eyibhesi,bungqokola bundyondyo,,,,,,ibhesi lesemkhatsini,,,,ibharathoni yebhesi,,,,moporo wa kodutlase,,,,parithone ya peisi,,,barathone ya bese,,barathoni ya bazi,barathoni ya bisi,barathoni ya bizi,bizixikarhi,,
dsac_multi_art_00064,bass clef,,bassleutel,,,,uphawu lwenothi lebhesi,,uphawu olubonakalisa indyondyo,,,,,,iklefu yebhesi,,,,itshwayo lenothi yebhesi,,,,tlelefe ya moporo,,,,tlelefe ya peisi,,,tlelefe ya bese,,khii ya bisi,khii ya bazi,khii ya bizi,mfungho wa bizi,,
dsac_multi_art_00065,bassist,,basspeler,,,,umdlalisiginci sebhesi,,umdlali wesiginkci sebhesi,umdlali wesiginkci esindyondyayo,,,,,umdlali wegatari yebhesi,,,,umbethi wegatara yebhesi,umbethi wegatara yelizwi elindondako,,,moletsakataraporo,,,,sebapadi sa katara ya peisi,,,moletsakatara ya bese,,mulidzabisi,mulidzabazi,mulidzabizi,muchayi wa bizi,,
dsac_multi_art_00066,baton {film orchestra},,dirigeerstokkie,dirigeerstok,,,induku yokubhidisa,,intongana yokubhexesha iculo,,,,,,indvuku yekuculisa,indvuku yekukhondaktha,,,intongana yokuvumisa,,,,thupana,takata,,,thatana ya go opediša,,,molangwana,lesokwana,mbaḓana,bathoni,tshitanda,xinhongana xa muyimbelerisi,,
dsac_multi_art_00067,belly dancer,,buikdanseres,,,,odansa ngokutshikizisa isisu,,umdanisi ovonyavonya isinqe,,,,,,umdansi lomsikati lontjikitisa lukhalo,,,,umjidisidini,,,,mminisampa,,,,sebini sa go bintšha dimpa,motantshi wa go tantshiša dimpa,,motjeki ka mpa,,mutshinisakhundu,,,mucinisaxisuti,,
dsac_multi_art_00068,block print,,blokdruk,,,,umbhalosigxivizo,,ushicilelo ngeebhloko ezikroliweyo,,,,,,umbhalosingcivito,,,,isithombemgadangiso,,,,kgatisoboloko,,,,kgatišo ya mongwapo,,,kgatiso ya diboloko,,tshiganḓo,,,nghandlho,,
dsac_multi_art_00069,blue note,,blou noot,troebeltoon,,,inothi elindondayo,,ibhlunowuthi,,,,,,linothi leliphasi,,,,inothi eliphasi,,,,nnototlase,,,,nnoto ya fase,,,noto ya maikutlo,noto ya dibluse,buḽuunoutu,,,noto ya buluzi,,
dsac_multi_art_00070,bodhi tree <Buddhism> {symbol},,bodhi-boom,,,,uphawu lwenkolo iBhudizimu,,umqondiso wonqulo lwamaBhuda,umqondiso wonqulo lwamaNdiya,,,,,luphawu lwebuBhuda,,,,itshwayo le-bodhi,,,,setlhare sa bodhi,,,,mohlare wa bodhi,,,sefate sa bodhi,,muri wa bodhi,,,nsinya wa bodi,mfungho wa Mabodi,
dsac_multi_art_00071,body popping {type of hip-hop dance},,body popping,,,,ukudansa sarobhothi,,umdaniso wokuvonyavonya umzimba buxhuzula,ukuzivonyavonya,ukuzijwenya,,,,kuntjikitisa emalunga emtimba,,,,umjido wokuzisongasonga,i-body popping,,,thobommele {mofuta wa moretelediane},,,,mohuta wa mmino wa go tabogataboga,,,motjeko wa boithutlo,,mutshino wa u petekana,,,ncino wa mpetsekompetseko wa miri,,
dsac_multi_art_00072,bouldering cave,,steengrot,,,,umgede,,iqolomba lomdlalo wogwenyelo,,,,,,umhume welitje,,,,irholo lokuqaqada,,,,logaga,,,,lewa la ntotoma,,,lehaha la mafika,,bako ḽa tombo,,,baku ra ribye,,
dsac_multi_art_00073,brace {music},,balkhakie,,,,isihlanganisizindlela zomculo,,ibreyisi,uphawu lokudibanisa iziteyivu,,,,,bakaki,tibiyelo,,,isihlanganisinteyivu,ibhreyisi,,,boreisi,,,,leswao la dinoto tša go opelwa ka nako ye tee,,,breise,,bureisi,luswayo lwa tshitangi,,xihlanganisi,,
dsac_multi_art_00074,brand <n.>,,handelsmerk,,,,uphawumkhiqizo,,uhlobo lwemveliso olulodwa,uphawu lwemveliso olulodwa,,,,,umkhicito,,,,itshwayo lepahla,,,,kuno,,,,seka sa kgwebo,leswao la setšweletšwa,,letshwao,,burende,dzinakhwevho,,mfungho,burende,
dsac_multi_art_00075,branding <n.>,,handelsmerkgewing,,,,ukufaka uphawumkhiqizo,,uqaqambisa iimveliso,ukuphawula,iinzame zokuqaqambisa iimveliso,ukuqaqambisa iinkonzo,,,kufaka luphawu,,,,ukukhangisa itshwayo lepahla,,,,letshwaokuno,,,,boipapatšo,,,bobapatsi,,vhukungedzeli,,,ku funghahata,ku burenda,
dsac_multi_art_00076,brand manager,,handelsmerkbestuurder,,,,imenenja yomkhiqizo,,umlawuli wohlobo lwemveliso olulodwa,,,,,,umcondzisi wetekukhangisa,,,,umphathi weenkhangiso zepahla,,,,molaodi wa letshwaokgwebo,,,,molaodi wa papatšo,,,motsamaisi wa dipapatso,,mulangakhungedzelo,,,mufambisi wa mfungho,mufambisi wa burende,
