"eng__001","eng__002","eng__003","afr__001","afr__002","afr__003","afr__004","afr__005","afr__006","xho__001","xho__002","xho__003","xho__004","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","Syonym__-","nso__002","nso__003","nso__004","sot__001","sot__002","sot__003","ven__001","ven__002","ven__003","ven__004","ven__005","ven__006","tso__001","tso__002","tso__003","tso__004"
"acute care","","","akute versorging","akute sorg","","","","","unyango losuleleko lwethutyana","","","","lunakekelokwelashwa loluphutfumako","lunakekelosimo lesiphutfumako","","","itjhejo lobujamo oburhabako","","","kalafotsenelelo","kalafopotlako","","","tlhokomelona","","","","","tlhokomelo e hlokolotsi","tlhokomelo ya nakwana","","ndondolo ya shishi","ndondolo ya tshifhinganyana","","","","","vuongori bya xinkadyana","vutshunguri bya xinkadyana","nhlayiso wa xinkadyana",""
"acute infection","","","akute infeksie","","","","","","usuleleko lwethutyana","","","","kuhabula","","","","ukugula okubhudungelanako","","","tshwaetsotsenelelo","","","","phetetšonakwanatwatši","","","","","tshwaetso ya tshohanyetso","","","u kavhiwa lwa tshifhinganyana","phirela ya tshifhinganyana","","","","","ntlulelovuvabyi wa xinkadyana","","",""
"adrenalin","adrenaline","","adrenalien","","","","","","indulumbane","iadrenalini","","","i-adrenalini","","","","i-adrenalini","","","mathakapilo","","","","aderenalini","","aterenalini","","","atrenalini","","","aḓirenaḽini","aḓrenaḽini","","","","","adirenalini","","",""
"adult dose","","","volwassenedosis","volwasse dosis","","","","","umlinganiselo wabadala","","","","silinganisomutsi salabadzala","umtsamomutsi walabadzala","","","isilinganiso sabakhulu","","","tekanyetsamolemo wa bagodi","","","","tekanyohlarebagolong","","","","","tekanyo ya ba baholo","","","phimamushonga wa vhahulwane","","","","","","mpimamurhi wa lavakulu","","",""
"adverse event {undesirable medical occurrence}","AE","","nadelige voorval","","","","","","isiphumo sonyango esingalindelekanga","","","","simo lesingakalindzeleki","sehlakalo lesingakalindzeleki","","","ukwaliwa sihlahla","ukwaliwa mtjhoga","","phapogokalafi","","","","phapogokalafi","","","","","ditlamorao tse mpe tse sa lebellwang","","","tshiimo tshi songo lavhelelwaho","","","","","","xiendleko xo biha","","",""
"aerobic bacteria","","","aërobiese bakterieë","suurstofbehoewende bakterieë","","","","","iintsholongwane eziphila ngomongomoya","","","","ligciwane leliphila ngemoyamphilo","","","","umulwana ophila ngommoya","ibhakthiriya ephila ngeoksijini","","mogare wa erobiki","","","","paketheriyahlokaokisitšene","","","","","baktheria e phelang ka oksejene","","","tshitzhili tshi no tshila nga okisidzheni","tshitzhili tshi no tshila nga oksidzheni","tshitzhili tshi no tshila nga muyumufhe","","","","xitsongwatsongwanamadinga-moyatenga","","",""
"agar","","","agar","agarjellie","seewierjellie","","","","iaga","","","","inkhushe","i-aga","","","i-agar","","","bolepulele","","","","eika","","","","","eika","","","aga","","","","","","agara","","",""
"agglomeration","","","agglomerasie","","","","","","intlanganisela yamasuntswana","","","","kubutselelana","","","","ibuthelelwano leentsherwana","i-adlhomereyitjhini","","kompaganyo","","","","momagano","","","","","momahano","","","munambatelano wa zwipiḓa","","","","","","nhlanganiso","","",""
"agglutination","","","agglutinering","agglutinasie","saamklonting","","","","uncamathelwano lweeseli zegazi","","","","kunamatselana","","","","ukunamathelana","","","kgomarelano","mamarelano","","","kgomarelano","","","","","kgomarelano","","","nambathelano","","","","","","namarelano","","",""
"airsickness","","","lugsiekte","","","","","","ukuguliswa luhambo ngezithuthi","","","","kugula lokubangwa kuhamba ngetitfutsi tasemoyeni","kunyakuleka uma usemoyeni","kuba nesiyeti uma usemoyeni","","ukuphakanyelwa ziimbindi ngokuphakama","","","tshelelego ya bafofane","pherogo ya bafofane","","","bolwetši bja samadikwe","","bolwetši bja modukologo","","","ho ferolwa dibete ke ho fofa","","","vhulwadzembangwa nga zwiendazwikhalani","","","","","","vuvabyimpfhukeni","","",""
"albinism","","","albinisme","","","","","","ubunkawu","ialbhinizimu","","","i-albhinizimu","","","","ubukawu","i-albhinizimu","ubu-albhino","boswafe","","","","boswefe","","bohwehle","bohwama","boalepino","bosofe","","","vhuaḽibino","vhuaḽbino","","","","","vualibino","","",""
"albumin","","","albumien","albumine","eiwitstof","","","","ialbhumini","","","","i-alibhumini","","","","i-albhumini","","","alebumini","","","","alpumini","","alipumini","","","albumini","","","aḽibumini","aḽbumini","","","","","alibumini","","",""
"aliquot","","","alikwot","","","","","","ialikhothi","","","","isampula","incenye","i-alikhothi","","i-alikhothi","","","seretlhatlhobo","alikhote","","","sampolephehleko","","alikhote","","","alikhoto","","","sambulaṱholwa","aḽikhwathi","","","","","alikhoto","","",""
"alkalinity","","","alkaliniteit","","","","","","ubungakanani bealkhali","","","","silinganiso se-alkhali","bungako be-alkhali","","","isilinganiso se-alkhali","ubu-alkhali","","bokalaka","","","","go toka","","alekalinithi","","","bokalaka","","","phimo ya aḽikaḽi","phimo ya aḽkaḽi","","","","","vualikali","","",""
"alkali salt","","","alkalisout","","","","","","ityuwa ealkhali","","","","sawoti we-alkhali","luswayi lwe-alkhali","","","itswayi le-alkhali","","","letswaikalaka","","","","letswaitoka","","","","","letswai la kalaka","","","muṋo wa aḽikaḽi","muṋo wa aḽikaḽi","","","","","munyu wa alikali","","",""
"allergic reaction","","","allergiese reaksie","","","","","","ukuguliswa kokwaliwa ngumzimba","ialeji","","","kwaliwa ngumtimba","kungahambisani nemtimba","i-aleji","","okwaliwa mzimba","","","kganano","tsibogokgano","","","go ba le aletši","","","","","ho ba le aleji","","","u vha na aḽedzhi","","","","","","rinyenyanyenya ra miri","","",""
"alopecia {medical condition that causes hair loss}","","","alopesie","haarloosheid","","","","","ukutshanduka","ialopheshiya","","","kucotfuka tinwele","kulahlekelwa tinwele","i-alopheshiya","","ukuthintitheka kweenhluthu","ukuthintitheka koboya","i-alophetjhiya","tsuego","tlhobego","","","tahlegeloriri","","alophešia","","","tsutehomoriri","alopheshiya","","vhulwadze ha u guvhuwa mavhudzi","aḽopheshia","","","","","nghuvukamisisi","","",""
"alternative medicine {preventative healthcare practices}","","","alternatiewe geneeskunde","","","","","","unyango olulolunye","","","","kwelapha lokwehlukile","","","","enye indlela yokwelapha","","","kalafinngwe","","","","kalafišele","","","","","kalafo ya mofuta o mong","","","muṅwe mushonga","mushonganyimelamuṅwe","","","","","vutshunguri bya muxaka wun’wana","","",""
"alveolus {air sac in the lungs}","","","alveolus","longblasie","longsakkie","","","","izingxotyana zemiphunga","","","","lisakamoya","","","","i-alviyolasi","","","tshukamowa","kgetsanamowa","","","mokotlamoya (maswafong)","","aleviyolase","","","alviolase","","","aḽivioḽasi","aḽivioḽasi","","","","","alivhiyolasi","","",""
"Alzheimer's disease","","","alzheimersiekte","alzheimers","Alzheimer se siekte","","","","isigulo sokulibala","","","","sifo sekudideka kwengcondvo","sifo se-Alzheimer","","","i-Alzheimer","","","bolwetse jwa ga Alzheimer","","","","bolwetši bja Alzheimer","","","","","lefu la Alzheimer","","","vhulwadze ha Alzheimer","vhulwadze ha muhumbulo ha Alzheimer","","","","","vuvabyi bya Alzheimer","","",""
"ambient temperature","","","omgewingstemperatuur","omringende temperatuur","","","","","iqondo lobushushu elilungelelanisiweyo","","","","lizingakushisa lendzawotsite","","","","izinga lokutjhisa lebhoduluko","","","themphereitšha ya tikologo","","","","themphereitšhatikologo","","","","","motjheso kapa mohatsela wa tikoloho","thempereitjha ya tikoloho","","thempheretsha yo linganelaho","","","","","","mahiselo ya ndhawu","","",""
"amino acid","","","aminosuur","","","","","","izakhiprotini","iamino asidi","","","i-amino esidi","takhi temaphrotheyini","","","i-amino esidi","","","aminoesiti","","","","aminoesiti","","","","","aminoesiti","","","dungi ya amino","esidi ya amino","","","","","aminoasidi","","",""
"amnesia","","","geheueverlies","amnesie","","","","","ukulibala","iamniziya","","","sifo sekukhohlwa","i-amneshiya","","","ukulahlekelwa mkhumbulo","i-amneziya","","tebalo","","","","amnišia","","aminešia","","","bolebadi","amneshiya","","khangwa","","","","","","xiphuswa","xirive","",""
"amniotic fluid","","","vrugwater","amnionvog","amniotiese vloeistof","","","","amanzi omkhaya","amanzi omgcantsi","","","incipho","","","","amanzana wombungu","","","modubu","","","","seela sa motse","","seela sa aminiothiki","","","mokedikedi wa bonamane","","","tshiṱanga","","","","","","mati ya xivelekelo","xupa","",""
"ampoule <Great Britain>","","","ampule","ampul","ampulle","","","","ibhotilana yesitofu","iampuli","","","libhodlelana lemjovo","sipononoza semjovo","i-amphuli","","ibhodlelwana lomjovo","i-amphiyoli","","emphule","","","","amphoulu","","","","","ampheyole","","","ampuḽu","","","","","","ampulu","","",""
"anaerobic bacteria","","","anaërobiese bakterieë","","","","","","iintsholongwane ezingaphili ngomongomoya","","","","ligciwane lelingaphili ngemoyamphilo","","","","umulwana ongaphili ngommoya","ibhakthiriya engaphili ngeoksijini","","mogare wa anerobiki","","","","paketheriahlokaoksitšene","","paketheria yeo e golago ntle le okisitšene","","","baktheria e sa hlokeng oksejene","","","bakitheria i no tshila si na muyamufhe","baktheria i no tshila hu si na muyamufhe","bakitheria i no tshila hu si na gesedungi","baktheria i no tshila hu si na gesedungi","bakitheria i no tshila hu si na okisidzheni","baktheria i no tshila hu si na oksidzheni","xitsongwatsongwanamavenga-moyatenga","","",""
"anaesthetic <Great Britain> {substance that produces reversible loss of consciousness}","anesthetic","","anestetikum","narkosemiddel","verdowingmiddel","","","","isilalisizivo","ichiza lokudoma","","","silalisimiva","","","","isidambisimizwa","","","seidibatsi","","","","seidibatši","","","","","sethethebatsi","","","tshidzidzivhadzi","","","","","","xititivati","xitlanyati","",""
"analgesia {inability to feel pain while conscious}","","","analgesie","analgie","pynstilling","pynverdowing","","","ukungeva ngqaqambo","","","","kubulala tinhlungu","kungeva buhlungu","","","ukungezwa ubuhlungu","","","bogatsu","","","","go hloka bohloko","","","","","ho bolaya bohloko","","","tshifhedzavhuṱungu","","","","","","xititivataswitwi","","",""
"analgesic {medication to relieve pain}","","","pynstiller","pyndoder","analgesikum","pynstillende middel","","","isibulalintlungu","isidambisintlungu","isithomalalisintlungu","","sibulalitinhlungu","","","","isibulaliinhlungu","","","seokobatsatlhabi","","","","seokobatšabohloko","","sebolayabohloko","","","sebolayabohloko","","","tshivhulayavhuṱungu","","","","","","ntitivataswivavi","","",""
"analogous substitution {dispensing of medicine}","","","analoëvervanging","","","","","","iyeza elingelolentsusa","","","","kusebentisa umutsifanana","","","","isijamiseleli esifanako","isihlahla esisebenza njengesine","","kalafokemedi","","","","motswakophodišotshwano","","","","","phano ya morianakemedi","","","mushonga u no imela muṅwe","","","","","","vusivamurhifanana","","",""
"anaphylaxis {allergic response}","","","anafilakse","","","","","","ukwaliwa liyeza okumandundu","ialeji emandundu","","","emanyabila","emanyabinga","lokwaliwa ngumutsi lokubucayi","","ukutsirimezeka","i-anafileksisi","","kganotseneletse","kganotota","","","anafilakisisi","","aletšikotsikotsi","","","anafilaksisi","","","ndambatshifu","ndamba i re khombo","anafilekisisi","aḽedzhitshifu","","","rinyenyanyenyamaxungetavutomi","","",""
"ancillary material","","","bykomende materiaal","hulpmateriaal","","","","","izincedisi kumachiza","","","","tinsitakuphelelisa","tinsitalwesekelo","","","imethiriyali esekelako","","","seretlaleletsi","","","","didirišwatlaleletšothuši","","","","","ditlatseletsi tse phethelang","","","zwishumiswa zwa u tikedza","","","","","","switirhisiwanseketelo","","",""
"aneurysm","","","aneurisme","","","","","","iqhubu emthanjeni","","","","kuvuvuka kwemtsambo","kudvumba kwemtsambo","","","ukuvuvuka komthambo","ukudumba komthambo","","thurugotshika","pudulogotshika","","","aneyurisimi","","kokomogotšhikamadi","","","anurisimi","","","u punda ha lutsinga","","","","","","nkukumuko wa nsiha","","",""
"angina pectoris {heart cramp}","","","angina","hartkramp","","","","","ubulalekontliziyo","ianjina","","","lihlaba","","","","isihlabi sehliziyo","i-anjaniya","","setlhabifatlha","","","","sehlabipelong","","entšaena","","","lehlaba pelong","","","anzhaina","","","","","","xitlhavimbilwini","","",""
"animal fat {nutrition}","","","diervet","dierevet","","","","","inqathe","","","","emanoni","emafutsa enyama","","","amafutha wenyama","","","mafuraphologolo","","","","makhuraphoofolo","","","","","mafura a phoofolo","","","mapfhura a phukha","","","","","","mpambana","","",""
"anion {chemistry}","","","aniioon","","","","","","ianiyoni","","","","i-aniyoni","i-athomu lengenamandla","","","i-aniyoni","","","anayone","","","","eneayone","","","","","enayone","","","aniyoni","","","","","","aniyoni","","",""
"anorexia nervosa","","","anoreksie","anorexia nervosa","","","","","isigulo sokuzilambisa","ianoreksiya","","","sifo sekutilambisa","sifo sekutincisha kudla","","","ubulwele bokusaba ukudla","i-anerokziya nevosa","","poifomonono","","","","poifonono","","anorekesia nerevosa","","","ho ikotisa ka ho se je","anoreksia nevosa","","vhulwadze ha u shavha u ḽa","","","","","","vutidlayisandlala","vutisikisi","",""
"antacid {medication to neutralise acid in the stomach}","","","teensuurmiddel","teensuur","","","","","ichiza lesitshisa","ichiza lesilungulela","","","sicedzisilungulela","","","","isithundubazi se-esidi","isigogobalisi se-esidi","","twantshaesiti","setlhaolosaesiti","","","selwantšhaesiti","","","","","sekokobetsaesiti","","","tshidzimuladungi","tshidzimulaesidi","","","","","xitimulaasidi","","",""
"antibacterial <adj.>","","","antibakteries","antibakterieel","antibakteriële","","","","isibulalantsholongwane","","","","-bulalimagciwane","","","","-bulalimulwana","","","-twantshamogare","-sebolayamogare","","","-šitišago paketheria","","","","","-thibelang baktheria","","","tshivhulahatshitzhili","tshivhulayatshitzhili","tshivhulahabakitheria","tshivhulahabaktheria","","","-xilwanaswitsongwatso ngwana","","",""
"anticoagulant {medication to eliminate blood clots}","","","teenstolmiddel","antikoagulant","antistolmiddel","","","","isihlobisigazi","","","","sivimbelimahlwili","sihlambululingati","","","isikhandelimahlwili","isibulalimahlwili","","sethibelatlhole","twantshatlhole","","","sethibelakgahlomadi","","","","","sethibelamahlwele","","","tshithivhela u kheṱha ha malofha","","","","","","xisivelantiyangati","","",""
"anticoagulant {medication to eliminate blood clots}","","","teenstolmiddel","antikoagulant","antistolmiddel","","","","isihlobisigazi","","","","sivimbelimahlwili","sihlamboletingati","","","isikhandelimahlwili","isibulalimahlwili","","sethibelatlhole","twantshatlhole","","","sethibelakgahlomadi","","","","","sethibelamahlwele","","","tshithivhela u kheṱha ha malofha","","","","","","xisivelantiyangati","","",""
"antidepressant {medication to treat depression}","","","antidepressant","depressieteenmiddel","","","","","isithintelikudakumba","isithintelikunxunguphala","","","sicedzikudzangala","","","","iselaphikudamba","","","kimololakgatelelomaikutlo","sethibelakgatelelomaikutlo","","","seimollakgatelelomona gano","","","","","sekokobetsakgatello ya maikutlo","","","tshithivhelamutsiko wa muhumbulo","","","","","","xisivelantshikelelo wa miehleketo","","",""
"anti-emetic {medication to treat nausea}","","","antiëmetikum","braakteenmiddel","","","","","isithintelisicaphucaphu","isinqamlikugabha","","","sivimbelikunyakuleka","sivimbelikuhlanta","","","isivimbelikuhlanza","isikhandelikuhlanza","","sethibelatlhatso","selwantshatlhatso","","","sethibelatshellego","","","","","sekokobetsalehlatso","","","tshithivhela u ṱanza","","","","","","xisivelahlanto","","",""
"antifungal {medication to treat fungal infections}","antifungoid","","swamteenmiddel","skimmelweerder","antifungusmiddel","","","","isithintelikungunda","","","","sicedzisikhuntsa","sicedzisikhowa","","","isihlahla sefangasi","","","sethibelamouta","twantshamouta","","","sethibelamouto","","","","","sethibelahlobo","selwantshahlobo","","tshithivhelalugowa","tshithivhela tshitzhili tsha fangasi","","","","","xisivelamfurho","","",""
"anti-inflammatory {medication to manage pain and inflammation}","","","antiinflammatoriese middel","ontstekingsteenmiddel","","","","","isidambisikukrala","","","","sicedzitinhlungu","silawulikuvuvuka","","","iselaphikufutha","","","sethibelathurugo","","","","sethibelatšhatšhamelothurugo","","sethibelainflameišene","","","selaolaborurusi","","","mushonga wa u thivhela u zwimba","","","","","","xisivelampfimbo","xisivelandzhumbelo","xisivelambavuko",""
"antimalarial {medication that treats malaria}","","","antimalariamiddel","malariateenmiddel","","","","","ichiza lecesina","ichiza lomkhuhlane weengcongconi","","","sivimbelimalalaveva","sicedzimalalaveva","","","isivikeli sikamalalehlengezela","iselaphi semalariya","","sethibelamalaria","","","","sethibelamalaria","","","","","sethibelamalaria","selwantshamalaria","","tshithivheladali","tshithivhelamaḽaria","","","","","xisiveladari","murhi wa dari","",""
"antineoplastic drug {to treat cancer}","","","antineoplastiese middel","antineoplastiese geneesmiddel","antineoplastikum","","","","isithintelikunaba komhlaza","","","","sivimbelitimila","","","","isivimbelikunaba kwekankere","","","sethibelakankere","sethibelatlhagala","","","sethibelakankere","","anthinyoplastiki","","","sethibelamofetshe","sethibelakankere","","mushonga wa u thivhela u phaḓalala ha pfhuko","mushonga wa u thivhela u phaḓalala ha ṱhahala","mushonga wa u thivhela u phaḓalala ha khentsa","","","","xisivelahangalakomatshumbamfukuzana","murhi wa matshumbamfukuzana","",""
"antipyretic {medication that reduces fever}","antifebrilic","","koorswerende middel","koorsbestryder","koorsweerder","antipiretikum","","","iyeza lobushushu","","","","sidzambisikushisa","sidzambisitinhlungu","","","isidambisifiva","","","twantshakgotelo","","","","sefokotšaphišommele","","","","","sefodisafeberu","","","mushonga wa u fhungudza mufhiso","mushonga wa fhunguda mudinyane","","","","","xihunguta-ku-hisa-ka-miri","","",""
"antiseptic <n.> {substance that kills bacteria}","","","ontsmettingsmiddel","antiseptikum","antiseptiese middel","","","","isithintelikubhidla","","","","sibulalimagciwane","","","","isivimbelikubhibhidlha","","","sethibelaphero","","","","sešitišaphero","","sebolayapaketheriya","","","sebolayadipeo tsa mahloko","","","mudzivhatsiṱo","tshithivhelatshili","","","","","xixuvi","xidlayavubori","",""
"antitoxin","","","antitoksien","antitoksine","teengif","","","","isilwityhefu","","","","sincandzibutsi","sibulalibutsi","sicedzibutsi","","isivimbelitjhefu","","","twantshatlhole","","","","selwantšhampholo","","","","","selwantshatjhefu","","","tshidzivhamulimo","","","","","","xilwisachefu","xilwisavuxungu","",""
"antitoxin","","","antitoksien","antitoksine","teengif","","","","isilwityhefu","","","","sincandzibutsi","sibulalibutsi","sicedzibutsi","","isivimbelitjhefu","","","twantshatlhole","","","","selwantšhampholo","","","","","selwantshatjhefu","","","tshidzivhamulimo","","","","","","xilwisachefu","xilwisavuxungu","",""
"appendicitis","","","blindedermontsteking","appendisitis","","","","","ukukrala kothunjana","","","","kuvuvuka kwaphambukani","","","","ubuhlungu be-aphendiksi","","","thurugolelana","","","","tšhatšhamelothurugoa phentikisi","","","","","borurusi ba lelana","","","vhulwadze ha u zwimba tshilagu","apendikisi","","","","","mpfimbo wa xincilana xa rhumbu","ndzhumbelo wa xincilana xa rhumbu","",""
"arsenic {very poisonous element}","","","arseen","","","","","","ikhemikhali enetyhefu","","","","i-asenikhi","ikhemikhali lenebutsi","","","i-aseniki","","","khemikhaletlhole","","","","aseniki","","","","","aseniki","","","aseniki","","","","","","aseniki","","",""
"arteriosclerosis","","","arteriosklerose","slagaarverharding","","","","","uvaleko loonothumelagazi","","","","sifo sekucina kwemisipha","i-atheriyoklerosi","","","i-atheriyostlerosisi","i-arteriosclerosis","","thatafalotshika","","","","kotofatšotšhika","","atheriyosetlelosisi","","","thatafalo ya athari","","","vhulwadze ha u oma tsinga dza malofha","vhulwadze ha u oma ha mbondo dza ludivhitha lwa malofha","","","","","nonohato wa nthumukwana","","",""
"artery","","","arterie","slagaar","","","","","unothumelagazi","","","","umtsambo lotfumelako","","","","umthambo othumelako","","","tshikelammeleng","","","","tšhikaseišamadi","","athari","","","mothapo o fepelang madi","","","ludivhitha","","","","","","nthumukwana","","",""
"arthralgia","joint pain","","gewrigspyn","artralgie","","","","","iingqaqambo zamalungu","","","","buhlungu bemalunga","","","","ubuhlungu bamalungu","","","botlhokotokololong","","","","bohlokomalokollo","","","","","bohloko lenonyeletsong","","","vhuṱungu ha zwinungo","u vhavha ha zwinungo","","","","","xivavimahlanganweni","","",""
"arthritis","","","artritis","gewrigsontsteking","","","","","isifo samathambo","","","","sifo semalunga","","","","ukuqaqamba kwamalungu","i-athrayithisi","","ramatiki","","","","tšhatšhamelothurugomalokollo","","","","","atheraethisi","","","vhulwadze ha marambo","vhulwadze ha zwinungo","","","","","vuvabyi bya mahlangano","","",""
"asbestosis {chronic lung disease}","","","asbestose","asbessiekte","","","","","isifo seasbhestosi","iasbhestosisi","","","sifo selitjeboya","","","","isifo selitjeboya","","","lehubaasebesetose","","","","bolwetšimafahlahlolwa kemarela","","asepesetosisi","","","asebestosese","","","vhulwadze ha asibesiṱosi","","","","","","vuvabyi bya marilarila","","",""
"aseptic <adj.> {free from germs}","","","asepties","steriel","kiemvry","","","","-ngenantsholongwane","","","","-ngenakubola","","","","-nganangogwana","","","-phepa","","","","-hlokagotwatši","","","","","-hlwekileng","","","tshayazwitzhili","","","","","","-nkalo wa switsongwatsongwana","","",""
"aseptic processing","","","aseptiese prosessering","steriele prosessering","kiemvrye prosessering","","","","ubulawozintsholongwane","","","","lunakekelomkhicito loluvimbela kubola","","","","itjhejo lokuvikela ingogwana","","","phepafatso","","","","tlhwekišišothibelatwatši","","","","","tlhwekisiso","","","vhuthivhelazwitzhili","","","","","","masivelelo ya switsongwatsongwana","","",""
"aseptic technique","","","aseptiese tegniek","steriele tegniek","kiemvrye tegniek","","","","uthintelozintsholongwane","","","","indlela yekuvimbela kubola","","","","ukuvikela ukusabalala kwengogwana","","","thekenikiphepafatso","","","","theknikithibelatwatši","","","","","mokgwa wa tlhwekisiso","","","nḓila ya u thivhela zwitzhili","","","","","","thekiniki ya nsivelowa switsongwatsongwana","","",""
"aspirin","","","aspirien","aspirine","asetielsalisielsuur","","","","iaspirin","","","","i-asprini","","","","i-aspirini","","","aspirin","","","","asipirini","","","","","aspirini","","","asipirini","","","","","","asipirini","","",""
"asthenia {lack of energy and strength}","","","astenie","swakheid","kragteloosheid","","","","utyhafo","iastheniya","","","kungabi nemdlandla","","","","-nganamdlandla","-nganamandla","","bokoa","","","","go hloka mafolofolo","","","","","ho tsherema","","","maneto mahulu","","","","","","nkantamu","nkamatimba","",""
"ataxia","ataxy","","ataksie","motoriese inkoördinasie","","","","","ukungasebenzisani kwezihlunu zomzimba","iathaksiya","","","lidvumbe","kungasebentisani kwemalunga emtimba","i-athakshiya","","ukungasebenzisani kwamalunga womzimba","i-athakziya","","tsherepano","athaxia","","","mothekeselo","","athakesiya","","","mothekeselo","eithaksia","","athakizia","u shumisana ha miraḓo ya muvhili zwi tshi bva maluvhini","","","","","nkantirhisano wa swirho","","",""
"atopic eczema","","","atopiese ekseem","atopiese dermatitis","","","","","isigulo sokoma kwesikhumba","iekzima","","","lukhwekhwe","sifo sekunwayisa","","","ikhwekhwe","","","motshweetshwee","lekgwekgwe","","","sekgalaka","","sebabo","","","lekgwekgwe","nngwae","","athopiki ekzima","ekizima ya u ṱhoṱhonwa","","","","","nkhwaxo","","",""
"attention deficit hyperactivity disorder","ADHD","","aandaggebrekhiperaktiwiteitsteuring","ADHD","","","","","ukundweba okungalawulekiyo","","","","sifo sekuba nemdlandla ngalokwendlulele","","","","ukupharhazela kokutlhayelelwa yingqonama","ubujamo bokutlhayelelwa yingqonama okudluleleko","","bophakwane","","","","mahlahlaphapogo","","","","","bohloko ba mafolofolo a hlokisang tsepamiso ya maikutlo","","","vhulwadze ha u sa tokomelwa","","","","","","vuvabyi nkakongomiso wa miehleketo","","",""
"autoimmune disease","","","outo-immuunsiekte","outoïmmuunsiekte","","","","","ukuzihlasela komzimba","","","","sifo sekutihlasela kwemtimba","","","","umazibulala wevikelomzimba","ukuzibulala kwevikelomzimba","","itlhaselo ya ditogwa","ikoafatso ya ditogwa","","","boitwantšho bja mašolemmele","","","","","boitwantsho ba masole mmeleng","","","vhulwadze ha u ṱhaselwa muvhili nga maswole a muvhili","","","","","","vutihlaseri bya miri","","",""
"backache","","","rugpyn","","","","","","iingqaqambo zomqolo","","","","buhlungu belicolo","","","","ubuhlungu bomgogodlha","","","setlhabi sa mokwatla","","","","sehlabimokokotlong","","","","","ho opa ha mokokotlo","","","u vhavha ha muṱana","u vhavha ha muṱoḓo","","","","","ku vava ka nhlana","","",""
