id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,afr__004,afr__005,afr__006,xho__001,xho__002,xho__003,xho__004,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,Setswana__-,nde__002,nde__003,nso__001,Sesotho__-,nso__002,nso__003,nso__004,ven__001,ven__002,ven__003,ven__004,ven__005,ven__006,tso__001,tso__002,tso__003,tso__004
dsac_pharm_first_00021,albinism,,,albinisme,,,,,,ubunkawu,ialbhinizimu,,,i-abhinizimu,,,,ubukawu,,i-albhinizimu,ubu-albhino,boswefe,,bohwehle,bohwama,boalepino,vhuaḽibino,vhuaḽbino,,,,,vualibino,,,
dsac_pharm_first_00022,albumin,,,albumien,albumine,eiwitstof,,,,ialbhumini,,,,i-alibhumini,,,,i-albhumini,,,,alpumini,,alipumini,,,aḽibumini,aḽbumini,,,,,alibumini,,,
dsac_pharm_first_00023,aliquot,,,alikwot,,,,,,ialikhothi,,,,isampula,incenye,i-alikhothi,,i-alikhothi,,,,sampolephehleko,,alikhote,,,sambulaṱholwa,aḽikhwathi,,,,,alikhoto,,,
dsac_pharm_first_00024,alkalinity,,,alkaliniteit,,,,,,ubungakanani bealkhali,,,,silinganiso se-alkhali,bungako be-alkhali,,,isilinganiso se-alkhali,,ubu-alkhali,,go toka,,alekalinithi,,,phimo ya aḽikaḽi,phimo ya aḽkaḽi,,,,,vualikali,,,
dsac_pharm_first_00025,alkali salt,,,alkalisout,,,,,,ityuwa ealkhali,,,,sawoti we-alkhali,luswayi lwe-alkhali,,,itswayi le-alkhali,,,,letswaitoka,,,,,muṋo wa aḽikaḽi,muṋo wa aḽikaḽi,,,,,munyu wa alikali,,,
dsac_pharm_first_00026,allergic reaction,,,allergiese reaksie,,,,,,ukuguliswa kokwaliwa ngumzimba,ialeji,,,kwaliwa ngumtimba,kungahambisani nemtimba,i-aleji,,okwaliwa mzimba,,,,go ba le aletši,,,,,u vha na aḽedzhi,,,,,,rinyenyanyenya ra miri,,,
dsac_pharm_first_00027,alopecia {medical condition that causes hair loss},,,alopesie,haarloosheid,,,,,ukutshanduka,ialopheshiya,,,kucotfuka tinwele,kulahlekelwa tinwele,i-alopheshiya,,ukuthintitheka kweenhluthu,,ukuthintitheka koboya,i-alophetjhiya,tahlegeloriri,,alophešia,,,vhulwadze ha u guvhuwa mavhudzi,aḽopheshia,,,,,nghuvukamisisi,,,
dsac_pharm_first_00028,alternative medicine {preventative healthcare practices},,,alternatiewe geneeskunde,,,,,,unyango olulolunye,,,,kwelapha lokwehlukile,,,,enye indlela yokwelapha,,,,kalafišele,,,,,muṅwe mushonga,mushonganyimelamuṅwe,,,,,vutshunguri bya muxaka wun’wana,,,
dsac_pharm_first_00029,alveolus {air sac in the lungs},,,alveolus,longblasie,longsakkie,,,,izingxotyana zemiphunga,,,,lisakamoya,,,,i-alviyolasi,,,,mokotlamoya (maswafong),,aleviyolase,,,aḽivioḽasi,aḽvioḽasi,,,,,alivhiyolasi,,,
dsac_pharm_first_00030,Alzheimer's disease,,,alzheimersiekte,alzheimers,Alzheimer se siekte,,,,isigulo sokulibala,,,,sifo sekudideka kwengcondvo,sifo se-Alzheimer,,,i-Alzheimer,,,,bolwetši bja Alzheimer,,,,,vhulwadze ha Alzheimer,vhulwadze ha muhumbulo ha Alzheimer,,,,,vuvabyi bya Alzheimer,,,
dsac_pharm_first_00031,ambient temperature,,,omgewingstemperatuur,omringende temperatuur,,,,,iqondo lobushushu elilungelelanisiweyo,,,,lizingakushisa lendzawotsite,,,,izinga lokutjhisa lebhoduluko,,,,themphereitšhatikologo,,,,,thempheretsha yo linganelaho,,,,,,mahiselo ya ndhawu,,,
dsac_pharm_first_00032,amino acid,,,aminosuur,,,,,,iamino asidi,izakhiprothini,,,i-amino esidi,takhi temaphrotheyini,,,i-amino esidi,,,,aminoesiti,,,,,dungi ya amino,esidi ya amino,,,,,aminoasidi,,,
dsac_pharm_first_00033,amnesia,,,geheueverlies,amnesie,,,,,ukulibala,iamniziya,,,sifo sekukhohlwa,i-amneshiya,,,ukulahlekelwa mkhumbulo,,i-amneziya,,amnišia,,aminešia,,,khangwa,,,,,,xiphuswa,xirive,,
dsac_pharm_first_00034,amniotic fluid,,,vrugwater,amnionvog,amniotiese vloeistof,,,,amanzi omkhaya,amanzi omgcantsi,,,incipho,,,,amanzana wombungu,,,,seela sa motse,,seela sa aminiothiki,,,tshiṱanga,,,,,,mati ya xivelekelo,,,
dsac_pharm_first_00035,ampoule <Great Britain>,ampule,,ampule,ampul,ampulle,,,,ibhotilana yesitofu,iampuli,,,libhodlelana lemjovo,sipononoza semjovo,i-amphuli,,ibhodlelwana lomjovo,,i-amphiyoli,,amphoulu,,,,,ampuḽu,,,,,,ampulu,,,
dsac_pharm_first_00036,anaerobic bacteria,,,anaërobiese bakterieë,,,,,,iintsholongwane ezingaphili ngomongomoya,,,,ligciwane lelingaphili ngemoyamphilo,,,,umulwana ongaphili ngommoya,,ibhakthiriya engaphili nge-oksijini,,paketheriahlokaoksitšene,,paketheria yeo e golago ntle le okisitšene,,,bakitheria i no tshila si na muyamufhe,baktheria i no tshila hu si na muyamufhe,bakitheria i no tshila hu si na gesedungi,baktheria i no tshila hu si na gesedungi,bakitheria i no tshila hu si na okisidzheni,baktheria i no tshila hu si na oksidzheni,xitsongwatsongwanamavenga-moyatenga,,,
dsac_pharm_first_00037,anaesthetic <Great Britain> {substance that produces reversible loss of consciousness},anesthetic <United States>,,anestetikum,narkosemiddel,verdowingmiddel,,,,isilalisizivo,ichiza lokudoma,,,silalisimiva,,,,isidambisimizwa,,,,seidibatši,,,,,tshidzidzivhadzi,,,,,,xititivati,xitlanyati,,
dsac_pharm_first_00038,analgesia {inability to feel pain while conscious},,,analgesie,analgie,pynstilling,pynverdowing,,,ukungeva ngqaqambo,,,,kubulala tinhlungu,kungeva buhlungu,,,ukungezwa ubuhlungu,,,,go se kwe bohloko,,,,,tshifhedzavhuṱungu,,,,,,xititivataswitwi,,,
dsac_pharm_first_00039,analgesic {medication to relieve pain},,,pynstiller,pyndoder,analgesikum,pynstillende middel,,,isibulalintlungu,isidambisintlungu,isithomalalisintlungu,,sibulalitinhlungu,,,,isibulaliinhlungu,,,,seokobatšabohloko,,sebolayabohloko,,,tshivhulayavhuṱungu,,,,,,ntitivalaswivavi,,,
dsac_pharm_first_00040,analogous substitution {dispensing of medicine},,,analoëvervanging,,,,,,iyeza elingelolentsusa,,,,kusebentisa umutsifanana,,,,isijamiseleli esifanako,,isihlahla esisebenza njengesinye,,motswakophodišotshwano,,,,,mushonga u no imela muṅwe,,,,,,vusivamurhifanana,,,
dsac_pharm_first_00041,anaphylaxis {allergic response},,,anafilakse,,,,,,ukwaliwa liyeza okumandundu,ialeji emandundu,,,emanyabila,emanyabinga,lokwaliwa ngumutsi lokubucayi,,ukutsirimezeka,,i-anafileksisi,,anafilakisisi,,aletšikotsikotsi,,,ndambatshifu,ndamba i re khombo,anafilekisisi,aḽedzhitshifu,,,rinyenyanyenyamaxungetavutomi,,,
dsac_pharm_first_00042,ancillary material,,,bykomende materiaal,hulpmateriaal,,,,,izincedisi kumachiza,,,,tinsitakuphelelisa,tinsitalwesekelo,,,imethiriyali esekelako,,,,didirišwatlaleletšothuši,,,,,zwishumiswa zwa u tikedza,,,,,,switirhisiwanseketelo,,,
dsac_pharm_first_00043,aneurysm,,,aneurisme,,,,,,iqhubu emthanjeni,,,,kuvuvuka kwemtsambo,kudvumba kwemtsambo,,,ukuvuvuka komthambo,,ukudumba komthambo,,aneyurisimi,,kokomogotšhikamadi,,,u punda ha lutsinga,,,,,,nkukumuko wa nsiha,,,
dsac_pharm_first_00044,angina pectoris {heart cramp},,,angina,hartkramp,,,,,ubulalekontliziyo,ianjina,,,lihlaba,,,,isihlabi sehliziyo,,i-anjaniya,,sehlabipelong,,entšaena,,,anzhaina,,,,,,xitlhavimbilwini,,,
dsac_pharm_first_00045,animal fat {nutrition},,,diervet,dierevet,,,,,inqathe,,,,emanoni,emafutsa enyama,,,amafutha wenyama,,,,makhuraphoofolo,,,,,mapfhura a phukha,,,,,,mpambana,,,
dsac_pharm_first_00046,anion {chemistry},,,aniioon,,,,,,ianiioni,,,,i-athomu lengenamandla,i-aniyoni,,,i-aniyoni,,,,eneayone,,,,,aniyoni,,,,,,aniyoni,,,
dsac_pharm_first_00047,anorexia nervosa,,,anoreksie,anorexia nervosa,,,,,isigulo sokuzilambisa,ianoreksiya,,,sifo sekutilambisa,sifo sekutincisha kudla,,,ubulwele bokusaba ukudla,,i-anerokziya nevosa,,poifonono,,anorekesia nerevosa,,,vhulwadze ha u shavha u ḽa,,,,,,vutidlayisandlala,vutisikisi,,
dsac_pharm_first_00048,antacid {medication to neutralise acid in the stomach},,,teensuurmiddel,teensuur,,,,,ichiza lesilungulela,ichiza lesitshisa,,,sicedza silungulela,,,,isithundubazi se-esidi,,isigogobalisi se-esidi,,selwantšhaesiti,,,,,tshidzimuladungi,tshidzimulaesidi,,,,,xitimulaasidi,,,
dsac_pharm_first_00049,antibacterial <adj.>,,,antibakteries,antibakterieel,antibakteriële,,,,isibulalantsholongwane,,,,-bulalimagciwane,,,,-bulalimulwana,,,,-šitišago paketheria,,,,,tshivhulahatshitzhili,tshivhulayatshitzhili,tshivhuhabakitheria,tshivhuhabaktheria,,,-xilwanaswitsongwatso-ngwana,,,
dsac_pharm_first_00050,anticoagulant {medication to eliminate blood clots},,,teenstolmiddel,antikoagulant,antistolmiddel,,,,isihlobisigazi,,,,sivimbelimahlwili,sihlambululingati,,,isikhandelimahlwili,,isibulalimahlwili,,sethibelakgahlomadi,,,,,tshithivhela u kheṱha ha malofha,,,,,,xisivelantiyangati,,,
dsac_pharm_first_00051,antidepressant {medication to treat depression},,,antidepressant,depressieteenmiddel,,,,,isithintelikudakumba,isithintelikunxunguphala,,,sicedzakudzangala,,,,iselaphi kudamba,,,,seimollakgatelelomona gano,,,,,tshithivhelamutsiko wa muhumbulo,,,,,,xisivelantshikelelamiehleketo,,,
dsac_pharm_first_00052,anti-emetic {medication to treat nausea},antemetic,,antiëmetikum,braakteenmiddel,,,,,isithintelisicaphucaphu,isinqamlikugabha,,,sivimbelikunyakuleka,sivimbelikuhlanta,,,isivimbelikuhlanza,,isikhandelikuhlanza,,sethibelatshellego,,,,,tshithivhela u ṱanza,,,,,,xisivelahlanto,,,
dsac_pharm_first_00053,antifungal {medication to treat fungal infections},antifungoid,,swamteenmiddel,skimmelweerder,antifungusmiddel,,,,isithintelikungunda,,,,sicedzisikhuntsa,sicedzisikhowa,,,isihlahla sefangasi,,,,sethibelamouto,,,,,tshithivhelalugowa,tshithivhela tshitzhili tsha fangasi,,,,,xisivelamfurho,,,
dsac_pharm_first_00054,anti-inflammatory {medication to manage pain and inflammation},,,antiinflammatoriese middel,ontstekingsteenmiddel,,,,,isidambisikukrala,,,,sicedzitinhlungu,silawulikuvuvuka,,,iselaphikufutha,,,,sethibelatšhatšhamelothurugo,,sethibelainflameišene,,,mushonga wa u thivhela u zwimba,,,,,,xisivelampfimbo,xisivelandzhumbelo,xisivelambavuko,
dsac_pharm_first_00055,antimalarial {medication that treats malaria},,,antimalariamiddel,malariateenmiddel,,,,,ichiza lecesina,ichiza lomkhuhlane weengcongconi,,,sivimbelimalalaveva,sicedzimalalaveva,,,isivikeli sikamalalehlengezela,,iselaphi semalariya,,sethibelamalaria,,,,,tshithivheladali,tshithivhelamaḽaria,,,,,xisiveladari,murhi wa dari,,
dsac_pharm_first_00056,antineoplastic drug {to treat cancer},,,antineoplastiese middel,antineoplastiesegeneesmiddel,antineoplastikum,,,,isithintelikunaba komhlaza,,,,sivimbelitimila,,,,isivimbelikunabakwekan kere,,,,sethibelakankere,,anthinyoplastiki,,,mushonga wa u thivhela u phaḓalala ha pfhuko,mushonga wa u thivhela u phaḓalala ha ṱhahala,mushonga wa u thivhela u phaḓalala ha khentsa,,,,xisivelahangalakomatshumbamfukuzana,murhi wa matshumbamfukuzana,,
dsac_pharm_first_00057,antipyretic {medication that reduces fever},antifebrilic,,koorswerende middel,koorsbestryder,koorsweerder,antipiretikum,,,iyeza lobushushu,,,,sidzambisikushisa,sidzambisitinhlungu,,,isidambisifiva,,,,sefokotšaphišommele,,,,,mushonga wa u fhungudza mufhiso,mushonga wa fhunguda mudinyane,,,,,xihunguta-ku-hisa-ka-miri,,,
dsac_pharm_first_00058,antiseptic <n.> {substance that kills bacteria},,,ontsmettingsmiddel,antiseptikum,antiseptiese middel,,,,isithintelikubhidla,,,,sibulalimagciwane,,,,isivimbelikubhibhidlha,,,,sešitišaphero,,sebolayapaketheriya,,,mudzivhatsiṱo,tshithivhelatshili,,,,,xixuvi,xidlayavubori,,
dsac_pharm_first_00059,antitoxin,,,antitoksien,antitoksine,teengif,,,,isilwityhefu,,,,sincandzibutsi,sibulalibutsi,sicedzibutsi,,isivimbelitjhefu,,,,selwantšhampholo,,,,,tshidzivhamulimo,,,,,,xilwisachefu,xilwisavuxungu,,
dsac_pharm_first_00060,appendicitis,,,blindedermontsteking,appendisitis,,,,,ukukrala kothunjana,,,,kuvuvuka kwaphambukani,,,,ubuhlungu be-aphendiksi,,,,tšhatšhamelothurugoa phentikisi,,,,,vhulwadze ha u zwimba tshilagu,apendikisi,,,,,mpfimbo wa xincilana xa rhumbu,ndzhumbelo wa xincilana xa rhumbu,,
dsac_pharm_first_00061,arsenic {very poisonous element},,,arseen,,,,,,ikhemikhali enetyhefu,,,,ikhemikhali lenebutsi,i-asenikhi,,,i-aseniki,,,,aseniki,,,,,aseniki,,,,,,aseniki,,,
dsac_pharm_first_00062,arteriosclerosis,,,arteriosklerose,slagaarverharding,,,,,uvaleko loonothumelagazi,,,,sifo sekucina kwemisipha,i-atheriyoklerosi,,,i-atheriyostlerosisi,,i-arteriosclerosis,,kotofatšotšhika,,atheriyosetlelosisi,,,vhulwadze ha u oma tsinga dza malofha,vhulwadze ha u oma ha mbondo dza ludivhitha lwa malofha,,,,,nonohato wa nthumukwana,,,
dsac_pharm_first_00063,artery,,,arterie,slagaar,,,,,unothumelagazi,,,,umtsambo lotfumelako,,,,umthambo othumelako,,,,tšhikaseišamadi,,athari,,,ludivhitha,,,,,,nthumukwana,,,
dsac_pharm_first_00064,arthralgia,joint pain,,gewrigspyn,artralgie,,,,,iingqaqambo zamalungu,,,,buhlungu bemalunga,,,,ubuhlungu bamalungu,,,,bohlokomalokollo,,,,,vhuṱungu ha zwinungo,u vhavha ha zwinungo,,,,,xivavimahlanganweni,,,
dsac_pharm_first_00065,arthritis,,,artritis,gewrigsontsteking,,,,,isifo samathambo,,,,sifo semalunga,,,,ukuqaqamba kwamalungu,,i-athrayithisi,,tšhatšhamelothurugomalokollo,,,,,vhulwadze ha marambo,vhulwadze ha zwinungo,,,,,vuvabyi bya mahlangano,,,
dsac_pharm_first_00066,asbestosis {chronic lung disease},,,asbestose,asbessiekte,,,,,isifo seasbhestosi,iasbhestosisi,,,sifo selitjeboya,,,,isifo selitjeboya,,,,bolwetšimafahlahlolwa kemarela,,asepesetosisi,,,vhulwadze ha asibesiṱosi,,,,,,vuvabyi bya marilarila,,,
dsac_pharm_first_00067,aseptic <adj.> {free from germs},,,asepties,steriel,kiemvry,,,,-ngenantsholongwane,,,,-ngenakubola,,,,-nganangogwana,,,,-hlokagotwatši,,,,,tshayazwitzhili,,,,,,-nkaswitsongwatsongwana,,,
dsac_pharm_first_00068,aseptic processing,,,aseptiese prosessering,steriele prosessering,kiemvrye prosessering,,,,ubulawozintsholongwane,,,,lunakekelomkhicito loluvimbela kubola,,,,itjhejo lokuvikela ingogwana,,,,tlhwekišišothibelatwatši,,,,,vhuthivhelazwitzhili,,,,,,masivelelo ya switsongwatsongwana,,,
dsac_pharm_first_00069,aseptic technique,,,aseptiese tegniek,steriele tegniek,kiemvrye tegniek,,,,uthintelozintsholongwane,,,,indlela yekuvimbela kubola,,,,ukuvikela ukusabalala kwengogwana,,,,theknikithibelatwatši,,,,,nḓila ya u thivhela zwitzhili,,,,,,thekiniki ya nsivelaswitsongwatsongwana,,,
dsac_pharm_first_00070,aspirin,,,aspirien,aspirine,asetielsalisielsuur,,,,iaspirin,,,,i-asprini,,,,i-aspirini,,,,asipirini,,,,,asipirini,,,,,,asipirini,,,
dsac_pharm_first_00071,asthenia {lack of energy and strength},,,astenie,swakheid,kragteloosheid,,,,iastheniya,utyhafo,,,kungabi nemdlandla,,,,-nganamdlandla,,-nganamandla,,go hloka mafolofolo,,,,,maneto mahulu,,,,,,nkantamu,nkamatimba,,
dsac_pharm_first_00072,ataxia,ataxy,,ataksie,motoriese inkoördinasie,,,,,ukungasebenzisani kwezihlunu zomzimba,iathaksiya,,,lidvumbe,kungasebentisani kwemalunga emtimba,i-athakshiya,,ukungasebenzisani kwamalunga womzimba,,i-athakziya,,mothekeselo,,athakesiya,,,athakizia,u shumisana ha miraḓo ya muvhili zwi tshi bva muluvhini,,,,,nkantirhisano wa swirho,,,
dsac_pharm_first_00073,atopic eczema,,,atopiese ekseem,atopiese dermatitis,,,,,iekzima,isigulo sokoma kwesikhumba,,,lukhwekhwe,sifo sekunwayisa,,,ikhwekhwe,,,,sekgalaka,,sebabo,,,athopiki ekzima,ekizima ya u ṱhoṱhonwa,,,,,nkhwaxo,,,
dsac_pharm_first_00074,attention deficit hyperactivity disorder,ADHD,,aandaggebrekhiperaktiwiteitsteuring,ADHD,,,,,ukundweba okungalawulekiyo,,,,sifo sekuba nemdlandla ngalokwendlulele,,,,ukupharhazela kokutlhayelelwa yingqonama,,ubujamo bokutlhayelelwa yingqonama okudluleleko,,mahlahlaphapogo,,,,,vhulwadze ha u sa tokomelwa,,,,,,vuvabyi nkakongomisamiehleketo,,,
dsac_pharm_first_00075,autoimmune disease,,,outo-immuunsiekte,outoïmmuunsiekte,,,,,ukuzihlasela komzimba,,,,sifo sekutihlasela kwemtimba,,,,umazibulala wevikelomzimba,,ukuzibulala kwevikelomzimba,,boitwantšho bja mašolemmele,,,,,vhulwadze ha u ṱhaselwa muvhili nga maswole a muvhili,,,,,,vutihlaseri bya miri,,,
dsac_pharm_first_00076,backache,,,rugpyn,,,,,,iingqaqambo zomqolo,,,,buhlungu belicolo,,,,ubuhlungu bomgogodlha,,,,sehlabimokokotlong,,,,,u vhavha ha muṱana,u vhavha ha muṱoḓo,,,,,ku vava ka nhlana,,,
dsac_pharm_first_00077,background contamination,,,agtergrondkontaminering,agtergrondkontaminasie,,,,,ukungcoliseka ngempazamo,,,,kungcoliseka ngeliphutsa,,,,ukusilaphazeka ngephoso,,,,tšhilafatšophošo,,,,,tshikafhadzo,,,,,,nthyakiso hi xihoxo,,,
dsac_pharm_first_00078,bed rest,,,bedrus,,,,,,ukuphunyuliswa ngugqirha,,,,kuphumula embhedeni,,,,ukulatjhwa ngokulaliswa,,ukulatjhelwa embhedeni,,khutšišobolaong,,,,,u awedzwa ha mulwadze,u runda wo eḓela,,,,,ku wisa,,,
dsac_pharm_first_00079,bed wetting,enuresis,,bednatmaak,enurese,,,,,ukuzichamela ulele,ukuchamela umandlalo,,,kutichamela ulele,kutitfundzela uma ulele,,,ukuthunda eengutjeni,,,,boroteladikobo,,bortelabolao,,,u runda wo lala,u runda wo eḓela,,,,,ku titsakamisela evurhongweni,ku bobodla,,
dsac_pharm_first_00080,benefit-risk profile,,,voordeel-risiko-profiel,,,,,,iinkcukacha zokuyinzuzo nokuyingozi,,,,luhlatiyo lwetinzuzo nebungoti,,,,icozululo lenzuzo nengozi,,,,tshekatsheko ya dikholego le dikotsi,,,,,mbambedzo ya mbuelo na tshinyalelo,,,,,,nkambisisamatimumbuyelo nxungeto,,,
dsac_pharm_first_00081,benign <adj.> {e.g. a tumour},,,goedaardig,benigne,,,,,-nganweniyo,,,,-ngenangoti,,,,-ngabulaliko,,-nganangozi,,-tlhokago kotsi,,,,,si khombo,,,,,,-nkala-khombo,,,
dsac_pharm_first_00082,bifocal {lenses},,,bifokaal,,,,,,-bonisa kabini,,,,sibonisimabanga lamabili,,,,isibonisikabili,,,,ponopedi,,,,,mbonakavhili,,,,,,mavonisambirhi,,,
dsac_pharm_first_00083,bile {secreted by liver},gall,,gal,,,,,,inyongo,,,,inyongo,,,,inyongo,,,,nnyoko,,gala,,,nyongwe,ndulu,,,,,nyongwa,,,
dsac_pharm_first_00084,bioactivity,biological activity,,bioaktiwiteit,biologiese aktiwiteit,,,,,ukuguqulwa kwemo kokungena emzimbeni,,,,umphumela wesisetjentiswa kulokuphilako,,,,umphumela wesihlahla,,,,ditlamoragotekophedi,,,,,masiandaitwa a mushonga kha zwi tshilaho,,,,,,tirhelomirini,,,
dsac_pharm_first_00085,bioavailability,biological availability,BA,biobeskikbaarheid,biologiese beskikbaarheid,,,,,umyinge osebenzayo kwichiza,umlinganiselo okhoyo egazini,,,silinganiso sesidzakamiva engatini,,,,ubungako besihlahla eengazini,,,,kelonyanywa,,kelomonwa,,,phimo ya mushonga malofhani kha zwi tshilaho,,,,,,vukonamirini,,,
dsac_pharm_first_00086,bioburden,biological burden,,biolas,biologiese las,,,,,umyinge weentsholongwane,,,,bungako bemagciwane,,,,ubungako bomulwana kokuphilako,,,,paktheriantšitši,,bontši bja paketheria,,,phimo ya zwitzhili kha zwi tshilaho,,,,,,mpimaswitsongwatso-ngwana,,,
