id,eng__001,eng__002,eng__003,eng__004,afr__001,afr__002,afr__003,zul__001,zul__002,zul__003,zul__004,xho__001,xho__002,xho__003,xho__004,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,nso__001,nso__002,nso__003,nso__004,nso__005,sot__001,sot__002,sot__003,sot__004,ven__001,ven__002,ven__003,tso__001,tso__002,tso__003
dsac_multi_parl_00011,adjustment estimate,,,,aansuiweringskatting,,,isabelosilinganiso,isabelolungiso,,,uhlengahlengiso loqikelelo-mali,,,,umcombelelo wekulungisa,,,,isilinganisosabelo,isilungisosabelo,,,tekanyetsotolamiso,,,tekanyetšotokišo,,,,,kgakanyo ya diphetoho,,,,mukovho wo dzudzanywaho,,,ncinco wa mpimanyeto,,
dsac_multi_parl_00012,administration {of an act},,,,uitvoering,,,ukusingathwa,,,,ulawulo lokuzalisekiswa komthetho,,,,kuphatsa,,,,ukusetjenziswa {komthetho},,,,tsamaiso,,,tiragatšo,,,,,tsamaiso,,,,ndaulo,vhulangi,,vulawuri,vufambisi,mafambiselo
dsac_multi_parl_00013,administrator,,,,administrateur,,,umloluleli,umsingathi,umphathi,,umloluleli,,,,umphatsi,,,,umloluleli,umphathi,,,motsamaisi,,,modiragatši,,,,,motsamaisi,,,,mulangi,,,muloluleli,mufambisi,
dsac_multi_parl_00014,affirmative action,,,,regstellende aksie,,,isenzangakhona,ukwenza ngokuyikho,,,inkqubo yokunikezela amathuba kwabo babehlelelekile,,,,sentangakhona,sentangayo,sentakulungisa,,ihlelo lokulungisa,,,,tolamisokemo,,,tirišotokišo,,,,,mohato wa tokiso,,,,ndinganyiso,,,endlelo ro lulamisa,,
dsac_multi_parl_00015,Africanisation,,,,Afrikanisering,Afrikanisasie,,ukuguqulela kubu-Afrika,ukuzigqaja ngobu-Afrika,,,ukwenziwa isiAfrika,isiAfrika,,,inchubosintfu,,,,ukufaka ubu-Afrika,ukufaka esintwini,,,Aforikafatso,,,Afrikafatšo,,,,,Afrikafatso,,,,Vhuafrika,,,Vuafrikahato,,
dsac_multi_parl_00016,African renaissance,,,,Afrika-renaissance,,,inqwelo yobu-Afrika,,,,ukuvuselelwa kobuAfrika,,,,kuvuselelwa kwe-Afrika,kutalwa kabusha kwe-Afrika,,,ukuqhakaza kobu-Afrika,ukubuyiswa kwesintu,,,tsosoloso ya Seaforika,,,tsošološo ya Seafrika,,,,,tsoseletso ya boafrika,,,,Mvusuludzo ya Afrika,,,mpfuxeto wa Xiafrika,,
dsac_multi_parl_00017,Afrocentric,,,,Afrosentries,,,ukugxila kokwase-Afrika,,,,ngokwesiAfrika,,,,bu-Afrika,,,,okudzimelele ngobu-Afrika,okuyame ngobu-Afrika,,,molebo wa Seaforika,,,botšo bja Afrika,,,,,boafrika,,,,Vhuḓibaḓekanyi na Afrika,Vhuafrika,,swa Xiafrika,,
dsac_multi_parl_00018,alternate member,,,,alternatiewe lid,,,ilungu elingummeleli,,,,ilungu elililalela,,,,libamba,,,,ilungamdlhegi,,,,morefosani,,,lelotlhatho,,,,,setho sa phapanyetsano,,,,muraḓoṱhaḓulano,muraḓomuanguli,,xirho xo siva,,
dsac_multi_parl_00019,amend v.,,,,wysig,,,-chibiyela,,,,ukuhlomela,ukulungisa,,,chibiyela,,,,khibelela,tjhugulula,,,tlhabolola,,,fetoša,,,,,fetola,,,,-khwinisa,,,antswisa,hundzuluxa,
dsac_multi_parl_00020,amendment,,,,wysiging,,,isichibiyelo,,,,isihlomelo,isilungiso,,,sichibiyelo,,,,ikhibelelo,itjhugululo,,,tlhabololo,,,phetošo,,,,,sehlomathiso,,,,khwiniso,,,antswiso,ndzhundzhuluxo,
dsac_multi_parl_00021,amendment bill,,,,wysigingswetsontwerp,,,umthethosivivinywa wokuchibiyela,umthethosivivinywa ochibiyelayo,,,umthetho- sihlomelo ongekaphunyezwa,umthetho-sihlomelo oyilwayo,,,umtsetfosivivinyo wekuchibiyela,,,,umthethomlingwa wokukhibelela,,,,molaotlhomotlhabololo,,,molaokakanywa-phetošwa,,,,,bili ya tlhomathiso,,,,mulayotibe wa khwiniso,,,nawumbisi-ndzhundzhuluxo,,
dsac_multi_parl_00022,amnesty committee,,,,amnestiekomitee,,,ikomidi likashwele,,,,ikomiti yoxolelo,,,,likomiti lekucolela,likomiti lashwele,,,ikomidi yokucolela,,,,komitiboitshwarelo,,,komititebalelo,,,,,komiti ya tshwarelo,,,,komiti ya khangwelo,,,komiti ya ndzivalelo,,
dsac_multi_parl_00023,annual report,,,,jaarverslag,,,umbiko wonyaka,,,,ingxelo yonyaka,,,,umbikomnyaka,,,,umbiko womnyaka,,,,pegelo ya ngwaga,,,pego ya ngwaga ka ngwaga,,,,,pehelo ya selemo,,,,muvhigo wa ṅwaha nga ṅwaha,,,xiviko xa lembe na lembe,,
dsac_multi_parl_00024,anti-apartheid activist,,,,anti-apartheidsaktivis,,,isishoshovu esilwa nobandlululo,isigagayi esilwa nobandlululo,isishabasheki,,itshantliziyo elilwa ucalucalulo,,,,sishikashika lesilwa nelubandlululo,,,,umtjhotjhozeli olwa ne-apartheid,,,,molwantshatlhaolele,,,molwantšhakgethologanyo ya semorafe,,,,,molwantshakgethollo,,,,mulwanatshiṱalula,,,mulwisa-xihlawuhlawu,,
dsac_multi_parl_00025,application {act},,,,toepassing {wet},,,ukusebenza komthetho,,,,usetyenziso,ukusetyenziswa,,,kusetjentiswa,kusebentisa,,,ukusetjenziswa {komthetho},,,,tiragatso,,,tiragatšo,,,,,phethahatso ya molao,,,,tshumiso,,,matirhiselo {ya nawu},,
dsac_multi_parl_00026,appropriation,,,,bewilliging,,,isabelo,,,,ulwahlomali,ulwahlomali,,,sabelo,liphakelo,,,isabelo seemali,ukwabiwa kweemali,,,kabo,,,tekanyetšo,,,,,kabo,,,,mukovho,,,nkavelo,,
dsac_multi_parl_00027,appropriation act,,,,begrotingswet,,,umthetho wesabelo,,,,umthetho wolwahlomali,,,,umtsetfo wemaphakelo,umtsetfo wesabelo,,,umthetho wokwabiwa kweemali,umthetho wesabelo seemali,,,molaokabo,,,molaotekanyetšo,,,,,molao wa kabo,,,,mulayo wa mukovho,,,nawu wa nkavelo,,
dsac_multi_parl_00028,appropriation bill,,,,begrotingswetsontwerp,,,umthethosivivinywa wesabelo,,,,umthetho oyilwayo wohlwahlomali,umthetho-sihlomelo wolwahlomali,umthetho wolwahlomali ongekaphunyezwa,umthetho wolwahlomali osaqulunqwayo,umtsetfosivivinyo,,,,umthethomlingwa wokwabiwa kweemali,,,,molaotlhomotekanyetso,,,molaokakanywa-tekanyetšo,,,,,bili ya kabo,,,,mulayotibe wa mukovho,,,nawumbisi wa nkavelo,,
dsac_multi_parl_00029,arbitration,,,,arbitrasie,,,ukulamula,ukwahlulela,ukuthatha isinqumo,,ulamlo,,,,sehlulelo,,,,ukulamulisa,,,,tsereganyo,,,bolamodi,bonamodi,,,,bonamodi,bolamodi,,,vhulamukanyi,,,vulamuri,,
dsac_multi_parl_00030,arbitrator,,,,arbiter,,,umlamuli,umahluleli,umthathi sinqumo,,umlamli,,,,umehluleli,umlawuli,,,umlamulisi,,,,motsereganyi,,,molamodi,monamodi,,,,monamodi,molamodi,,,mulamukanyi,,,mulamuri,,
dsac_multi_parl_00031,Attorney-General,,,,Prokureur-Generaal,,,uMshushisi Omkhulu,uMshushisi Jikelele,,,uMtshutshisi-Jikelele,,,,Ummeli Jikelele,Umshushisi Lomkhulu,,,iGqwetha Zombelele,,,,Ramolaokakaretso,,,Ramolaopharephare,,,,,Motjhutjhisi e Moholo,Motjhutjhisikakaretso,,,Ramilayo Muhulwane,Athoni Dzheneraḽa,,Qgwetankulu,,
dsac_multi_parl_00032,audit n.,,,,oudit,,,ukucwaninga amabhuku,,,,uphicotho-zincwadi,,,,luhlolo,lucwaningo,,,ukuhlolwa kweencwadi,,,,thuno,,,tlhakošo,,,,,bohlakisi,,,,ṱholo,u ṱola,,nhlahluvo,vukamba-tinkota,
dsac_multi_parl_00033,audit v.,,,,oudit,ouditeer,,-cwaninga amabhuku,,,,ukuphicotha iincwadi,,,,hlola,cwaninga,,,hlola iincwadi,,,,runa,,,hlakiša,,,,,hlakisa,,,,-u ṱola,-u oditha,,hlahluva,kambela {tinkota},
dsac_multi_parl_00034,Auditor-General,,,,Ouditeur-Generaal,,,uMcwaningimabhuku Omkhulu,uMcwaningimabhuku Jikelele,,,uMphicothi-zincwadi-Jikelele,,,,Umhlolimabhuku Jikelele,Umcwaningimabhuku Jikelele,,,umHloliincwadi Zombelele,,,,Morunikakaretso,,,Mohlakišipharephare,,,,,Mohlakisi e Moholo,Mohlakisikakaretso,,,Muoditha Dzheneraḽa,,,Muhlahluvi-nkulu,Mukambelatinkota-nkulu,Mukambelatinkota-angarhelo
dsac_multi_parl_00035,back-bencher,,,,agterbanker,,,ilungu lephalamende elingenasikhundla,,,,ilungu elingenasikhundla,,,,mahlalemuva,,,,ilunga elinganasikhundla,,,,motshegetsi,,,molelokofela,,,,,modulakote,,,,muraḓozwawo,,,xirho-ntsena,,
dsac_multi_parl_00036,ballot box,,,,stembus,,,ibhokisi lamavoti,,,,ibhokisi yeevoti,,,,libhokisi lekuvota,libhokisi lebhalothi,,,ibhokisi lamavowudu,,,,lebokoso la dipampiritlhopho,lebokoso la dibaloto,,lepokisi la diboute,lepokisi la divoute,,,,lebokoso la balote,,,,bogisi ḽa u voutela,,,bokisi ra baloto,,
dsac_multi_parl_00037,ballot paper,ballot,,,stembrief,,,iphepha lokuvota,,,,ivoti yasekhusini,,,,liphepha lekuvota,ibhalothi,,,iphepha lokuvowuda,,,,pampiritlhopho,baloto,,letlakala la go bouta,letlakala la go vouta,pampiri ya go bouta,pampiri ya go vouta,,balote,pampiri ya ho vouta,,,bammbiri ḽa u voutela,baḽotho,,baloto,,
dsac_multi_parl_00038,bantustan,,,,bantoestan,,,izabelo zabansundu,i-bantustan,,,amaphandle,amazwana ayengamaphandle,,,sabelo,,,,iindawo zabantu,isabelo,,,nagalegae,,,nagalegae,,,,,nahana ya kgethollo,,,,shangohaya,,,tiko-xikaya,,
dsac_multi_parl_00039,bargaining chamber,,,,bedingingskamer,,,isigcawu sokuxoxisana,isigcawu sokubonisana,,,iqonga leengxoxo,,,,inkundla yekubonisana,ligumbi lekubonisana,ishemba yekubonisana,,ikundla yokukhulumisana,,,,phaposi ya ditherisano,phaposi ya dipuisano,,phapoši ya ditherišano,,,,,moifo wa dingangisano,,,,tshigwada tsha nyambedzano,,,ndhawu yo popela,,
dsac_multi_parl_00040,bargaining council <formerly industrial council>,,,,bedingingsraad <voorheen nywerheidsraad>,,,umkhandlu wokuxoxisana,umkhandlu wokubonisana,,,iqumrhu leengxoxo,ibhunga leengxoxo,,,sigungu sekubonisana,umkhandlu wekubonisana,,,umkhandlu wokukhulumisana,,,,khansele ya ditherisano,phaposi ya ditherisano,,khantshele ya ditherišano,,,,,lekgotla la dingangisano,,,,khoro ya nyambedzano,,,huvo yo popela,,
dsac_multi_parl_00041,basic right,,,,basiese reg,,,ilungelo eliyisisekelo,ilungelongqangi,,,ilungelo elingundoqo,,,,lilungelo lelisisekelo,lilungelonchanti,,,ilungelo elisisekelo,ilungelontangi,,,ditshwanelotheo,,,tokelo ya motheo,,,,,tokelo ya motheo,,,,pfanelo tewa,pfanelo ya muteo,,mfanelo ya mani na mani,mfanelo ya masungulo,
dsac_multi_parl_00042,bicameralism,,,,bikameralisme,,,iphalamende elingundlumbili,,,,ubundlumbini,,,,bundlumbili,,,,isibethamthetho esiinkhundlambili,,,,bontlopedi,,,lekgotlapeamelao la mengwako ye mebedi,,,,,bokgotlapedi,,,,phaḽamennde ya nnḓu mbili,,,vuhuvo-mbirhi,,
dsac_multi_parl_00043,bill,,,,wetsontwerp,,,umthethosivivinywa,,,,umthetho ongekaphunyezwa,umthetho osayilwayo,umthetho osaqulunqwayo,ibhili,umtsetfosivivinyo,,,,umthethomlingwa,,,,molaotlhomo,,,molaokakanywa,,,,,bili,,,,mulayotibe,,,nawumbisi,,
dsac_multi_parl_00044,bill of rights,,,,handves van regte,,,umqulu wamalungelo esintu,,,,usomqulu wamalungelo,umqulu wamalungelo oluntu,,,luhlu lwemalungelo,umculu wemalungelo,,,ivikelamalungelo,,,,molaotlhomo wa ditshwanelo,molaokaedi wa ditshwanelo,,molao wa ditokelo,,,,,bili ya ditokelo,,,,pfanelo dza vhathu,mulayo wa pfanelo dza vhathu,,nxaxamelo wa timfanelo,,
dsac_multi_parl_00045,black consciousness,,,,swartbewustheid,,,ukuzigqaja ngokubamnyama,,,,ukuzingca ngobumnyama,,,,kuticabuka kwalabamnyama,kutigcabha ngekubansundvu,,,ukuzikhakhazisa,,,,boitemogo jwa bantsho,,,boitemogo bja babaso,phahlologo ya babaso,,,,boitemoho ba babatsho,,,,vhuḓipfi ha vharema,,,vutinyungubyisi hi vuntima,,
dsac_multi_parl_00046,black economic empowerment,BEE,,,swart ekonomiese bemagtiging,,,ukuthuthukiswa kwabamnyama kwezomnotho,,,,uphuhliso lwabamnyama kwezoqoqosho,i-BEE,,,kuniketa labamnyama emandla kutemnotfo,i-BEE,,,i-BEE,ukuthuthukiswa kwabanzima ngokomnotho,,,maatlafatso ya bantsho mo ikonoming,tshegetso ya bantsho mo ikonoming,,BEE,Maatlafatšo ya Bathobaso ekonoming,,,,BEE,matlafatso ya babatsho moruong,,,u ṋewa maanḓa ha vharema ha ekonomi,,,ntiyisa-vubindzu bya vantima,,
dsac_multi_parl_00047,bosberaad,,,,bosberaad,,,umhlangano wokuhlela oyinguyazana,,,,imbizo,,,,umhlanganonkhwace,,,,umhlangano wemrageni,,,,kopanoithuno,boseberate,,lekgotla la ka kutamong,lekgotla la sephiring,bosbarate,,,lekgotla,,,,muṱangano wa tshidzumbe,bosiberadi,,nhlengeletano-xihiri,,
dsac_multi_parl_00048,bottleneck,,,,bottelnek,knelpunt,,ukuminyana,,,,ukuxinga,isithintelo,,,sitsikameto,sinklinyanklinya,sihibe,,ukuminyana,,,,pitlagano,maparego,,tšhitantšho,tšhitišo,paledišo,,,ho kgina tswelopele,,,,zwiongolosi,,,ntlimbo,ku haka rimitsu,
dsac_multi_parl_00049,brief v. {e.g. cabinet},,,,voorlig,,,-nqampunela,-cobelela,,,ukuchaza,ukuchazela,ukutyhilela,ukucacisela,chatsatela,,,,layela,,,,sedimosetsa,,,lemoša,fahloša,,,,tsebisa,,,,-nyeṱulela,,,hlamusela,,
dsac_multi_parl_00050,briefing {e.g. to cabinet},,,,voorligting,,,ukunqampunela {ikhabhinethi},ukucobelela,,,ingcaciso,ukutyhilela,inkcazelo,,kuchatsatela,sicatsatelo,,,umhlangano wokubika,ukubika,,,tshedimosetso,,,go lemoša,go fahlolla,,,,tsebiso,,,,u nyeṱulela,,,ku hlamusela,,
dsac_multi_parl_00051,budget n.,,,,begroting,,,isabiwomali,isabelomali,uhlahlomali,,uhlahlo lwabiwo-mali,,,,liphakelo,umcombelelo,ibhajethi,,isabelo seemali,,,,tekanyetsokabo,,,tekanyetšo,,,,,tekanyetso,,,,mugaganyagwama,badzhethe,,mpimanyeto,,
dsac_multi_parl_00052,budget speech,,,,begrotingsrede,,,inkulumo yesabiwomali,inkulumo yesabelomali,inkulumo yohlahlomali,,intetho yohlahlo lwabiwo-mali,,,,inkhulumomcombelelo,,,,ikulumo yesabelo seemali,,,,puo tekanyetsokabo,,,polelo ya ditekanyetšo,,,,,puo ka tekanyetso,,,,tshipitshi tsha mugaganyagwama,tshipitshi tsha badzhethe,,mbulavulo wa mpimanyeto,,
dsac_multi_parl_00053,budget vote,,,,begrotingspos,,,ivoti lesabiwomali,ivoti lesabelomali,ivoti lohlahlomali,,ivoti yohlahlo lwabiwo-mali,,,,umcombelelo,,,,ivowudu ngesabelo seemali,,,,thebolotekanyetsokabo,,,voute ya ditekanyetšo,boute ya ditekanyetšo,,,,kabo ka tekanyetso,,,,voutu ya mugaganyagwama,voutu ya badzhethe,,vhoti ya mpimanyeto,,
dsac_multi_parl_00054,bureaucracy,,,,burokrasie,,,isakhiwo esizigabagaba {sikahulumeni},indlela yokulawula,,,imithetho exabileyo ebambezelayo,ibhurokhrasi,,,inchubokuphatsa,inchubomphatfo,,,ihlelo eliziingabagaba,,,,mekgatlhwana ya melawana,,,bolaoditatelano,,,,,birokrasi,,,,birokhiresi,matshimbidzele,,byurokirasi,,
dsac_multi_parl_00055,business of parliament,,,,werksaamhede van die parlement,,,umsebenzi wephalamende,,,,imicimbi yepalamente,,,,umsebenti wephalamende,,,,umsebenzi wepalamende,,,,tiro ya palamente,,,morero wa palamente,,,,,tshebetso ya palamente,,,,mushumo wa phaḽamennde,,,migingiriko ya palamende,,
dsac_multi_parl_00056,by-law,bye-law,,,verordening,,,umthetho kamasipala,umthetho kakopeletsheni,,,umthetho kamasipala,umthetho wengingqi,,,umtsetfo wamasipala,,,,umthetho kamasipaladi,,,,molawana,,,molawana,,,,,molawana,,,,mulayowapo,,,xinawana xa masipala,,
dsac_multi_parl_00057,cabinet,,,,kabinet,,,isigungu sesishayamthetho,ikhabhinethi,,,ikhabhinethi,isigqeba,,,ikhabhinethi,,,,ikhabinethi,,,,kabinete,,,kabinete,,,,,kabinete,,,,khabinethe,,,khabinete,,
dsac_multi_parl_00058,cabinet minister,,,,kabinetsminister,,,ungqongqoshe,,,,umphathiswa,,,,indvuna yelitiko,,,,ungqongqotjhe,,,,tona,,,tona ya kabinete,,,,,letona la kabinete,,,,minisiṱa wa khabinethe,,,holobye,,
dsac_multi_parl_00059,campaign n.,,,,veldtog,,,umkhankaso,,,,iphulo,,,,umkhankhaso,,,,ijima,,,,letsholoipapatso,,,lesolo,,,,,letsholo,,,,fulo,,,pfhumba,,
dsac_multi_parl_00060,candidate,,,,kandidaat,,,ilungu eliphakanyisiwe,,,,umgqatswa,,,,umkhetfwa,umenyulwa,,,ungikhetheni,,,,ntlhopheng,,,nkgetheng,,,,,nkgetheng,,,,nkhetheni,,,muyimela-ku-langhwa,,
dsac_multi_parl_00061,canvass n.,,,,steunwerwing,,,ukunxenxa ukwesekelwa,,,,ugayo,ukugaya,,,kusoma,kukhankhasa,,,ukufuna amavowudu,,,,ngokotshegetso,,,kuwauwetšo,,,,,ho thaotha,,,,u galatsha,u khanivasa,,nghangiso,,
dsac_multi_parl_00062,canvass v.,,,,steun werf,,,-nxenxa ukwesekelwa,,,,ukugaya inkxaso,,,,soma,khankhasa,,,funa amavowudu,,,,ngoka,,,uwauwetša,,,,,thaotha,,,,-galatsha,-khanivasa,,gangisa,,
dsac_multi_parl_00063,capitalism,,,,kapitalisme,,,umnotho wogombelakwesakhe,ikhephithalizimu,,,ubungxowankulu,ubukhapitali,,,umbusobugovu,kuhwebabugovu,kubusabugovu,,ikhephithalizimu,,,,bokapitale,,,bokapitale,,,,,bokapitale,,,,vhukhephithaḽisi,,,xikhapitalisi,,
dsac_multi_parl_00064,casting vote,,,,beslissende stem,,,ivoti elingunqamulajuqu,,,,ivoti yokuqhawula ulingano,,,,livoti lelincumako,,,,ivowudusiqunto,,,,boutokhutlisakgang,tlhopho ya makgaolakgang,,boute ya makgaolakgang,voute ya makgaolakgang,,,,voutu ya makgaolakgang,,,,voutu ya makhaulatshele,voutu ya ambadzifhele,,vhoti yo ahlula,,
dsac_multi_parl_00065,caucus meeting,,,,koukusvergadering,,,umhlangano oyinguyazana,,,,igqugula,intlanganiso yegqugula,,,umhlanganositse,ikhokhasi,,,isigobotjhani,,,,kopanoitshebo,,,kopano ya sephiring,,,,,khokhase,boitshebo,,,muṱangano wa tsivhudzo,,,nhlengeletano-tihleva,,
dsac_multi_parl_00066,central government,,,,sentrale regering,,,uhulumeni kazwelonke,,,,urhulumente wesizwe,urhulumente kazwelonke,undlunkulu,,hulumende lomkhulu,,,,urhulumende ophakathi,,,,puso ya bogareng,,,mmušo wa gare,,,,,mmuso wa bohareng,,,,muvhuso wa vhukati,,,mfumo wa le xikarhi,mfumo-xikarhi,
dsac_multi_parl_00067,chairperson,chair,,,voorsitter,,,usihlalo,umgcinisihlalo,umphathisihlalo,,usihlalo,,,,sihlalo,,,,usihlalo,,,,modulasetulo,monnasetulo,,modulasetulo,,,,,modulasetulo,,,,mudzulatshidulo,mudzulaphanḓa,,mutshama-xitulu,,
dsac_multi_parl_00068,chamber,,,,kamer,,,igumbi,isigcawu,,,igumbi leengxoxo,itsheyimba,,,ligumbi,ishemba,,,ikundla,ikoro,,,phaposi,,,phapoši,phapoše,,,,phaposi,tjhemba,,,nnḓu,,,yindlu,,
dsac_multi_parl_00069,Chamber of Parliament,,,,Kamer van die Parlement,,,iGumbi Lephalamende,,,,iNdlu yeNdibano,iNdlu yeNgxoxo,iGumbi leNgxoxo,,Ligumbi Lephalamende,Ishemba Yephalamende,,,iKundla yePalamende,,,,Phaposi ya Palamente,,,Phapoši ya Palamente,,,,,phaposi ya palamente,tjhemba ya palamente,,,Nnḓu ya Phaḽamennde,,,yindlu ya palamende,,
dsac_multi_parl_00070,Chief Justice,,,,Hoofregter,,,iJaji Eliyinhloko,iJaji Jikelele,,,iJaji eyiNtloko,,,,Lijaji Lelikhulu,,,,iJaji eliKhulu,,,,Moatlhodimogolo,,,Moahlodimogolo,,,,,Moahlodi e Moholo,,,,Muhaṱuli Muhulwane,,,Muavanyisinkulu,,
dsac_multi_parl_00071,chief whip,,,,hoofsweep,,,usotswebhu omkhulu,,,,umbhexeshi oyintloko,,,,sosiswebhu lomkhulu,,,,usosibebhe omkhulu,,,,semesegolo,motlhokomedimogolo,,sefepisegolo,sebepisegolo,,,,sephadi se seholo,,,,tshimebi tshihulwane,,,ximokonkulu,,
dsac_multi_parl_00072,citizen,,,,burger,,,isakhamuzi,,,,ummi,,,,sakhamuti,,,,isakhamuzi,isakhalizwe,,,moagi,,,modudi,,,,,moahi,,,,mudzulapo,,,muaki,muaka-tiko,
dsac_multi_parl_00073,citizenship,,,,burgerskap,,,ukuba yisakhamuzi,ubusakhamuzi,,,ubumi,,,,buve,,,,ubulunga belizwe,,,,boagi,,,bodudi,,,,,boahi,,,,vhudzulapo,,,vuaka-tiko,,
dsac_multi_parl_00074,civic association,,,,burgervereniging,,,inhlangano yomphakathi,,,,umbutho wabahlali,,,,inhlangano yesive,inhlangano yetakhamuti,,,ihlangano yabahlali,,,,mokgatlho wa baagi,,,mokgatlo wa badudi,,,,,mokgatlo wa baahi,,,,dzangano ḽa vhapo,siviki,,nhlangano wa vaaki,,
dsac_multi_parl_00075,civil rights,,,,burgerregte,,,amalungelo omphakathi,,,,amalungelo obuhlali,,,,emalungelo eluntfu,emalungelo esive,,,amalungelo wabahlali,,,,ditshwanelo tsa baagi,,,ditokelo tša badudi,,,,,ditokelo tsa boahi,,,,pfanelo dza vhapo,,,timfanelo ta vaaki,,
dsac_multi_parl_00076,civil society,,,,burgerlike samelewing,,,umphakathi,,,,abantu,uluntu,,,sive nje,bantfu nje,sive phaca,,umphakathi,,,,baagi,,,setšhaba,,,,,baahi,,,,vhashumela vhapo,,,vaaka-tiko,,
dsac_multi_parl_00077,claim v.,,,,eis,opeis,,-cela inkokhelo,,,,ukubanga,,,,bita,,,,biza,,,,topotuelo,,,tleleima,tlleima,bela,,,tseka,,,,-vhila,,,koxa,londza,
dsac_multi_parl_00078,clause,,,,klousule,,,isigatshana somthetho,,,,umhlathi,,,,sigatjana,,,,umutjhwana,,,,karolwana,polelwana,,temana,thabe,,,,polelwana,,,,davhi,lutavhi,tshipiḓa,xinawana,,
dsac_multi_parl_00079,coalition,,,,koalisie,,,umbimbi,ubambiswano,,,ubumbano,,,,lubambiswano,,,,ihlanganyelo,,,,semphato,motlhakanelwa,tshwaraganelo,tlhakanelo,,,,,setlamo,,,,muṱanganelo,,,nhlanganelo,,
