"eng__001","eng__002","eng__003","eng__004","eng__005","afr__001","afr__002","afr__003","afr__004","afr__005","zul__001","zul__002","zul__003","xho__001","xho__002","xho__003","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","nde__004","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","nso__002","nso__003","sot__001","sot__002","ven__001","ven__002","ven__003","ven__004","tso__001","tso__002","tso__003","tso__004"
"act of parliament","","","","","wet van die parlement"," parlementswet","","","","umthetho wephalamende","","","umthetho wepalamente","","","umtsetfo wephalamende","","","","umthetho wepalamende","","","","molao wa palamente","","","","molao wa palamente","","","molao","","mulayo wa phalamennde","","","","nawu wa palamende","","",""
"additional member system","","","","","proporsionele stelsel"," stelsel van proporsionele verteenwoordiging","","","","uhlelo lokwengeza amalungu","","","inkqubo yokongeza ilungu","","","indlela yekwengeta lilunga"," luhlelo lwekwengeta lilunga","","","irherho lokungezelela ilunga","","","","thulaganyo ya leloko tlaleletso"," thulaganyo ya tokololotlaleletso","","","tshepetšo ya leloko la tlaleletšo","","","kgetho ya setho sa tlatsetso","","sisteme ya u engedza miraḓo"," maitele a u engedza miraḓo","","","maendlelo yo engetela mpimoxiave","sisiteme yo engetela mpimoxiave","",""
"adequate registration ratio","","","","","voldoende registrasieverhouding","","","","","ubhalisomininingwane olwanele","","","umlinganiselo wobhaliso owaneleyo","","","lubhaliso lolwenelisako","","","","isilinganiso sokuzitlolisa esanelisako","","","","kaboikwadiso e e lekaneng","","","","tekanelano ya boingwadišo ya maleba","","","tekanyetso ya lenane la boingodiso","","ndivhanele ya vhuḓiṅwalisi i fushaho","","","","mpimoxiave wo ringanela wa lava tsariseke","","",""
"adjusted allocation","","","","","aangepaste toewysing","","","","","isabelo esilungisiwe"," isabelo esilinganisiwe","","isabelo esilungelelanisiweyo"," isabelo esihlengahlengisiweyo","","sabelo lesilungisiwe","","","","isabelo esilinganisiweko","","","","kabotolamiso","","","","kabo yeo e lekaneditšwego","","","kabo e lokisitsweng","","nyavhelo yo sungusedzwaho","","","","avelo wa switulu leswi ringanyetiweke","","",""
"affirmation","","","","","plegtige verklaring","","","","","isiqinisekiso","","","ingqinisekiso","","","sicinisekiso","","","","isiqinisekiso","","","","tlhomamiso"," netefatso","","","kgonthišo","","","tiisetso","","khwaṱhisedzo","","","","ntiyisiso","","",""
"aged voter"," elderly voter","","","","bejaarde kieser","","","","","umvoti osekhulile","","","umvoti owalupheleyo","","","umkhetsi losakhulile"," umvoti losakhulile","","","umvowudi omdala","","","","motlhophitsofe"," motlhophigodi","","","mokgethi wa motšofadi","","","mokgethi ya dilemong tsa boqheku","","muvouti mulala"," mukhethi mulala","","","muvhoti loyi a dyuhaleke"," muhlawuri loyi a dyuhaleke","",""
"aggregate","","","","","totaal","","","","","isamba"," inqwaba","","umyinge","","","samba","","","","isamba","","","","palogare","","","","palogare","","","kakaretso","","ṱhanganyelo","","","","nhlayoxikarhi","","",""
"aggrieved <adj.>","","","","","beswaard"," gegrief","","","","ongagculisekile"," onesikhalo","","ukunganeliseki"," ukuba nesikhalo","","-khubekile","","","","-bilayelako"," -lilakongakaphatheki kuhle","","","kgopisitsweng"," belaelang"," kgopisegileng"," ngongoregelang","kgopišegilego","","","-kgopisehileng","","-vhaiswaho","","","","-vilela","","",""
"alien","","","","","vreemdeling","","","","","isifiki","","","umphambukeli","","","umcubi","","","","iphandle","","","","mofaladi"," moditšhaba"," motswakwa motswantle","","motšwantle","","","molata","","mubvannḓa","","","","muhlampfa","","",""
"allocation of seats"," apportionment","","","","toewysing van setels","","","","","isabiwozihlalo ngokumeleleka","","","ukwabiwa kwezihlalo","","","kwabiwa kwetihlalo","","","","ukwabiwa kweenhlalo","","","","kabo ya ditulo","","","","kabo ya ditulo","","","kabo ya ditulo","","nyavhelo ya madzulo","","","","avelo wa switulu","","",""
"all-race election","","","","","nierassige verkiesing","","","","","ukhetho lwezinhlanga zonke","","","unyulo olungakhethe bala"," unyulo ulungenamkhethe","","lukhetfo lwetinhlanga tonkhe","","","","ikhetho lobuhlanga boke","","","","ditlhopho tsa merafeyotlhe","","","","dikgetho tša mehlobo ka moka","","","dikgetho tsa merabe yohle","","khetho dza mirafho yoṱhe","","","","nhlawulo wa tinxaka hinkwato","","",""
"amended quota","","","","","gewysigde kwota","","","","","isabelo esichitshiyelwe","","","isabelo esiphuculweyo","","","sabelo lesichitjelwe","","","","isabelo esikhitjelelweko","","","","karolelophetolwa"," kabelano e e fetotsweng","","","kabelano ye e fetotšwego","","","khouta e ntlafaditsweng","","mukovhe wo khwiniswaho","","","","mpimo lowu cinciweke","","",""
"amendment","","","","","wysiging","","","","","isichibiyelo","","","isilungiso","","","sichibelo","","","","isikhibelelo"," itjhugululo","","","phetolo"," phetogo","","","phetošo","","","tokiso","","khwiniso","","","","ncinco","","",""
"announcement of results","","","","","aankondiging van verkiesingsuitslae","","","","","ukumenyezelwa kwemiphumela","","","ubhengezo lweziphumo","","","kumenyetelwa kwemiphumela","","","","ukumenyezelwa kwemiphumela","","","","kitsiso ya dipholo","","","","tsebagatšo ya dipoelo","","","phatlalatso ya sepheto","","u ḓivhadzwa ha mvelelo","","","","ntiviso wa mbuyelo","","",""
"apparentement"," election coalition"," electoral alliance"," electoral pact","","verkiesingsalliansie"," apparentement","","","","ukusebenzisana kwamaqembu"," ukubambisana kwamaqembu","","ubumbano lwamaqela kunyulo","","","kuhlanganyela kwetinhlangano","","","","ihlanganyela yeenhlangano"," ukuhlanganyela kweenhlangano","","","tirisano"," tshwaragano ya ditlhopha tsa dipoletiki","","","kgwerano ya mekgatlo ya dipolitiki","","","selekane sa mekga ya dipolotiki","","ṱhanganelano ya madzangano","","","","nhlanganelo wa mavandla","","",""
"appeal <n.>","","","","","appèl","","","","","isedlulisisinqumo","","","isibheno","","","kuphikisa sincumo","","","","ukuzibilayeza ngesigwebo"," ukudlulisa isigwebo","","","boikuelo","","","","boipelaetšo","","","boipiletso","","khaṱhululo","","","","xirilo"," aphili","",""
"appeal tribunal","","","","","appèltribunaal","","","","","inkantolo yezinqumo ezidlulisiwe","","","inkundla yezibheno"," ikomiti yezibheno","","libandla lekuhlola tincumo letiphikisiwe"," ikomidi yekuhlola tincumo letiphikisiwe","","","ikomidi yeembilayezo"," ibandla leembilayezo"," ikomidi yeenlilo","","kgotlanaboikuelo","","","","komiti ya boipelaetšo","","","lekgotla la boipiletso","","khorokhaṱhululi","","","","komiti ya swirilo"," komiti ya aphili","",""
"appellant {legal}","","","","","appellant"," appellerende party","","","","umdlulisisinqumo","","","umbheni"," obhenayo","","umphikisisincumo","","","","umbilayeli"," olilako","","","moikuedi","","","","moipelaetši","","","moipiletsi","","muhumbeli wa khaṱhululo","","","","murili"," muaphili","",""
"appoint the cabinet","","","","","die kabinet aanstel","","","","","ukuqoka isigungu songqongqoshe"," ukuqoka isigungu sekhabhinethi","","tyumba ikhabhinethi"," chonga ikhabhinethi","","coka ikhabhinethi"," khetsa ikhabhinethi"," khetsa libandla letindvuna tembuso","","-khetha ikhabinedi","","","","- tlhoma - kabinete","","","","kgetha kabinete","","","-kgetha kabinete","","u thola khabinethe","","","","ku hlawula khabinete","","",""
"apportionment","","","","","toedeling","","","","","isabiwozihlalo ngokumeleleka","","","ulwabiwo lwezihlalo","","","kwabiwa kwetihlalo ngalokulinganiselwe","","","","ukwabiwa kweenhlalo","","","","kaboditulo","","","","kabo ya ditulo","","","kabo ya ditulo","","nyavhelo ya madzulo","","","","avelo wa switulu","","",""
"assembly {government}","","","","","vergadering","","","","","isishayamthetho","","","indlu yowiso-mthetho","","","libandla lesishayamtsetfo","","","","isibethamthetho","","","","kokoano","","","","lekgotla","","","lekgotla la ketsamolao","","buthano","","","","huvo","nawu","",""
"assignment of functions","","","","","toewysing van werksaamhede","","","","","ukwabiwa kwemisebenzi","","","ukwabiwa kwemisebenzi","","","kwabiwa kwemisebenti","","","","ukwabela imisebenzi","ukwaba imisebenzi","","","kaboditiro","","","","kabelo ya mešomo","","","kabo ya mesebetsi","","nyavhelo ya mishumo","","","","avelo wa mitirho","","",""
"assisted voting","","","","","bygestaande stemming","","","","","ukuvota ngokusizwa","","","ukuvota ngokuncediswa","","","kuvota ngekusitwa","","","","ukuvowuda ngokusizwa","ukuvowuda ngokulekelelwa","","","thusiwa go bouta","thusiwa go tlhopha","thusiwa go vouta","","go bouta o thušwa","","","ho kgetha ka ho thuswa","","u thusiwa u vouta","u thusiwa u khetha","","","ku vhota hi ku pfuniwa","ku hlawula hi ku pfuniwa","",""
"assumption of office","","","","","ampsaanvaarding","","","","","ukuqala esikhundleni","","","ukuqalisa esikhundleni","","","kutsatsa sikhundla","","","","ukuthoma ukusebenza","","","","tshimololotiro","","","","go thoma mošomo","","","qalo ya tshebetso","","u thoma mushumo","","","","ku sungula ku tirha","","",""
"awareness campaign","","","","","bewusmakingsveldtog","","","","","umkhankaso wokunxenxa","umkhankaso wokwazisa ngokhetho","","iphulo logayo-voti","","","umkhankhaso wekwatisa","","","","ijima lokuyelelisa","","","","letsholotemoso","","","","lesolo la kwalakwatšo","lesolokwalakwatšo","","letsholo la hlokomediso","","fulo ḽa u ndimuso","","","","pfhumba ra ndzemu","","",""
"ballot booth controller","voting booth controller","","","","stemhokkiekontroleur","stemhokkiekontroleerder","","","","umlawuli wegunjana lokuvotela","","","umlawuli wegunjana lokuvotela","","","umlawuli wendlwana yekuvotela","","","","umlawuli wekghokghomeje yokuvowudela","umlawuli webhuthi yokuvowudela","umlawuli werhorhomeje yokuvowudela","","molaolantlwanatlhophelo","molaolaphaposanatlhophelo","","","molaodi wa ntlwana ya go boutela","","","molaodi wa sekgutlwana sa ho kgethela","","mulangalufhera lwa u voutela","mulangalufhera lwa u khethela","","","mulawulaxiyindlwana xo hlawulela","mulawulaxiyindlwana xo vhotela","",""
"ballot box","","","","","stembus","","","","","ibhokisi lamavoti","","","ibhokisi yeevoti","","","libhokisi lemavoti","","","","ibhokisi lamavowudu","","","","lebokosopampiritlhopho","lebokosobaloto","","","lepokisi la go boutela","","","lebokose la dikgetho","","bogisi ḽa u voutela","bogisi ḽa u khethela","","","bokisi ra maphepha yo hlawulela","bokisi ra maphepha yo vhotela","bokisi ra tibaloto",""
"ballot box controller","","","","","stembuskontroleur","stembuskontroleerder","","","","umlawuli webhokisi lamavoti","","","umlawuli webhokisi yeevoti","","","umlawuli welibhokisi lemavoti","","","","umlawuli webhokisi lamavowudu","","","","molaolabokosopampiriditlhopho","molaolabokosobaloto","","","molaodi wa lepokisi la go boutela","","","molaodi wa lebokose la dikgetho","","mulangabogisi ḽa u voutela","mulangabogisi ḽa u khethela","","","mulawulabokisi ro chela tivhoti","mulawulabokisi ro chela tibaloto","",""
"ballot paper","","","","","stembrief","","","","","iphepha lokuvota","","","iphepha lokuvota","","","liphepha lekuvota","ibhalothi","","","iphepha lokuvowuda","","","","pampiritlhopho","baloto","","","pampiri ya go bouta","","","pampiri ya dikgetho","","bammbiri ḽa u voutela","bammbiri ḽa u khethela","","","phepha ro vhotela","baloto","phepha ro hlawulela",""
"ballot paper issuer","","","","","stembriefuitreiker","","","","","umnikezimaphepha okuvota","","","umniki-maphepha okuvota","","","lonikana emaphepha ekuvota","lowemukelisa emaphepha ekuvota","","","umphakisi wamaphepha wokuvowuda","umphakisi wamaphepha wokukhetha","","","moneeladipampiritlhopho","","","","moabi wa pampiri ya go bouta","","","moabi wa pampiri ya dikgetho","","muphakheli wa mabammbiri a u voutela","muphakheli wa mabammbiri a u khethela","","","muphakeli wa maphepha yo vhotela","muphakeri wa maphepha yo hlawulela","muphakeri wa tibaloto",""
"ballot paper table {inventory}","","","","","stembrieftafel","","","","","itafula lamaphepha okuvota","","","itafile yamaphepha okuvota","","","litafula lemaphepha ekuvota","","","","itafula yamaphepha wokuvowuda","","","","tafolepampiritlhopho","tafolebaloto","","","tafola ya dipampiri tša go bouta","","","tafole ya pampiri ya dikgetho","","ṱafula ḽa mabammbiri a u voutela","ṱafula ḽa mabammbiri a u khethela","","","tafula ra maphepha yo vhotela","tafula ra maphepha yo hlawulela","tafula ra tibaloto",""
"banner","","","","","banier","","","","","ibhena","","","ibhanile","","","umbhelebhele","","","","iflarha","ibhena","","","bena","","","","penara","","","bena","","bena","","","","mujeko","","",""
"bar code","","","","","strepieskode","staafkode","","","","amagabelomfihlo","","","ibha khowudi","","","emagabelo","ibhakhodi","","","umtlolofihlo","ibhakhowudi","ibhakhowudu","","baakhoutu","","","","paakhouto","paakhoute","","bakhoutu","","baakhoudu","","","","bakhodi","","",""
"bar-coded label","","","","","strepieskodestrokie","staafkodestrokie","","","","ilebuli enamagabelomfihlo","","","iphetshana elinebha khowudi","","","ilebuli yemagabelo","","","","ileyibula enomtlolofihlo","ileyibula enebhakhowudi","ileyibula enebhakhowudu","","letshwaobaakhoutu","","","","leswao la paakhoute","","","letshwao la bakhoutu","","ḽebuḽu i re na baakhoudu","","","","mfungho wa bakhodi","","",""
"bias","","","","","partydigheid","vooroordeel","","","","ukuchema","","","umkhethe","ukuthatha icala","","kutsatsa luhlangotsi","kuvuna","","","ukuthatha ihlangothi","","","","tshekamelotlhakoreng","kgobelelo","tseotlhakore","tshekamo","go tšea lehlakore","tshekamelo","","leeme","","vhudzhiasia","","","","ku voyamela tlhelo","","",""
"bill {law}","","","","","wetsontwerp","","","","","umthethosivivinywa","","","umthetho osayilwayo","ibhili","","umtsetfosivivinywa","","","","umthethomlingwa","","","","molaotlhomo","molaokakangwa","","","molaokakanywa","","","setshwantsho sa molao","","mulayotibe","","","","nawumbisi","","",""
"bill of rights","bill of human rights","","","","handves van regte","handves van menseregte","","","","umqulu wamalungelo","umqulu wamalungelo abantu","","usomqulu wamalungelo","umqulu wamalungelo oluntu","","umculu wemalungelo","","","","ivikelamalungelo","","","","molaotlhomo wa ditshwanelo","molaokaedi wa ditshwanelo","molaokakangwa wa ditshwanelo","","molao wa ditokelo","","","bili ya ditokelo","","mulayo wa pfanelo dza vhathu","","","","nxaxamelo wa timfanelo","","",""
"block vote","","","","","blokstem","","","","","ivoti lokumela abaningi","","","ivoti ngokwenani labamelwa","","","kuvota ngesigungu","","","","ivowudu yokujamela","","","","tlhophokemedi","","","","kgethokemedi","","","kgethokemedi","","voutu nyimela tshigwada","","","","ku vhota xikan’we ka vanhu","","",""
"boundary","boundary line","","","","grens","","","","","umngcele","","","umda","","","umncele","umnyele","","","umkhawulo","","","","molelwane","","","","mollwane","","","moedi","","mukano","","","","ndzelekana","","",""
"boycott {v.}","","","","","boikot","","","","","ukuduba","","","ukukwaya","","","dvuba","","","","-nghala","","","","-ikgatolosa","-boekhota","-ngala","","poekhota","","","-boekhota","","ṅala","","","","khira","","",""
"by-election","","","","","tussenverkiesing","","","","","ukhetho lokuchibiyela","","","unyulo lovalo-sikhewu","","","lukhetfo lwekuchibela","","","","ikhetho lokujamiselela","ikhetho lokukhibelela","ikhetho lokuvala isikhundla","","tlhophotlaleletso","","","","dikgethotlaleletšo","","","dikgetho tsa tlatsetso","","khethokati","","","","nhlawulo wo pfala xivandla","","",""
"by-law","bye-law","","","","verordening","","","","","umthetho kamasipala","","","umthetho kamasipala","","","umtsetfo wamasipaladi","","","","umthetho kamasipaladi","","","","molawanatlaleletso","","","","molawana","","","molawana","","mulayowapo","","","","xinawana xa masipala","","",""
"cabinet","","","","","kabinet","","","","","umkhandlu wesifundazwe","ikhabhinethi","","ikhabhinethi","isigqeba","","libandla letindvuna tembuso","ikhabhinethi","","","ikhabinethi","ikhabinedi","","","kabinete","khebinete","","","kabinete","","","khansele ya phethahatso","","khabinethe","","","","khabinete","","",""
"campaign","election campaign","","","","veldtog","verkiesingsveldtog","","","","umkhankaso","","","iphulo lonyulo","","","umkhankhaso","","","","ijima","","","","letsholo","letsholotlhopho","","","kwalakwatšo ya dikgetho","","","letsholo","","fulo","","","","pfhumba","","",""
"campaign helplist","","","","","veldtoghulplys","","","","","izinsizakukhankasa","","","uluhlu lwezincedisi kugayo-voti","","","luhlu lwekusita umkhankhaso","","","","irhelo lokusiza ejimeni lekhetho","","","","lenaanethusotsholo","","","","lenaneothušo la kwalakwatšo","","","lenanethuso la letsholo","","mutevhethuso wa fulo","","","","mpfhumba ro pfuneta","","",""
"campaign literature","","","","","veldtoglektuur","","","","","imibhalo yokukhankasa","","","iimbalo zogayo-voti","","","imibhalo yekukhankhasa","","","","imitlolo yejima lekhetho","","","","dikwalotsholo","","","","dingwalwakwalakwatšo","","","dingolwa tsa letsholo","","maṅwalo a fulo","","","","matsalwa ya pfhumba ra nhlawulo","","",""
"cancelled ballot paper","","","","","gekanselleerde stembrief","gerojeerde stembrief","","","","iphepha elingasenakusetshenziselwa ukuvota","","","iphepha lokuvota elaliweyo","","","liphepha lekuvota lelilahliwe","","","","iphepha lokuvowuda elingasasebenziko","","","","pampiritlhopho e e phimotsweng","baloto e e phimotsweng","","","pampiri ya go bouta yeo e khantshetšwego","","","pampiri ya dikgetho e hlakotsweng","","bammbiri ḽa u voutela ḽo khantselwaho","bammbiri ḽa u khethela ḽo khantselwaho","","","phepha ro hlawulela leri onhiweke","phepha ro vhotela leri onhiweke","baloto leyi onhiweke",""
"candidate","","","","","kandidaat","","","","","umngenelikhetho","ummelikhetho","","umgqatswa","","","ummelilukhetfo","","","","ungikhethani","","","","ntlhopheng","","","","nkgetheng","","","nkgetheng","","nkhetheni","","","","muyimelakulanghwa","","",""
"candidate-centered ballot {directly elected}","","","","","kandidaatsentriese stemming","","","","","ukuvotela ummelikhetho oyedwa ohlwini","","","iphepha lokuvotela umgqatswa","","","liphepha lekuvotela ummelilukhetfo","","","","iphepha lokuvowuda likangikhethani munye","","","","baloto tota motlhophiwa","pampiritlhopho tota motlhophiwa","","","bouto ya go lebiša nkgetheng","","","pampiri ya dikgetho ya bonkgetheng","","bammbiri ḽa u khethela ḽa vhonkhetheni","bammbiri ḽa u voutela ḽa vhonkhetheni","","","phepha ro vhotela muyimelakulanghwa un’we","baloto yo hlawulela muyimelakulanghwa un’we","baloto yo vhotela muyimelakulanghwa un’we","phepha ro hlawulela muyimelakulanghwa un’we"
"canvass <n.>","","","","","werwing","","","","","ukunxenxa ukwesekwa","","","ugayo-voti","","","kukhankhasa","","","","ukubawa amavowudi","ukukhombela amavowudi","","","ngôko","ipapatso","","","kuwauwetšo","","","ho thaotha","","u galatsha","","","","nghangiso","","",""
"canvasser","","","","","werwer","","","","","umnxenxi","","","umgayi-voti","","","umkhankhasi","","","","umbawimavowudu","umfunimavodu","umkhombelimavowudu","","mongôki","mmapatsi","moipapatsi","","mouwauwetši","","","thaothe","","mugalatshi","","","","mugangisi","","",""
"cardboard roll","","","","","kartonrol","","","","","iqoqamniningwane","","","isiqulathi sezixhobo zovoto","","","sigocotelitinsita","","","","isiphutheli seensetjenziswa zekhetho","","","","rolo ya khateboto","","","","rolo ya khatepoto","","","khateboto","","rolo ya khadibogisi","","","","xiphutselo xa khadibodo","","",""
"cast a ballot","cast a vote","","","","stem","stem uitbring","","","","ukuvota","","","vota","","","khetsa","vota","","","-vowuda","-khetha","","","tlhopha","vouta","","","-bouta","","","-kgetha","","u khetha","u vouta","","","ku hlawula","ku vhota","",""
"casual vacancy","","","","","toevallige vakature","","","","","isikhala sesikhashana","itoho","","isingxungxo","","","sikhala sesikhashana","","","","isikhala sesikhatjhana","","","","phatlhatironakwana","","","","sekgoba sa nakwana","","","sekgeo sa mosebetsi sa nakwana","","mushumo wa tshifhinganyana","","","","xivandla xa nkarhinyana","","",""
"categorical ballot","","","","","kategoriese stemming","","","","","ukuvota kanye","","","udidi lwevoti","","","liphepha lekukhetsa kanye","liphepha lekuvota kanye","","","iphepha lokuvowuda kanye","iphepha lokukhetha kanye","","","tlhophonngwe","","","","bouto ya kgethotee","","","pampiri ya ho kgetha ha nngwe","","bammbiri ḽa u khetha luthihi","bammbiri ḽa u vouta luthihi","","","nhlawulo wo hlawula muyimelakulanghwa kumbe vandla","nhlawulo wo vhotela muyimelakulanghwa kumbe vandla","",""
"Charter of Human Rights","","","","","Handves van Menseregte","","","","","Umqulu Wamalungelo Abantu","","","uMqulu wamaLungelo oluNtu","","","Umculu Wemalungelo Eluntfu","","","","umTlolomalungelo woBuntu","","","","tšhate ya ditshwanelo tsa botho","lokwalo lwa ditshwanelo tsa botho","","","Sengwalwa sa Ditokelo tša Botho","","","Tjhata ya Ditokelo tsa Botho","","Thendelanonzwiwa ya Pfanelo dza Vhathu","Tshati ya Pfanelo dza Vhathu","","","Tsalwa ra Timfanelo ta Ximunhu","","",""
"chief electoral officer","","","","","hoofverkiesingsbeampte","","","","","inhloko yokhetho","","","igosa lonyulo eliyintloko","","","inhloko leyengamele lukhetfo","","","","isiphathiswa esikhulu sezamakhetho","","","","motlhankedimogolo wa ditlhopho","motlhophisemogolo","","","mohlankedimogolo wa dikgetho","","","mohlanka e moholo wa dikgetho","","muofisiri muhulwane wa khetho","","","","muofisirinkulu wa nhlawulo","","",""
"citizen","","","","","burger","","","","","isakhamuzi","","","ummi","","","sakhamuti","","","","isakhamuzi","isakhalizwe","","","moagi","","","","modudi","moagi","","moahi","","mudzulapo","","","","muakatiko","","",""
"citizen participation","","","","","burgerlike deelname","","","","","ukubamba iqhaza kwezakhamuzi","","","intatho-nxaxheba yabemi","","","kutibandzakanya kwetakhamuti","","","","ukuhlanganyela kwezakhamuzi","","","","botsayakarolo jwa baagi","","","","botšeakarolo bja badudi","","","seabo sa moahi","","u shela mulenzhe ha vhadzulapo","u dzhenela ha vhadzulapo","","","nghenelelo wa vaakatiko","","",""
"citizenship","","","","","burgerskap","","","","","ubusakhamuzi","","","ubumi","","","buve","","","","ubulunga belizwe","ukuba sisakhamuzi","","","boagi","","","","tokelo ya bodudi","","","boahi","","vhudzulapo","","","","vuakatiko","","",""
"civic education","","","","","burgerlike opvoeding","","","","","imfundiso ngobusakhamuzi","","","imfundiso ngobumi","","","imfundziso ngebuve","","","","ifundiso yabahlali","ifundiso yezakhalizwe","ifundiso yezakhamuzi","","thuto ya baagi","","","","thuto ya badudi","","","thuto ya boahi","","pfunzo ya vhadzulapo","","","","dyondzo ya vaakatiko","","",""
"civil association","","","","","burgerlike vereniging","","","","","inhlangano yomphakathi","","","iqumrhu lasekuhlaleni","","","inhlangano yetakhamuti","","","","ihlangano yabahlali","","","","mokgatlho wa baagi","","","","mokgatlo wa badudi","","","mokgatlo wa baahi","","dzangano ḽa vhadzulapo","","","","nhlangano wa vaakatiko","","",""
"civil society","","","","","burgerlike samelewing","","","","","umphakathi","","","umbutho woluntu","uluntu","","tinhlangano temmango","","","","umphakathi","","","","mokgatlho wa boagi","","","","setšhaba","","","setjhaba","","tshitshavha tsha vhadzulapo","","","","nhlangano wa vaakatiko","","",""
"class","","","","","klas","","","","","isigaba senhlalo","","","udidi","","","lizinga","","","","isiqhema","izinga","","","boemo","","","","legoro","","","sehlopha","","tshigwada","kiḽasi","","","ntlawa","","",""
"closed list","proportional list","","","","partysentriese lys","","","","","uhlumubandela","","","uluhlu lokuvotela umbutho kuphela","","","luhlu loseluvaliwe","","","","irhelo elikhawulelweko","irhelo eliqintelweko","","","lenaanetswalelwa","lenaanetekanyetswa","","","lenaneo leo le tswaletšwego","","","lenane le kwetsweng","","mutevhe wo valwaho","","","","nongonoko wo pfaleka","","",""
"coalition","","","","","koalisie","","","","","amadlelandawonye","ukusebenzisana","","imbumba","indibaniselwano","","kuhlanganyela","","","","ihlanganyela","","","","tlhakanelo","tirisano","tshwaraganelo","","kgwerano","","","selekane","","tshumisano","","","","nhlanganelo wa ntirhisano","","",""
