id,eng__001,eng__002,eng__003,eng__004,eng__005,eng__006,eng__007,eng__008,afr__001,afr__002,afr__003,afr__004,afr__005,afr__006,zul__001,zul__002,zul__003,zul__004,zul__005,xho__001,xho__002,xho__003,xho__004,xho__005,xho__006,xho__007,xho__008,ssw__001,ssw__002,ssw__003,ssw__004,ssw__005,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,tsn__004,tsn__005,tsn__006,nso__001,nso__002,nso__003,nso__004,nso__005,nso__006,sot__001,sot__002,sot__003,sot__004,sot__005,sot__006,sot__007,ven__001,ven__002,ven__003,ven__004,ven__005,ven__006,ven__007,ven__008,ven__009,tso__001,tso__002,tso__003,tso__004
dsac_multi_hiv_00011,adolescent,,,,,,,,adolessent,,,,,,isithonjana,ibhungu,itshitshi,iqhumamponjwana,,umntwana ofikisayo,ixhamxhamana,,,,,,,umtfombi,,,,,ilija {male},itlawana {female},,,monana,,,,,,motšwamahlalagading,,,,,,mohlankana {monna},moroetsana {mosadi},motjha,,,,,vhuṱhannga <m>,khomba <f>,,,,,,,,vakondlo-a-ndzi-dyi,mukondlo-a-ndzi-dyi,muntshwa,
dsac_multi_hiv_00012,advanced HIV disease,end-stage HIV disease,full-blown Aids <Obsolescent>,,,,,,eindstadium-MIV,gevorderde vigs,gevorderde MIV,,,,isigaba esiphezulu segciwane lesandulelangculazi,isigaba sokugcina segciwane lesandulelangculazi,,,,inqanaba eliphezulu lentsholongwane kagawulayo,inqanaba lokugqibela lentsholongwane kagawulayo,,,,,,,lizinga lelendlulele lesifo sesandvulelangculazi,simo lesendlulele se-HIV,,,,ukuthuwelela kwengogwana yentumbantonga,,,,topegelo ya bolwetse jwa HIV,topegelo ya lebolelamading,,,,,phamokate yeo e tseneletšego,bolwetšiphetelela bja HIV,HIV yeo e tseneletšego,,,,boemo bo mpefetseng ba HIV,boemo bo totileng ba HIV,,,,,,vhundongondela,ndongondela,,,,,,,,Aids-xidzi,Ximpasaxidzi,,
dsac_multi_hiv_00013,adverse reaction,,,,,,,,teenreaksie,nadelige reaksie,,,,,ukwaliwa umuthi,ukunqatshwa ngumuthi,,,,ukwaliwa liyeza,,,,,,,,kwaliwa ngumutsi,kuphatfwa kabi ngumutsi,,,,ukwaliwa sihlahla,ukwaliwa mtjhoga,,,tsibogo e e sa siamang,tsibogo e e sa lebanang,,,,,ditlamorago tša kalafo,ditlamoragompe tša kalafi,,,,,ho kudiswa ke moriana,ho hanwa ke lenaka,ho hanwa ke moriana,,,,,nyanyulommbi,,,,,,,,,xitandzhaku xo biha,,,
dsac_multi_hiv_00014,affected,,,,,,,,aangetas,geaffekteer,,,,,-thintekile,-hlaselwe,-phethwe,,,ukuchaphazeleka,,,,,,,,tsintseka,tsintsekile,,,,ukuthinteka,,,,amegile,,,,,,angwa,,,,,,-ameha,,,,,,,kwamea,,,,,,,,,khumbeka,,,
dsac_multi_hiv_00015,Aids <Acronym> <see also advanced HIV disease>,AIDS <Acronym>,acquired immune deficiency syndrome <Full form>,,,,,,vigs <Acronym>,VIGS <Acronym>,verworwe immuniteits= gebreksindroom,,,,ingculazi,i-eyidzi,,,,ugawulayo,i-AIDS,,,,,,,ingculazi,i-Aids,,,,intumbantonga,i-Aids,,,phate,segopalwetse-tlhaelotshouto,,,,,bolwetši bja AIDS,phamokate,sephamola,,,,AIDS <Acronym>,phamokate,Tshwaetso e Hlaselang Tshireletso,,,,,Eidzi,Aids,ndongondela,,,,,,,Xipalansawuto,,,
dsac_multi_hiv_00016,Aids-defining illness,,,,,,,,vigsaanduider,vigsaanduidende siekte,,,,,isifo esiyinkomba yengculazi,isifo esiyinkomba ye-eyidzi,,,,isigulo esinxulumene nogawulayo,isigulo esinxulumene ne-AIDS,isifo se-AIDS,,,,,,sifo lesiyinkhombangculazi,,,,,ikomba yentumbantonga,,,,bolwetsetshupo jwa Aids,bolwetsetshupo jwa phate,,,,,bolwetšhupa-AIDS,bolwetšhupa-phamokate yeo e tseneletšego,bolwetšhupa-sephamola seo se tseneletšego,,,,lefu le pakang AIDS,,,,,,,vhulwadze-vhuṱalulaeidzi,vhulwadzetsumbaeidzi,,,,,,,,nkombeto wa xipalansawuto,,,
dsac_multi_hiv_00017,Aids education,,,,,,,,vigsvoorligting,,,,,,ukufundisa ngengculazi,ukufundisa nge-eyidzi,,,,imfundiso ngogawulayo,imfundiso nge-AIDS,,,,,,,sifundvo ngengculazi,imfundvo ngengculazi,imfundziso ngengculazi,,,isifundo ngentumbantonga,isifundo nge-Aids,,,thuto ka ga Aids,thutaphate,,,,,thuto ya bolwetši bja AIDS,thuto ya bolwetši bja phamokate,thuto ya bolwetši bja sephamola,,,,thuto ka AIDS,thuto ka phamokate,thuto ka Tshwaetso e Hlaselang Tshireletso,,,,,pfunzo nga AIDS,pfunzo ya eidzi,,,,,,,,dyondzo ya xipalansawuto,,,
dsac_multi_hiv_00018,anal sex,anal intercourse,rectal intercourse,,,,,,anale seks,rektale seks,,,,,ukubhebhana endunu,ukubhebhana engquza,ukubhebhana emdidi,,,ukwabelana ngesondo esibunu,ukwabelana ngesondo endutsu,ukulalana esibunu,ukulalana endutsu,ukwabelana ngesondo ngomngxuma welindle,ukulalana ngomngxuma welindle,,,kulalana ngemuva,,,,,ilalanontusa,amatanyula,,,matanyola,,,,,,matanyola <Vulgar>,thobalano ya ka mogweteng <Vulgar>,thobalano ya ka maragong <Vulgar>,thobalano ya ka mafuri,,,maotwana,matanyola <Vulgar>,,,,,,matanyula <Vulgar>,,,,,,,,,ku nghenisa xirho xa xinuna eka xiheta-mavele,ku nghenisa xirho xa xinuna eka mpfila,ku endla swa masangu eka mpfila <Vulgar>,ku nghenisa xirho xa xinuna eka nyopfi <Vulgar>
dsac_multi_hiv_00019,antenatal,,,,,,,,voorgeboortelik,voorgeboorte,antenataal <selde gebruik>,,,,ukukhulelwa,ukuzithwala,,,,phambi kokubeleka,,,,,,,,ekukhulelweni,ekutetfwaleni,,,,-sebantwini,-sidisi,,,boimana,,,,,,ya pele ga pelego,,,,,,boimana,bokgatjhane,,,,,,vhuimana,vhukole,,,,,,,,vuyimani,,,
dsac_multi_hiv_00020,antenatal care,ANC <Acronym>,,,,,,,voorgeboortelike sorg,voorgeboortesorg,,,,,ukunakekelwa kwabakhulelwe,ukunakekelwa kwabazithwele,,,,ukhathalelo lwabakhulelweyo,unonophelo lwabakhulelweyo,unakekelo lwabakhulelweyo,,,,,,lunakekelo ekukhulelweni,lunakekelo ekutetfwaleni,,,,itlhogomelo lokuba sebantwini,itlhogomelo lokuba sidisi,,,tlhokomeloboimana,,,,,,tlhokomelo ya boimana,,,,,,tlhokomelo ya boimana,tlhokomelo ya bokgatjhane,,,,,,tshikalo tsha vhuimana,tshikalo tsha vhukole,,,,,,,,nhlayiso wa vuyimani,,,
dsac_multi_hiv_00021,antenatal survey,,,,,,,,voorgeboortelike opname,voorgeboorte-opname,,,,,ucwaningo ngabakhulelwe,ucwaningo ngabazithwele,,,,uphando ngabakhulelweyo,uphando ngabamithiyo,uphando ngabanzima,uphando ngabazithweleyo,,,,,luphandvo ngalabatetfwele,luphandvo ngalabakhulelwe,,,,iphenyo lokuba sebantwini,,,,tlhotlhomiso ya boimana,patlisiso ya boimana,,,,,nyakišišo ya pele ga boimana,,,,,,dipatlisiso tsa boimana,dipatlisiso tsa bokgatjhane,,,,,,ṱhoḓisiso kha vhuimana,ṱhoḓisiso kha vhukole,,,,,,,,mbalango wa vuyimani,,,
dsac_multi_hiv_00022,antibiotic,,,,,,,,antibiotikum,,,,,,isibulalimagciwane,umuthi wokwelapha obulala amagciwane,i-antibhayothikhi,,,isibulala-ntsholongwane,isibulali-ntsholongwane,iantibhayothikhi,,,,,,sibulalimagciwane,sincandzakufa,i-anthibhayothiki,,,isibulalamulwana,,,,selwantshamegare,twantshamegare,,,,,selwantšhatwatši,,,,,,selwantshamahloko,anthibayothiki,,,,,,tshivhulahazwitzhili,,,,,,,,,xilwisaswitsongwatsongwana,nsivelaswitsongwatsongwana,,
dsac_multi_hiv_00023,antibody,,,,,,,,teenliggaam,,,,,,amasosha omzimba,isivikelimzimba,,,,ijoni lomzimba,isithinteli-ntsholongwane,,,,,,,emasotja emtimba,sibulalimagciwane,,,,isivikela-malwelwe,ijoni lomzimba,,,lesole la mmele,,,,,,selwantšhatwatši sa mmele,selwantšhatwatši,,,,,lesole la mmele,anthibodi,,,,,,maswole a muvhili,,,,,,,,,xidlayaswitsongwatsongwana,,,
dsac_multi_hiv_00024,antigen,,,,,,,,antigeen,,,,,,igciwane i-antijeni,isitha somzimba i-antijeni,,,,iantijeni,isithwala-sifo,,,,,,,i-anthijeni,lutfo emasotja emtimba lalwa nalo,sichamuki engatini yemuntfu,sihambi engatini yemuntfu,,inaba,i-anthijeni,,,selabe,anthijene,,,,,seilwakemmele,seganwakemmele,,,,,sera sa mmele,anthijene,,,,,,swina ḽa muvhili,anthidzheni,,,,,,,,antijeni,,,
dsac_multi_hiv_00025,antigen test,,,,,,,,antigeentoets,,,,,,uhlobo lokuhlola isandulelangculazi,,,,,uvavanyo lweantijeni,uvavanyo lwesithwala-sifo,,,,,,,luhlolo lwetichamuki engatini,luhlolo lwe-anthijeni,,,,ihlolongazi le-anthijeni,,,,tlhatlhobo ya anthijine,tlhatlhobeloselabe,,,,,teko ya seilwakemmele,teko ya seganwakemmele,,,,,teko ya anthijene,teko ya sera sa mmele,,,,,,ndingaanthidzheni,ndingaswina ya muvhili,,,,,,,,nkambelo wa antijeni,,,
dsac_multi_hiv_00026,antiretroviral medication <see also HAART>,ARM <Abbreviation>,antiretroviral drug,,,,,,antiretrovirale middel,antiretrovirale medikasie,ARM <Abbreviation>,teenretrovirale middel,,,isidambisi sesandulelangculazi,ikhambi lokudambisa isandulelangculazi,ama-ARV,,,ichiza lokuthomalalisa intsholongwane kagawulayo,iyeza lokuthomalalisa intsholongwane kagawulayo,ichiza lokuthibaza intsholongwane kagawulayo,iyeza lokuthibaza intsholongwane kagawulayo,,,,,sidzambisingculazi,,,,,isigogobalisi sentumbantonga,,,,melemo ya thibeloketegelo,melemo ya thibelotopelego,melemo ya thibelokanamo,seritibatsa-thibeloketegelo,seritibatsatopegelo,seritibatsakanamo,dihlare tša AIDS,dihlare tša phamokate,dihlare tša sephamola,,,,meriana ya ARV,,,,,,,mushonga wa anthirithrovairaḽa,mushonga wa anthiritrovairaḽa,mushongamulwanavairasi,,,,,,,murhi wo dzidzihata XIMPASA,,,
dsac_multi_hiv_00027,antiretroviral therapy <Full form>,ART <Abbreviation>,,,,,,,antiretrovirale behandeling,antiretrovirale terapie,teenretrovirale terapie,,,,ukwelashwa ngemishanguzo yokudambisa ingculazi,ukwelashwa ngama-ARV,,,,unyango ngezithomalalisi zentsholongwane kagawulayo,unyango ngezithibazi zentsholongwane kagawulayo,,,,,,,kwelashwa ngesidzambisingculazi,,,,,ukwelatjhelwa intumbantonga,,,,kalafi ya thibeloketegelo,ART,,,,,kalafi ka dihlare tša AIDS,kalafi ka dihlare tša phamokate,kalafi ka dihlare tša sephamola,,,,kalafo ka ARV,,,,,,,dzilafho ḽa mushonga wa anthirithrovairaḽa,,,,,,,,,vutshunguri byo dzidzihata XIMPASA,,,
dsac_multi_hiv_00028,antiviral drug <see also antiretroviral medication>,antiviral,,,,,,,antivirale middel,virusteenmiddel,viruswerende middel,,,,isidambisi sesandulelangculazi,,,,,ichiza elilwa intsholongwane,iyeza elilwa intsholongwane,,,,,,,sigogobalisimavayirasi,sidzambisimagciwane,,,,isiriyadisi sombulalasihlangu,isigogobalisi sombulalasihlangu,,,seritibatsamogare,,,,,,sehlare sa go okobatša kokwanatlhoko,,,,,,moriana o lwantshang dikokwanahloko,moriana o lwantshang vaerase,,,,,,mushongamulwanavairasi,,,,,,,,,xihwuhwati xa xitsongwatsongwana,xipalansawuto,xidzidziharisi xo huhwata XIMPASA,
dsac_multi_hiv_00029,anus,,,,,,,,anus,,,,,,indunu,ingquza,umdidi,,,isibunu,indutsu,umngxuma welindle,,,,,,umdzidzi <Vulgar>,incedzamabele,indunu,,,ituba,intusa <Vulgar>,,,sebono <Vulgar>,motete <Vulgar>,phinya,,,,mogwete <Vulgar>,motete <Vulgar>,,,,,sebono,,,,,,,tshivhunu <Vulgar>,,,,,,,,,mpfila <Vulgar>,nyopfi <Vulgar>,xihetamavele,
dsac_multi_hiv_00030,anxiety,,,,,,,,angstigheid,,,,,,ixhala,,,,,inkxalabo,ixhala,,,,,,,kukhungatseka,kutfomeka,kumelwa yingcondvo,,,ihlalelovalweni,ihlalomaquphe,,,tlhorego,tlhobaelo,,,,,tlalelano,tlhobaelo,,,,,ngongoreho,letswalo,,,,,,u ḽa mbilu,u swa mbilu,,,,,,,,nchavo,,,
dsac_multi_hiv_00031,armpit <see also swollen gland>,,,,,,,,armholte,oksel,,,,,ikhwapha,,,,,ikhwapha,,,,,,,,likhwapha,,,,,ikhwapha,,,,legwafa,,,,,,lehwafa,,,,,,lehwafi,,,,,,,bwapwa,gwakwa,gopwa,,,,,,,khehele,khwapa,,
dsac_multi_hiv_00032,artificial insemination,,,,,,,,kunsmatige bevrugting,kunsmatige inseminasie,,,,,ukukhulelisa ngendlela engemvelo,ukukhulelisa ngesayensi,,,,umitho olwenziwa ngobunzululwazi,,,,,,,,kutalisa kwekwentiwa,kumitsisa ngekwesayensi,,,,ukudisisa ngokwesayensi,,,,kimiso ya maitirelo,,,,,,kimišo ya maitirelo,go imiša ga maitirelo,kemerišo ya maitirelo,,,,kemariso ya maiketsetso,,,,,,,u kolisa hu si na u lalana,u kolisa hu si na u nyovhana <Vulgar>,u kolisa hu si na vhudzekani,u vhufhisa muvhilini hu si na u lalana,u vhifhisa muvhilini hu si na u nyovhana <Vulgar>,u vhifhisa muvhilini hu si na vhudzekani,vhudzhenisavhunna kha tsha tshisadzi hu si na u lalana,vhudzhenisavhunna kha tsha tshisadzi hu si na u nyovhana <Vulgar>,vhudzhenisavhunna kha tsha tshisadzi hu si na vhudzekani,nyimbisonkamasangu,,,
dsac_multi_hiv_00033,asymptomatic,,,,,,,,asimptomaties,simptoomloos,,,,,ukungakhombisi zimpawu zesifo,,,,,ukungabinazimpawu zasifo,ukungabonakalisi zimpawu zasifo,,,,,,,-ngakhombisi timphawu,,,,,-tlhogamatshwayo,,,,tlhokamatshwao,,,,,,ya go hloka seka sa bolwetši,,,,,,ho se be le matshwao a tshwaetso,,,,,,,tshayatsumbadwadze,,,,,,,,,nkankombetavuvabyi,,,
dsac_multi_hiv_00034,AZT <Abbreviation> <trade name>,ZDV <Abbreviation>,zidovudine,Retrovir <trade name>,,,,,AZT <Abbreviation> <handelsnaam>,sidovudien,,,,,isidambisi sesandulelangculazi,i-AZT,,,,i-AZT,ichiza lokuthomalalisa intsholongwane kagawulayo,ichiza lokuthibaza intsholongwane kagawulayo,,,,,,i-AZT,sidzambisingculazi,sigogobalisi,,,i-AZT,,,,AZT,,,,,,AZT,diokobatši tša pele tša go fiwa balwetši ba AIDS,,,,,AZT <Acronym>,,,,,,,AZT,,,,,,,,,AZT,,,
dsac_multi_hiv_00035,baby,infant,,,,,,,baba,suigeling,,,,,usana,umntwana,ingane,,,usana,imveku,umntwana,,,,,,luswane,umntfwana,,,,isana,,,,lesea,,,,,,lesea,,,,,,lesea,,,,,,,lushie,lutshetshe,lukhanḓwa,,,,,,,n’wana,ricece,,
dsac_multi_hiv_00036,baby feeding,infant feeding,,,,,,,babavoeding,,,,,,ukuncelisa,,,,,ukuncancisa,,,,,,,,kufuna,,,,,ukufunza isana,ukumunyisa isana,,,phepo ya lesea,,,,,,phepo ya lesea,,,,,,phepo ya lesea,,,,,,,u mamisa,,,,,,,,,ku mamisa n’wana,ku an’wisa n’wana,,
dsac_multi_hiv_00037,baby milk powder,infant milk powder,powdered baby milk,powdered infant milk,infant formula,baby formula,formula,,babamelkpoeier,babamelk,babaformule,formulemelk,,,ubisi oluyimpuphu lomntwana,ubisi oluyimpuphu lwengane,,,,ubisi olungumgubo lokondla iintsana,ubisi olungumgubo lokondla iimveku,ubisi olungumgubo lokondla abantwana,,,,,,imphuphu yelubisi lwetinswane,imphuphu yelubisi lwebantfwana,,,,ibisi lepuphu lesana,,,,mašwi a lerole a lesea,,,,,,maswi a lerole a lesea,,,,,,lebese la phofo la masea,,,,,,,mafhiluvhanda a vhana,mafhiluvhanda a ṅwana,,,,,,,,masi ya mapa ya n’wana,,,
dsac_multi_hiv_00038,baby milk powder feeding,formula feeding,,,,,,,formulevoeding,,,,,,ukuncelisa umntwana ubisi oluyimpuphu,ukuncelisa ingane ubisi oluyimpuphu,,,,ukondla usana ngobisi olungumgubo,ukondla imveku ngobisi olungumgubo,ukondla umntwana ngobisi olungumgubo,,,,,,kufuna luswane ngemphuphu yelubisi,kumunyisa luswane ngemphuphu yelubisi,,,,ukumunyisa isana ibisi lepuphu,,,,phepo ya lesea ka mašwi a lerole,,,,,,phepo ya lesea ka maswi a lerole,,,,,,phepo ka lebese la phofo la masea,,,,,,,u mamisa boḓelo,u mamisa,,,,,,,,ku an’wisa n’wana hi masi ya mapa,,,
dsac_multi_hiv_00039,backstreet abortion,,,,,,,,agterstraataborsie,,,,,,ukuhushulwa kwesisu ngokungemthetho,,,,,ukukhupha isisu okungekho mthethweni,ukukhupha isisu okungakhuselekanga,ukuqhomfa okungekho mthethweni,ukuqhomfa okungakhuselekanga,,,,,kukhishwa kwesisu enkhwace,kuhushulwa kwesisu enkhwace,,,,ukurhululwa kombungu okungasisemthethweni,,,,khutlisompa-tlhokasemolao,ntshompatlhokasemolao,temololotlhokasemolao,,,,ntšho ya mpa ntle le molao,,,,,,ho ntsha mpa ntle le thuso ya dingaka,,,,,,,vhubvisa thumbu vhu songo tsireledzeaho,vhuṅula thumbu vhu songo tsireledzeaho,vhuthutha thumbu vhu songo tsireledzeaho,vhuwisa thumbu vhu songo tsireledzeaho,vhuṅula thumbu matalani,,,,,ku xixa swi nga ri nawini,ku humesa khwiri swi nga ri nawini,,
dsac_multi_hiv_00040,bacteria <Plural> <see bacterium>,,,,,,,,bakterieë <Plural> <kyk bakterium>,,,,,,amagciwane,,,,,iintsholongwane,iibhakthiriya,,,,,,,emagciwane,emabhakhtheriya,,,,umulwana,ibhaktheriya,,,megare,,,,,,dikokwana,,,,,,dikokwanahloko,dibaktheria,,,,,,bakitheria,tshitzhili tsha bakitheria,,,,,,,,xitsongwatsongwana,,,
dsac_multi_hiv_00041,bacterial infection,,,,,,,,bakteriële infeksie,bakteriese infeksie,,,,,ukuhlaselwa amagciwane,,,,,usuleleko ziintsholongwane,usuleleko ziibhakthiriya,,,,,,,kuhlaselwa ngemagciwane,kungenwa ngemagciwane,kuhlaselwa ngemabhakhtheriya,kungenwa ngemabhakhtheriya,,ithelelwano yomulwana,ithelelwano yebhaktheriya,,,tshwaetso ka mogare,,,,,,phetetšo ka dipaktheria,,,,,,tshwaetso ya dibaktheria,tshwaetso ya dikokwanahloko,,,,,,vhulwadzevhuvhangwangabakitheria,,,,,,,,,nghenelo hi xitsongwatsongwana,,,
dsac_multi_hiv_00042,bacterium <often used in the plural>,,,,,,,,bakterie <dikwels in die meervoud gebruik>,,,,,,igciwane,,,,,intsholongwane,ibhakthiriyam,,,,,,,ligciwane,libhakhtheriya,,,,umulwana,ibhaktheriya,,,mogare,,,,,,paktheriamo,,,,,,kokwanahloko,baktheria,,,,,,bakitheriamu,,,,,,,,,xitsongwatsongwana,,,
dsac_multi_hiv_00043,barrier method,,,,,,,,skansmetode,,,,,,indlela yokuvimbela,,,,,indlela yokuthintela,,,,,,,,indlela yekuvimbela,indlela yekuvikela,,,,indlela yokukhandela,indlela yokuvimbela,,,mokgwathibelo,,,,,,mokgwathibelo ka lepheko,,,,,,sekantshi,mokgwa wa thibelo,,,,,,nḓila ya u thivhela,maitele a u thivhela,,,,,,,,ndlela yo sivela,,,
dsac_multi_hiv_00044,bedridden,,,,,,,,bedlêend,bedgekluister,,,,,ukuba ubhaca,kwembulwa kwembeswa,kubonwa ngokusa,,,ukulala ngendlu,ukulala ngandletyananye,,,,,,,-bona ngekusa,-kwembulwa kwembeswa,,,,-sipharela,,,,kgophalala,,,,,,mohlwamalaong,,,,,,ho kula o sa phahame diphateng,ho setswe ka ntlo,,,,,,u rwelwa thovhoni,,,,,,,,,muvabyi-matshama-a-etlele,,,
dsac_multi_hiv_00045,behaviour change,,,,,,,,gedragsverandering,,,,,,ukuguquka kokuziphatha,ukushintsha kokuziphatha,,,,ukutshintsha kokuziphatha,ukutshintsha kwesimo sokuziphatha,ukutshintsha kwendlela yokuziphatha,ukuguquka kwemo yokuziphatha,,,,,kugucuka kwendlelakutiphatsa,kuntjintja kwendlelakutiphatsa,,,,itjhuguluko lokuziphatha,,,,phetogomaitsholo,,,,,,phetogo ya maitshwaro,,,,,,phetoho boitshwarong,,,,,,,tshanduko ya kutshilele,tshanduko ya matshilele,,,,,,,,ncinco wa mahanyelo,,,
dsac_multi_hiv_00046,bereavement,,,,,,,,verlies,,,,,,ukushonelwa,ukuba semanzini,,,,ukubhujelwa,ukuswelekelwa,,,,,,,kushonelwa,kuba semantini,,,,ukufelwa,ukuhlupheka,,,khutsafalo ya loso,bohutsana,tlhokafalelwa,,,,hlokofalelwa,hlokagalelwa,,,,,bofifi,,,,,,,u lila,,,,,,,,,ku feriwa,ku loveriwa,,
dsac_multi_hiv_00047,bestiality,,,,,,,,bestialiteit,,,,,,ukubhebhana nesilwane,,,,,ukulala isilwanyana,,,,,,,,kulala silwane,kubhebha silwane,,,,ukujarha isilwana,ukugoda isilwana,ukulalana nesilwana,,thobalophologolo,,,,,,thobalano ya motho le phoofolo,,,,,,motabo le diphoofolo,,,,,,,vhudzekani na tshipuka,u lala na tshipuka,u nyovha tshipuka <Vulgar>,,,,,,,nkundzano na xiharhi <Vulgar>,,,
