id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,afr__004,afr__005,afr__006,xho__001,xho__002,xho__003,xho__004,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,nde__002,nde__003,tsn__001,tsn__002,tsn__003,tsn__004,nso__001,Syonym__-,nso__002,nso__003,nso__004,sot__001,sot__002,sot__003,ven__001,ven__002,ven__003,ven__004,ven__005,ven__006,tso__001,tso__002,tso__003,tso__004
dsac_pharm_sec_00017,agar,,,agar,agarjellie,seewierjellie,,,,iaga,,,,inkhushe,i-aga,,,i-agar,,,bolepulele,,,,eika,,,,,eika,,,aga,,,,,,agara,,,
dsac_pharm_sec_00018,agglomeration,,,agglomerasie,,,,,,intlanganisela yamasuntswana,,,,kubutselelana,,,,ibuthelelwano leentsherwana,i-adlhomereyitjhini,,kompaganyo,,,,momagano,,,,,momahano,,,munambatelano wa zwipiḓa,,,,,,nhlanganiso,,,
dsac_pharm_sec_00019,agglutination,,,agglutinering,agglutinasie,saamklonting,,,,uncamathelwano lweeseli zegazi,,,,kunamatselana,,,,ukunamathelana,,,kgomarelano,mamarelano,,,kgomarelano,,,,,kgomarelano,,,nambathelano,,,,,,namarelano,,,
dsac_pharm_sec_00020,airsickness,,,lugsiekte,,,,,,ukuguliswa luhambo ngezithuthi,,,,kugula lokubangwa kuhamba ngetitfutsi tasemoyeni,kunyakuleka uma usemoyeni,kuba nesiyeti uma usemoyeni,,ukuphakanyelwa ziimbindi ngokuphakama,,,tshelelego ya bafofane,pherogo ya bafofane,,,bolwetši bja samadikwe,,bolwetši bja modukologo,,,ho ferolwa dibete ke ho fofa,,,vhulwadzembangwa nga zwiendazwikhalani,,,,,,vuvabyimpfhukeni,,,
dsac_pharm_sec_00021,albinism,,,albinisme,,,,,,ubunkawu,ialbhinizimu,,,i-albhinizimu,,,,ubukawu,i-albhinizimu,ubu-albhino,boswafe,,,,boswefe,,bohwehle,bohwama,boalepino,bosofe,,,vhuaḽibino,vhuaḽbino,,,,,vualibino,,,
dsac_pharm_sec_00022,albumin,,,albumien,albumine,eiwitstof,,,,ialbhumini,,,,i-alibhumini,,,,i-albhumini,,,alebumini,,,,alpumini,,alipumini,,,albumini,,,aḽibumini,aḽbumini,,,,,alibumini,,,
dsac_pharm_sec_00023,aliquot,,,alikwot,,,,,,ialikhothi,,,,isampula,incenye,i-alikhothi,,i-alikhothi,,,seretlhatlhobo,alikhote,,,sampolephehleko,,alikhote,,,alikhoto,,,sambulaṱholwa,aḽikhwathi,,,,,alikhoto,,,
dsac_pharm_sec_00024,alkalinity,,,alkaliniteit,,,,,,ubungakanani bealkhali,,,,silinganiso se-alkhali,bungako be-alkhali,,,isilinganiso se-alkhali,ubu-alkhali,,bokalaka,,,,go toka,,alekalinithi,,,bokalaka,,,phimo ya aḽikaḽi,phimo ya aḽkaḽi,,,,,vualikali,,,
dsac_pharm_sec_00025,alkali salt,,,alkalisout,,,,,,ityuwa ealkhali,,,,sawoti we-alkhali,luswayi lwe-alkhali,,,itswayi le-alkhali,,,letswaikalaka,,,,letswaitoka,,,,,letswai la kalaka,,,muṋo wa aḽikaḽi,muṋo wa aḽikaḽi,,,,,munyu wa alikali,,,
dsac_pharm_sec_00026,allergic reaction,,,allergiese reaksie,,,,,,ukuguliswa kokwaliwa ngumzimba,ialeji,,,kwaliwa ngumtimba,kungahambisani nemtimba,i-aleji,,okwaliwa mzimba,,,kganano,tsibogokgano,,,go ba le aletši,,,,,ho ba le aleji,,,u vha na aḽedzhi,,,,,,rinyenyanyenya ra miri,,,
dsac_pharm_sec_00027,alopecia {medical condition that causes hair loss},,,alopesie,haarloosheid,,,,,ukutshanduka,ialopheshiya,,,kucotfuka tinwele,kulahlekelwa tinwele,i-alopheshiya,,ukuthintitheka kweenhluthu,ukuthintitheka koboya,i-alophetjhiya,tsuego,tlhobego,,,tahlegeloriri,,alophešia,,,tsutehomoriri,alopheshiya,,vhulwadze ha u guvhuwa mavhudzi,aḽopheshia,,,,,nghuvukamisisi,,,
dsac_pharm_sec_00028,alternative medicine {preventative healthcare practices},,,alternatiewe geneeskunde,,,,,,unyango olulolunye,,,,kwelapha lokwehlukile,,,,enye indlela yokwelapha,,,kalafinngwe,,,,kalafišele,,,,,kalafo ya mofuta o mong,,,muṅwe mushonga,mushonganyimelamuṅwe,,,,,vutshunguri bya muxaka wun’wana,,,
dsac_pharm_sec_00029,alveolus {air sac in the lungs},,,alveolus,longblasie,longsakkie,,,,izingxotyana zemiphunga,,,,lisakamoya,,,,i-alviyolasi,,,tshukamowa,kgetsanamowa,,,mokotlamoya (maswafong),,aleviyolase,,,alviolase,,,aḽivioḽasi,aḽivioḽasi,,,,,alivhiyolasi,,,
dsac_pharm_sec_00030,Alzheimer's disease,,,alzheimersiekte,alzheimers,Alzheimer se siekte,,,,isigulo sokulibala,,,,sifo sekudideka kwengcondvo,sifo se-Alzheimer,,,i-Alzheimer,,,bolwetse jwa ga Alzheimer,,,,bolwetši bja Alzheimer,,,,,lefu la Alzheimer,,,vhulwadze ha Alzheimer,vhulwadze ha muhumbulo ha Alzheimer,,,,,vuvabyi bya Alzheimer,,,
dsac_pharm_sec_00031,ambient temperature,,,omgewingstemperatuur,omringende temperatuur,,,,,iqondo lobushushu elilungelelanisiweyo,,,,lizingakushisa lendzawotsite,,,,izinga lokutjhisa lebhoduluko,,,themphereitšha ya tikologo,,,,themphereitšhatikologo,,,,,motjheso kapa mohatsela wa tikoloho,thempereitjha ya tikoloho,,thempheretsha yo linganelaho,,,,,,mahiselo ya ndhawu,,,
dsac_pharm_sec_00032,amino acid,,,aminosuur,,,,,,izakhiprotini,iamino asidi,,,i-amino esidi,takhi temaphrotheyini,,,i-amino esidi,,,aminoesiti,,,,aminoesiti,,,,,aminoesiti,,,dungi ya amino,esidi ya amino,,,,,aminoasidi,,,
dsac_pharm_sec_00033,amnesia,,,geheueverlies,amnesie,,,,,ukulibala,iamniziya,,,sifo sekukhohlwa,i-amneshiya,,,ukulahlekelwa mkhumbulo,i-amneziya,,tebalo,,,,amnišia,,aminešia,,,bolebadi,amneshiya,,khangwa,,,,,,xiphuswa,xirive,,
dsac_pharm_sec_00034,amniotic fluid,,,vrugwater,amnionvog,amniotiese vloeistof,,,,amanzi omkhaya,amanzi omgcantsi,,,incipho,,,,amanzana wombungu,,,modubu,,,,seela sa motse,,seela sa aminiothiki,,,mokedikedi wa bonamane,,,tshiṱanga,,,,,,mati ya xivelekelo,xupa,,
dsac_pharm_sec_00035,ampoule <Great Britain>,,,ampule,ampul,ampulle,,,,ibhotilana yesitofu,iampuli,,,libhodlelana lemjovo,sipononoza semjovo,i-amphuli,,ibhodlelwana lomjovo,i-amphiyoli,,emphule,,,,amphoulu,,,,,ampheyole,,,ampuḽu,,,,,,ampulu,,,
dsac_pharm_sec_00036,anaerobic bacteria,,,anaërobiese bakterieë,,,,,,iintsholongwane ezingaphili ngomongomoya,,,,ligciwane lelingaphili ngemoyamphilo,,,,umulwana ongaphili ngommoya,ibhakthiriya engaphili ngeoksijini,,mogare wa anerobiki,,,,paketheriahlokaoksitšene,,paketheria yeo e golago ntle le okisitšene,,,baktheria e sa hlokeng oksejene,,,bakitheria i no tshila si na muyamufhe,baktheria i no tshila hu si na muyamufhe,bakitheria i no tshila hu si na gesedungi,baktheria i no tshila hu si na gesedungi,bakitheria i no tshila hu si na okisidzheni,baktheria i no tshila hu si na oksidzheni,xitsongwatsongwanamavenga-moyatenga,,,
dsac_pharm_sec_00037,anaesthetic <Great Britain> {substance that produces reversible loss of consciousness},anesthetic,,anestetikum,narkosemiddel,verdowingmiddel,,,,isilalisizivo,ichiza lokudoma,,,silalisimiva,,,,isidambisimizwa,,,seidibatsi,,,,seidibatši,,,,,sethethebatsi,,,tshidzidzivhadzi,,,,,,xititivati,xitlanyati,,
dsac_pharm_sec_00038,analgesia {inability to feel pain while conscious},,,analgesie,analgie,pynstilling,pynverdowing,,,ukungeva ngqaqambo,,,,kubulala tinhlungu,kungeva buhlungu,,,ukungezwa ubuhlungu,,,bogatsu,,,,go hloka bohloko,,,,,ho bolaya bohloko,,,tshifhedzavhuṱungu,,,,,,xititivataswitwi,,,
dsac_pharm_sec_00039,analgesic {medication to relieve pain},,,pynstiller,pyndoder,analgesikum,pynstillende middel,,,isibulalintlungu,isidambisintlungu,isithomalalisintlungu,,sibulalitinhlungu,,,,isibulaliinhlungu,,,seokobatsatlhabi,,,,seokobatšabohloko,,sebolayabohloko,,,sebolayabohloko,,,tshivhulayavhuṱungu,,,,,,ntitivataswivavi,,,
dsac_pharm_sec_00040,analogous substitution {dispensing of medicine},,,analoëvervanging,,,,,,iyeza elingelolentsusa,,,,kusebentisa umutsifanana,,,,isijamiseleli esifanako,isihlahla esisebenza njengesine,,kalafokemedi,,,,motswakophodišotshwano,,,,,phano ya morianakemedi,,,mushonga u no imela muṅwe,,,,,,vusivamurhifanana,,,
dsac_pharm_sec_00041,anaphylaxis {allergic response},,,anafilakse,,,,,,ukwaliwa liyeza okumandundu,ialeji emandundu,,,emanyabila,emanyabinga,lokwaliwa ngumutsi lokubucayi,,ukutsirimezeka,i-anafileksisi,,kganotseneletse,kganotota,,,anafilakisisi,,aletšikotsikotsi,,,anafilaksisi,,,ndambatshifu,ndamba i re khombo,anafilekisisi,aḽedzhitshifu,,,rinyenyanyenyamaxungetavutomi,,,
dsac_pharm_sec_00042,ancillary material,,,bykomende materiaal,hulpmateriaal,,,,,izincedisi kumachiza,,,,tinsitakuphelelisa,tinsitalwesekelo,,,imethiriyali esekelako,,,seretlaleletsi,,,,didirišwatlaleletšothuši,,,,,ditlatseletsi tse phethelang,,,zwishumiswa zwa u tikedza,,,,,,switirhisiwanseketelo,,,
dsac_pharm_sec_00043,aneurysm,,,aneurisme,,,,,,iqhubu emthanjeni,,,,kuvuvuka kwemtsambo,kudvumba kwemtsambo,,,ukuvuvuka komthambo,ukudumba komthambo,,thurugotshika,pudulogotshika,,,aneyurisimi,,kokomogotšhikamadi,,,anurisimi,,,u punda ha lutsinga,,,,,,nkukumuko wa nsiha,,,
dsac_pharm_sec_00044,angina pectoris {heart cramp},,,angina,hartkramp,,,,,ubulalekontliziyo,ianjina,,,lihlaba,,,,isihlabi sehliziyo,i-anjaniya,,setlhabifatlha,,,,sehlabipelong,,entšaena,,,lehlaba pelong,,,anzhaina,,,,,,xitlhavimbilwini,,,
dsac_pharm_sec_00045,animal fat {nutrition},,,diervet,dierevet,,,,,inqathe,,,,emanoni,emafutsa enyama,,,amafutha wenyama,,,mafuraphologolo,,,,makhuraphoofolo,,,,,mafura a phoofolo,,,mapfhura a phukha,,,,,,mpambana,,,
dsac_pharm_sec_00046,anion {chemistry},,,aniioon,,,,,,ianiyoni,,,,i-aniyoni,i-athomu lengenamandla,,,i-aniyoni,,,anayone,,,,eneayone,,,,,enayone,,,aniyoni,,,,,,aniyoni,,,
dsac_pharm_sec_00047,anorexia nervosa,,,anoreksie,anorexia nervosa,,,,,isigulo sokuzilambisa,ianoreksiya,,,sifo sekutilambisa,sifo sekutincisha kudla,,,ubulwele bokusaba ukudla,i-anerokziya nevosa,,poifomonono,,,,poifonono,,anorekesia nerevosa,,,ho ikotisa ka ho se je,anoreksia nevosa,,vhulwadze ha u shavha u ḽa,,,,,,vutidlayisandlala,vutisikisi,,
dsac_pharm_sec_00048,antacid {medication to neutralise acid in the stomach},,,teensuurmiddel,teensuur,,,,,ichiza lesitshisa,ichiza lesilungulela,,,sicedzisilungulela,,,,isithundubazi se-esidi,isigogobalisi se-esidi,,twantshaesiti,setlhaolosaesiti,,,selwantšhaesiti,,,,,sekokobetsaesiti,,,tshidzimuladungi,tshidzimulaesidi,,,,,xitimulaasidi,,,
dsac_pharm_sec_00049,antibacterial <adj.>,,,antibakteries,antibakterieel,antibakteriële,,,,isibulalantsholongwane,,,,-bulalimagciwane,,,,-bulalimulwana,,,-twantshamogare,-sebolayamogare,,,-šitišago paketheria,,,,,-thibelang baktheria,,,tshivhulahatshitzhili,tshivhulayatshitzhili,tshivhulahabakitheria,tshivhulahabaktheria,,,-xilwanaswitsongwatso ngwana,,,
dsac_pharm_sec_00050,anticoagulant {medication to eliminate blood clots},,,teenstolmiddel,antikoagulant,antistolmiddel,,,,isihlobisigazi,,,,sivimbelimahlwili,sihlambululingati,,,isikhandelimahlwili,isibulalimahlwili,,sethibelatlhole,twantshatlhole,,,sethibelakgahlomadi,,,,,sethibelamahlwele,,,tshithivhela u kheṱha ha malofha,,,,,,xisivelantiyangati,,,
dsac_pharm_sec_00051,anticoagulant {medication to eliminate blood clots},,,teenstolmiddel,antikoagulant,antistolmiddel,,,,isihlobisigazi,,,,sivimbelimahlwili,sihlamboletingati,,,isikhandelimahlwili,isibulalimahlwili,,sethibelatlhole,twantshatlhole,,,sethibelakgahlomadi,,,,,sethibelamahlwele,,,tshithivhela u kheṱha ha malofha,,,,,,xisivelantiyangati,,,
dsac_pharm_sec_00052,antidepressant {medication to treat depression},,,antidepressant,depressieteenmiddel,,,,,isithintelikudakumba,isithintelikunxunguphala,,,sicedzikudzangala,,,,iselaphikudamba,,,kimololakgatelelomaikutlo,sethibelakgatelelomaikutlo,,,seimollakgatelelomona gano,,,,,sekokobetsakgatello ya maikutlo,,,tshithivhelamutsiko wa muhumbulo,,,,,,xisivelantshikelelo wa miehleketo,,,
dsac_pharm_sec_00053,anti-emetic {medication to treat nausea},,,antiëmetikum,braakteenmiddel,,,,,isithintelisicaphucaphu,isinqamlikugabha,,,sivimbelikunyakuleka,sivimbelikuhlanta,,,isivimbelikuhlanza,isikhandelikuhlanza,,sethibelatlhatso,selwantshatlhatso,,,sethibelatshellego,,,,,sekokobetsalehlatso,,,tshithivhela u ṱanza,,,,,,xisivelahlanto,,,
dsac_pharm_sec_00054,antifungal {medication to treat fungal infections},antifungoid,,swamteenmiddel,skimmelweerder,antifungusmiddel,,,,isithintelikungunda,,,,sicedzisikhuntsa,sicedzisikhowa,,,isihlahla sefangasi,,,sethibelamouta,twantshamouta,,,sethibelamouto,,,,,sethibelahlobo,selwantshahlobo,,tshithivhelalugowa,tshithivhela tshitzhili tsha fangasi,,,,,xisivelamfurho,,,
dsac_pharm_sec_00055,anti-inflammatory {medication to manage pain and inflammation},,,antiinflammatoriese middel,ontstekingsteenmiddel,,,,,isidambisikukrala,,,,sicedzitinhlungu,silawulikuvuvuka,,,iselaphikufutha,,,sethibelathurugo,,,,sethibelatšhatšhamelothurugo,,sethibelainflameišene,,,selaolaborurusi,,,mushonga wa u thivhela u zwimba,,,,,,xisivelampfimbo,xisivelandzhumbelo,xisivelambavuko,
dsac_pharm_sec_00056,antimalarial {medication that treats malaria},,,antimalariamiddel,malariateenmiddel,,,,,ichiza lecesina,ichiza lomkhuhlane weengcongconi,,,sivimbelimalalaveva,sicedzimalalaveva,,,isivikeli sikamalalehlengezela,iselaphi semalariya,,sethibelamalaria,,,,sethibelamalaria,,,,,sethibelamalaria,selwantshamalaria,,tshithivheladali,tshithivhelamaḽaria,,,,,xisiveladari,murhi wa dari,,
dsac_pharm_sec_00057,antineoplastic drug {to treat cancer},,,antineoplastiese middel,antineoplastiese geneesmiddel,antineoplastikum,,,,isithintelikunaba komhlaza,,,,sivimbelitimila,,,,isivimbelikunaba kwekankere,,,sethibelakankere,sethibelatlhagala,,,sethibelakankere,,anthinyoplastiki,,,sethibelamofetshe,sethibelakankere,,mushonga wa u thivhela u phaḓalala ha pfhuko,mushonga wa u thivhela u phaḓalala ha ṱhahala,mushonga wa u thivhela u phaḓalala ha khentsa,,,,xisivelahangalakomatshumbamfukuzana,murhi wa matshumbamfukuzana,,
dsac_pharm_sec_00058,antipyretic {medication that reduces fever},antifebrilic,,koorswerende middel,koorsbestryder,koorsweerder,antipiretikum,,,iyeza lobushushu,,,,sidzambisikushisa,sidzambisitinhlungu,,,isidambisifiva,,,twantshakgotelo,,,,sefokotšaphišommele,,,,,sefodisafeberu,,,mushonga wa u fhungudza mufhiso,mushonga wa fhunguda mudinyane,,,,,xihunguta-ku-hisa-ka-miri,,,
dsac_pharm_sec_00059,antiseptic <n.> {substance that kills bacteria},,,ontsmettingsmiddel,antiseptikum,antiseptiese middel,,,,isithintelikubhidla,,,,sibulalimagciwane,,,,isivimbelikubhibhidlha,,,sethibelaphero,,,,sešitišaphero,,sebolayapaketheriya,,,sebolayadipeo tsa mahloko,,,mudzivhatsiṱo,tshithivhelatshili,,,,,xixuvi,xidlayavubori,,
dsac_pharm_sec_00060,antitoxin,,,antitoksien,antitoksine,teengif,,,,isilwityhefu,,,,sincandzibutsi,sibulalibutsi,sicedzibutsi,,isivimbelitjhefu,,,twantshatlhole,,,,selwantšhampholo,,,,,selwantshatjhefu,,,tshidzivhamulimo,,,,,,xilwisachefu,xilwisavuxungu,,
dsac_pharm_sec_00061,antitoxin,,,antitoksien,antitoksine,teengif,,,,isilwityhefu,,,,sincandzibutsi,sibulalibutsi,sicedzibutsi,,isivimbelitjhefu,,,twantshatlhole,,,,selwantšhampholo,,,,,selwantshatjhefu,,,tshidzivhamulimo,,,,,,xilwisachefu,xilwisavuxungu,,
dsac_pharm_sec_00062,appendicitis,,,blindedermontsteking,appendisitis,,,,,ukukrala kothunjana,,,,kuvuvuka kwaphambukani,,,,ubuhlungu be-aphendiksi,,,thurugolelana,,,,tšhatšhamelothurugoa phentikisi,,,,,borurusi ba lelana,,,vhulwadze ha u zwimba tshilagu,apendikisi,,,,,mpfimbo wa xincilana xa rhumbu,ndzhumbelo wa xincilana xa rhumbu,,
dsac_pharm_sec_00063,arsenic {very poisonous element},,,arseen,,,,,,ikhemikhali enetyhefu,,,,i-asenikhi,ikhemikhali lenebutsi,,,i-aseniki,,,khemikhaletlhole,,,,aseniki,,,,,aseniki,,,aseniki,,,,,,aseniki,,,
dsac_pharm_sec_00064,arteriosclerosis,,,arteriosklerose,slagaarverharding,,,,,uvaleko loonothumelagazi,,,,sifo sekucina kwemisipha,i-atheriyoklerosi,,,i-atheriyostlerosisi,i-arteriosclerosis,,thatafalotshika,,,,kotofatšotšhika,,atheriyosetlelosisi,,,thatafalo ya athari,,,vhulwadze ha u oma tsinga dza malofha,vhulwadze ha u oma ha mbondo dza ludivhitha lwa malofha,,,,,nonohato wa nthumukwana,,,
dsac_pharm_sec_00065,artery,,,arterie,slagaar,,,,,unothumelagazi,,,,umtsambo lotfumelako,,,,umthambo othumelako,,,tshikelammeleng,,,,tšhikaseišamadi,,athari,,,mothapo o fepelang madi,,,ludivhitha,,,,,,nthumukwana,,,
dsac_pharm_sec_00066,arthralgia,joint pain,,gewrigspyn,artralgie,,,,,iingqaqambo zamalungu,,,,buhlungu bemalunga,,,,ubuhlungu bamalungu,,,botlhokotokololong,,,,bohlokomalokollo,,,,,bohloko lenonyeletsong,,,vhuṱungu ha zwinungo,u vhavha ha zwinungo,,,,,xivavimahlanganweni,,,
dsac_pharm_sec_00067,arthritis,,,artritis,gewrigsontsteking,,,,,isifo samathambo,,,,sifo semalunga,,,,ukuqaqamba kwamalungu,i-athrayithisi,,ramatiki,,,,tšhatšhamelothurugomalokollo,,,,,atheraethisi,,,vhulwadze ha marambo,vhulwadze ha zwinungo,,,,,vuvabyi bya mahlangano,,,
dsac_pharm_sec_00068,asbestosis {chronic lung disease},,,asbestose,asbessiekte,,,,,isifo seasbhestosi,iasbhestosisi,,,sifo selitjeboya,,,,isifo selitjeboya,,,lehubaasebesetose,,,,bolwetšimafahlahlolwa kemarela,,asepesetosisi,,,asebestosese,,,vhulwadze ha asibesiṱosi,,,,,,vuvabyi bya marilarila,,,
dsac_pharm_sec_00069,aseptic <adj.> {free from germs},,,asepties,steriel,kiemvry,,,,-ngenantsholongwane,,,,-ngenakubola,,,,-nganangogwana,,,-phepa,,,,-hlokagotwatši,,,,,-hlwekileng,,,tshayazwitzhili,,,,,,-nkalo wa switsongwatsongwana,,,
dsac_pharm_sec_00070,aseptic processing,,,aseptiese prosessering,steriele prosessering,kiemvrye prosessering,,,,ubulawozintsholongwane,,,,lunakekelomkhicito loluvimbela kubola,,,,itjhejo lokuvikela ingogwana,,,phepafatso,,,,tlhwekišišothibelatwatši,,,,,tlhwekisiso,,,vhuthivhelazwitzhili,,,,,,masivelelo ya switsongwatsongwana,,,
dsac_pharm_sec_00071,aseptic technique,,,aseptiese tegniek,steriele tegniek,kiemvrye tegniek,,,,uthintelozintsholongwane,,,,indlela yekuvimbela kubola,,,,ukuvikela ukusabalala kwengogwana,,,thekenikiphepafatso,,,,theknikithibelatwatši,,,,,mokgwa wa tlhwekisiso,,,nḓila ya u thivhela zwitzhili,,,,,,thekiniki ya nsivelowa switsongwatsongwana,,,
dsac_pharm_sec_00072,aspirin,,,aspirien,aspirine,asetielsalisielsuur,,,,iaspirin,,,,i-asprini,,,,i-aspirini,,,aspirin,,,,asipirini,,,,,aspirini,,,asipirini,,,,,,asipirini,,,
dsac_pharm_sec_00073,asthenia {lack of energy and strength},,,astenie,swakheid,kragteloosheid,,,,utyhafo,iastheniya,,,kungabi nemdlandla,,,,-nganamdlandla,-nganamandla,,bokoa,,,,go hloka mafolofolo,,,,,ho tsherema,,,maneto mahulu,,,,,,nkantamu,nkamatimba,,
dsac_pharm_sec_00074,ataxia,ataxy,,ataksie,motoriese inkoördinasie,,,,,ukungasebenzisani kwezihlunu zomzimba,iathaksiya,,,lidvumbe,kungasebentisani kwemalunga emtimba,i-athakshiya,,ukungasebenzisani kwamalunga womzimba,i-athakziya,,tsherepano,athaxia,,,mothekeselo,,athakesiya,,,mothekeselo,eithaksia,,athakizia,u shumisana ha miraḓo ya muvhili zwi tshi bva maluvhini,,,,,nkantirhisano wa swirho,,,
