,eng ,eng definition ,category,afr ,nde ,xho ,zul ,nso ,sot ,tsn ,ssw ,ven ,tso 
10,Cultivated assets,"Livestock for breeding (including fish and poultry), dairy, draught, etc. and vineyards, orchards and other plantations of trees yielding repeat products that are under the direct management of the institutional units.",Agriculture,Gekultiveerde bate,Ifuyo neentjalo / Nesivuno,ii-asethi eziveliswayo / ezinemveliso,Impahla yokukhiqiza / Izitshalo nemfuyo yokukhiqiza,Dithoto ta temo te di bueletago tweleto,Leruo la temo / Bohwai,Letlotlotemothuo,Imphahla / Imfuyo yekukhicita / Yekwandzisa,Ndaka ya vhufuwi na vhulimi,Rifuwovurimi
11,Drip irrigation,"Irrigation practice which minimises the use of water and fertiliser by allowing water to drop slowly to the roots of plants, either onto the soil surface, or directly to the root zone, through a network of valves, pipes, tubing and emitters.",Agriculture,Drupbesproeiing,Ithelelelothontiselo / Ithelelelo / Isezelo elifethezako,unkcenkceshelo oluthontsizayo,Ukunisela ngamaconsi,Noeto ka marothi,Nosetso ka ho rothisetsa,Nosetsothotho / Nosetsorothodi / Nosetsorothela,Kunisela ngematfonsi / Ngekunyenyeta,Tsheledzo nga phophiso,Ncheleto wo thona
12,Extension officer,Person trained in agriculture and employed by the Department of Agriculture or any other body responsible for rendering assistance to farmers to promote good farming practices.,Agriculture,Voorligtingsbeampte,Umlimisi,Igosa lezolimo,Umeluleki wezolimo,Mothua balemi,Molemisi,Molemisi,Umlimisi,Mulimisi,Murimisi
13,Farm,"An area of land, together with its buildings, concerned with the growing of crops or the raising of animals.",Agriculture,Plaas,Iplasi,"ifama, intsimi",Ipulazi,Polase,Polasi,Polase,Lipulazi / Lipulasi / Lifama,Bulasi,Purasi
14,Farming unit (Industry and Trade),"One or more farms, smallholdings or pieces of land, whether adjacent or not, operated as a single unit and situated within the same magisterial district or province, on which cultivation is carried out for both commercial and non-commercial purposes, in the open air or under cover. It includes land rented from others, the farmstead and other buildings, cropland, pasture, veld, wasteland and dams, but excludes land leased to others. A farming unit could be owned by a single person, partnership, company, or close corporation, etc.",Agriculture,Boerderyeenheid,Ihlangothi lokulima (irhwebo ne-indastri),Icandelo lefama/ iifama (Imveliso noRhwebo),Ingxenye yepulazi,Yuniti ya temo,Yuniti ya temothuo,Polase,Lipulazi,Tshipia tsha vhulimivhufuwi (Nowetshumo na Vhubindudzi),Yuniti ya purasi
15,Flood irrigation,Irrigation practice that spreads water from open field ditches and other conveyance systems.,Agriculture,Vloedbesproeiing,Ithelelelo / Isezelo ngomsele / Ngekasa,unkcenkceshelo ngokuvulela amanzi azihambele / unkcenkceshelo ngokuvulela isikhukhula samanzi,Ukunisela / Ukuchelela ngamathantala,Noeto ka moela,Nosetso ka ho phallisa metsi,Nosetsotlele / Nosetsokelelo,Kunisela ngesikhukhula,Tsheledzo nga muelelo,Nceletoxindhambhi
16,Food crop,See cash crop.,Agriculture,Voedselgewas,Ukudla kokuthengisa,Isivuno sokutya,Izitshalo ezizodliwa,Dibjalo ta go lewa,Dijalo tsa dijo,Dijojwalwa tse di sa rekisiweng,Silimo sekutsengiswa,Tshilimelwa/tshizwalelwa u a,Xirimiwa xo dyiwa
17,Grain,"Harvested produce of cereals, pulses, oil crops and legumes.",Agriculture,Graan,Iinthoro zokudla,Ukutya okuziinkozo,Okusanhlamvu,Leroro/dithoro,Dijothollo,Tlhaka; thoro,Lokusaluhlavu,Thoro,Ndzoho
18,Grain production,Grain actually removed from the field.,Agriculture,Graanproduksie,IsiVuno sokugcina seenThoro,Imveliso yokutya okuziinkozo,Umkhiqizo wokusanhlamvu,Tweleto ya dijothoro/leroro,Dijothollo tse kotutsweng; tlhahiso ya dijothollo,Ntshodikunothoro,Kukhicitwa kwalokusaluhlavu,Vhubveledzathoro,Ntshovelorivelendzoho
19,Hectare,Metric unit of land measurement equivalent to 10 000 square metres.,Agriculture,Hektaar,I-agere; ihagere,Ihektare,Ihektha,Hekethara,Hektara,Heketara,Lihekhithare,Hekithara,Hekitara/mogeni
20,Herbicide,"A substance / mixture of substances used to kill plants that are not wanted in a specific area.
Synonym: weedkiller",Agriculture,Onkruiddoder,Isibulalikhula,isibulala-khula,Isibulalikhula,Sebolayangwang / Sebolayasekoro,Sebolayalehola,Polayamofero / Hebisaete,Sibulalilukhula,Tshivhulahatshee,Xidlayanhova
21,Industrial crops,"Any crop that provides material for industrial processes and products.
Examples: cotton, flax, linen, etc.; tobacco; oilseeds such as sunflower, and beverages such as tea and coffee.",Agriculture,Nywerheidsgewas,Isivuno semikhiqizo / Iintjalo zokukhiqiza,"izityalo ezingaveliselwa kutya, izityalo zemizi mveliso, izityalo ezithi zisetyenzwe phambi kokuba zibenokusetyenziswa",Isivuno esiguqulwa embonini,Dibunwa ta intaseteri,Dijalo tsa indasteri,Dijalelwatiriso,Sivuno semkhicito,Zwiliwa zwa nowetshumo,Swibyalwavumaki
22,Inter-planted crop,A crop planted between rows of another crop.,Agriculture,Tussengeplante gewas,Umfakelelo wesitjalo ; umfakelelositjalo,Uxabangelo lwesilimo,Ingxubezitshalo/amagabelozitshalo,Difakane/sebjalwamakgatheng a dingwe,Dijalellwa,Dijalwammogo,Silimo lesigabelwe,Tshimelaavhiwa vhukati ha zwiwe,Xirimiwa exikarhi ka xinwana
23,Irrigation,Artificial application of water to land to assist in the growing of crops and pastures.,Agriculture,Besproeiing,Ithelelelo; isezelo,Unkcenkceshelo/ unkcenkcesho,Ukunisela/ ukuchelela ngenkasa,Noeto/theleto,Nosetso,Nosetso,Kunisela,Tsheledzo,Ncheleto
24,Livestock,"All animals or birds kept or reared mainly for agricultural purposes including cattle, sheep, goats, pigs, horses, poultry, rabbits, etc.",Agriculture,Lewende hawe,Ifuyo,Imfuyo,Imfuyo,Leruo,Leruo,Diruiwa; leruo,Imfuyo,Zwifuwo,Swifuwo
25,Natural forest tree,Forest tree that grows in its natural habitat.,Agriculture,Natuurboom,Umuthi wehlathi lemvelo,Ihlathi lemveli,Isihlahla sehlathi lemvelo,Mohlare wa naga/mohlareoka,Sefate sa moru wa tlhaho,Setlhare sa naga,Sihlahla selihlatsi lemvelo,TshivendaMuri wa aka,Murhikhwati
26,Objective yield survey,A survey based on actual counts and measurements made in the field.,Agriculture,Objektiewe opbrengsopname,Umphumela wehlolombala,Uphando olwendeleyo lwemveliso,Uhlolomkhiqizongqo oluzimele,Tekolopuno ya maleba,Patlisiso e lekantsweng ya tlhahiso; dipatlisiso tse akaretsang tsa tlhahiso,Tlhomamisothobo,Lusaveyo ngco,Tsedzuluso ndivhiswakhao,Mbalangontshoveloxikwatsa
27,Oil crop,Annual plant whose seeds or fruit are used mainly for extraction of culinary and industrial oils.,Agriculture,Oliegewas,Isitjalo se-oli,Isilimo seoyile,Isitshalo sikawoyela,Semelatweletaoli,Sejalo se hlahisang oli; dijalo tsa oli,Dijwalo tsa oli; dijwalooli,Silimo semafutsa,Tshiliwa tshibveledzaole,Xirimiwa xa oyili
28,Oilseeds,"Dry seeds harvested from annual oil-bearing crops used for food, feed, seed or industrial purposes.",Agriculture,Oliesaad,Imbewu ye-oli,Imbewu yeoyile,Imbewu kawoyela,Dipeutweletaoli,Peo e hlahisang oli,Dipeooli,Inhlanyelo yalokusamafutsa,Thoro khubaole / khwalaole,Timbewu ta oyili
29,Perennial crops,Crops that are not replanted after each harvest.,Agriculture,Meerjarige gewasse,Iinthelakanengi,Izilimo ezingaphelelwayo,Izitshalo eziphila iminyakana,Dibjalo ta mengwaganthi,Dijalo tse kotulwang hangata,Matlhogelaruri,Tilimo taminyaka yonkhe,Zwiliwa zwikundagole,Swihanyamalembe
30,Pesticide,A substance / mixture of substances used to kill pests.,Agriculture,Plaagdoder,Isibulaliinunwana,isibulala-zinambuzane,Isibulalizinambuzane,Sebolayadikhunkhwane,Sebolayadikokonyana,Polayatshenekegi / Phesetisaete,Sibulalitilokatane,Tshivhulahazwikhokhonono,Xidlayaswitsotswana
31,Plantation trees,"Trees that are planted by the holder on the holding, e.g. eucalyptus trees. See natural forest tree.",Agriculture,Plantasiebome,Isimu yemithi,Imithi etyaliweyo,Imithi/ihlathi elitshaliwe,Dithokgwa ta go bjalwa/mehlare ya pholantheiene,Difate tse lenngweng,Polantasi,Lihlatsi lelihlanyelwe,Miritsiwa,Mirhi leyi byariweke
32,Pulses,"An annual leguminous plant yielding seeds used for food, feed, seed, and industrial purposes.",Agriculture,Peulgewas,Iinhlumaya,Iingxam/iiphalsi,Imiqumbe; umdumba,Diphotlwa,Dijalo tsa peo ya dikgaketla; monawa,Monawa,Lokusabhontjisi,awa,-nyawa
33,Sharecropping,A system of agriculture or agricultural production in which a landowner allows a tenant to use the land in return for a share of the crop produced on the land.,Agriculture,Deelsaaiery,Irherho lokwabelana isivuno,ukulima isahlulo,Uhlelo lokulimisana,Punokabelano,Seahlolo / Karolelano ya tjhai,Thobokopanelo / Thobotlhakanelo / Thobopataganelo,Kukhokhelana ngesivuno,Ndimokhovhano,Ntshoveloavelano
34,Subjective yield survey,A survey based on information obtained from farmers about their fields based on opinion or experience.,Agriculture,Subjektiewe opbrengsopname,Umphumela wehlolosilinganiso,Uphando lwemveliso ngokwabalimi/ngokwamafama,Uhlolomkhiqizo olungazimele,Tekolopuno ka molemi,Patlisiso ya tlhahiso ka ditsebi; dipatlisiso tsa tlhahiso ka botsebi,Tekanyetsothobo,Kusaveya ngekuhlawumbelisa,Tsedzulusakhao nga mbudzisa,Mbalangontshoveloxintokoto
35,Subsistence farmer,A person who produces crops primarily for own consumption.,Agriculture,Bestaansboer,Umlimi ozilimelako,Umfama oziphilelayo,Umalimazidlele/umlimi ongathengisi,Molemelagoja,Molemirui ya sa rekiseng; moitemedi,Molemiruipotlana,Umlimi lolimela kutidlela,Muifuwelimuilimeli,Murimela-ku-dya
36,Trickle irrigation,See drip irrigation.,Agriculture,Drupbesproeiing,Ithelelelo-thontiselo / Isezelo-thontiselo,unkcenkceshelo oluthontsizayo,Ukunisela samncithi,Noeto ka marothi,Nosetso ka ho rothisetsa,Nosetsothotho / Nosetsorothodi / Nosetsorothela,Kunisela ngematfonsi,Tsheledzo nga phophiso,Ncheletonthono
37,Weedkiller,See herbicide.,Agriculture,Onkruiddoder,Isibulalikhula,isibulala-khula,Isibulalikhula,Sebolayangwang / Sebolayasekoro,Sebolayalehola,Polayamofero,Sibulalilukhula / Umutsi wekuhlakulela,Tshivhulahatshee,Xidlayanhova
38,Yield,Amount of product harvested per unit area.,Agriculture,Opbrengs,Ivezo,Imveliso/ isivuno,Umkhiqizo ngokwendawo evuniwe,Puno,Tlhahiso; tjhai,Thobo,Sivuno,Khao,Ntshovelo
39,Yield per harvested area,Yield from the area actually harvested.,Agriculture,Opbrengs per geoeste oppervlakte,Ivezo ngesikhekhe esivuniweko,Imveliso yommandla ovuniweyo/ isivuno saloo ndawo,Umkhiqizo ngokwendawo evuniwe,Puno go twa temeng ye e bunnwego,Hlahiso ya serapa se kotutsweng; tjhai ya tshimo ka nngwe e kotutsweng,Thobo ka kgaolo e e kotutsweng,Sivuno ngekwendzawo levuniwe,Khao kha vhupokaiwa,Ntshovelo ku ya hi ndhawu leyi tshoveriweke
40,Yield per planted area,Yield from the area planted.,Agriculture,Opbrengs per beplante oppervlakte,Ivezo ngesikhekhe esitjaliweko,Imveliso yommandla otyaliweyo/ isivuno sendawo etyaliweyo,Umkhiqizo ngokwendawo etshaliwe,Puno go twa temeng ye e lemilwego,Tlhahiso ya serapa se lenngweng; tjhai ya tshimo ka nngwe e jetsweng,Thobo ka kgaolo e e jwetsweng,Sivuno ngekwendzawo lehlanyeliwe,Khao kha vhupo-/avhiwa / gobelwa,Ntshovelo ku ya hi ndhawu leyi rimiweke
41,Commission,"An amount of money, usually linked to the quantity of the goods or services sold, paid to sales persons.",Business Enterprises ,Kommissie,Inzuzosilinganiso / Ikhomitjhini,"ikhomishini, ucuntsu wemali enikezwa abo bancedisa umnini weshishini athengise iimpahla zakhe",Ikhomishini,Khomiene,Khomishene,Poelo / Khomiene,Ikhomishini / Imbasha,Khomishini,Khomixini
42,"Establishment
(System of Registers)","An enterprise, or part of an enterprise, which is situated at a single location in which only a single productive activity is carried out or in which the principal productive activity accounts for most of the value added.",Business Enterprises ,Instelling (Registerstelsel),Irhwebo / Ibhizinisi,"isebe, icandelo",Igatsha / Uphiko,Sehlongwa sa kgwebo / Setheo sa kgwebo,Karolo ya Lekala la kgwebo,Setheo,Indzawo yelibhizinisi / Iuphikomkhicito,Tshiimiswa tsha vhubindudzi,Xitumbuluxiwa
43,Income tax,"Tax levied on the financial income of a person, cooperation or other legal entity.",Business Enterprises ,Inkomstebelasting,Umthelongeniso,irhafu yengeniso,Intela yemali engenile,Mothelo wa letseno / Ditseno,Lekgetho la kuno/lekeno,Lekgethotseno,Intsela yemalingena,Muthelo wa mbuelo,Xibalo / Muthelo
44,Industrial area,An area that predominantly has industry as its main land use.,Business Enterprises ,Nywerheidsgebied,Indawo yamabubulo,"indawo yoshishino, indawo yemizi-mveliso",Indawo yezimboni,Lefelo la intaseteri,Sebaka sa indasteri,Bodirelo / Difemeng,Emafemini,Mamagani / Dzifemeni / Nowetshumoni,Ndhawu ya swa vumaki
45,Net loss,Excess of expenditure over sales revenue.,Business Enterprises ,Netto verlies,Ilahlekelosalela,ilahleko iyonke,Imali elahleke ngqo / Imali ecwile ngqo,Tobokgwebong,Tahlehelo,Tatlhegelotshalelo,Imalilahleko,Ndozwo kha tsalela,Ndzahlekelontsongo
46,Net profit,Excess of sales revenue over the cost of production.,Business Enterprises ,Netto wins,Inzuzo,inzuzo iyonke,Inzuzongqo,Poelo kgwebong,Phaello,Morokotsotshalelo / Poelotshalelo,Imalinzuzo,Mbuelo kha tsalela,Mbuyelontsongo
47,Outlet,"A place of business for retailing goods / services.
Examples: shop, market, service establishment, or other place, where goods and / or services are sold.",Business Enterprises ,Afsetpunt,Isitolo / Ivikili / Imakethe,indawo yokuthengisela,Indawo yokudayisela / Yokuhwebela,Borekieto,Sebaka sa kgwebo,Borekisetso / Thekisetso,Ligatja lelibhizinisi / Emakethe,Vhubindudzini,Vubindzulelo
48,Cluster house,"A freestanding property / house in a complex with a common boundary wall, but not sharing dwelling walls.",Construction,Troshuis,Indlubuthelelo,indlu ezimeleyo kwikhompleksi,Indlu esesidlaveleni,Ntlo ye e dikaneditwego le te dingwe,Ntlo e kgobokanong,Ntlosemmogo,Indlu lesekhatsi kwesidlidli setindlu / Likhaya emkhatsini wemakhaya labiyelwe lutsango lunye / Inculumba,Nnu ya tshigwadani / Nnu ire dzharaani nthihi na dziwe,Yindluxikatsa
49,Communal living rooms,"Rooms that are used by several members of the household for common purposes or activities, e.g. eating, watching television or movies, sitting, etc.",Construction,Gemeenskaplike woonkamer,Indawo yokuditjha ngendlini / Lindawo zomuntu woke ngekhaya,amagumbi asetyenziswa ngumntu wonke ohlala kuloo mzi,Amagumbi omndeni wonke,Diphapoibodulo te di hlakanelwago,Dikamore / Diphaposi tse kopanetsweng,Diphapositlhakanelo,Indlu yawonkhewonkhe,Lufhera lwa muanganelwa / Lufhera lu shumiswaho nga mia minzhi,Tikamaraxinghwana
50,Consumer unit (for household),"An entity to which the service is / would be delivered, and which receives one bill if the service is billed; alternatively known as a delivery point.",Construction,Verbruikerseenheid (vir huishouding),Indawo yokuhlala,indlu ezisiwa kuyo i-akhawunti zeenkonzo,Indawo yokwamukela,Yuniti ya modirii,Yuniti e ikemetseng,Yuniti ya modirisi,Sikhungo selwetfulolusito,Yuniti ya / Tshipia tsha / Fhethu ha vhuanganedzatshumelo,Xiyenge xa vatirhisi (endyangwini)
51,Demolished dwelling,A dwelling that has been destroyed.,Construction,Gesloopte woning,Indawo yokuhlala ebhuruziweko / Egiriziweko,indawo yokuhlala echithiweyo/ediliziweyo,Indlu ebhidliziwe,Leope / Lerope,Bodulo bo heleditsweng,Lerope / Lengwa / Letlotla,Indlu ledzilitiwe / Sakhiwo lesidzilitiwe / Lebhidlitiwe,Dumba,Vutshamo byo mbindzimuxiwa
52,Dwelling under construction,A dwelling unit that has not been built completely.,Construction,Woning in aanbou,Indawo yokuhlala esakhiwako,indawo yokuhlala esakhiwayo,Indlu esakhiwa,Moraka / Bodulo bjoo bo sa agiwago / Letlema,Bodulo bo ahwang,Bonnokagiwa,Sakhiwo lesisakhiwa,ema / Muraga,Vutshamo le byi akiwaka
53,Hut,"A hut is one form of dwelling found mainly in non-urban (rural) areas, thus a round structure made of materials such as mud walls and thatch or grass roofs.
Note: A hut may not necessarily be round; it may have any other shape.",Construction,Hut,Indlu yotjani / Indlu yesikhethu,"ungqu-phantsi, inqugwala",Iqhugwane,Ngwako wa bjang / Ntlo ya bjang,Mokgoro / Mohlongwafatshe,Mogwaafatshe / Motlaagana / Ntlwana,Indlu yetjani / Yesintfu / Gucasithandaze / Lilonto,Nnu yo fhaiwaho nga mavu ya hanga ya hatsi / ya mahayani / (sialala/mvelelo),Yindlu ya xintu
54,Other structures,"All structures other than buildings.
Inclusions: Highways, streets, roads, bridges, etc.",Construction,Ander struktuur,Ezinye izakhiwo,ezinye izakhiwo,Ezinye izakhiwo,Dibopego te dingwe,Meaho e meng,Dibopegodingwe,Letinye takhiwo,Dziwemveledziso dzi si dza zwifhao,Swiakiwa swinwana
55,Semi-detached house,One of two houses joined together with one common wall. Each house usually has its own private ground and has no other dwelling below or above it.,Construction,Skakelhuis,Indlu enamathelene nenye,indlu edibene nenye ngodonga,Indlu exhumene nenye,Ntlo ye e kgomaganego le ye nngwe,Matlo a kopantsweng ke lebota,Matlotshwaragano,Tindlu letehlukaniswe lubondza,Nnu yo umanaho na iwe,Yindlu yo tiyimela yoxenyana
56,Special dwellings,"Dwellings or structures not privately occupied by a household but rather by individuals with one or more common characteristics. Note: Occupants are usually provided with communal meals served from a common kitchen. Other facilities such as bathrooms and laundries are also shared. These dwellings include institutions such as hospitals, prisons, homes for special-care citizens (e.g. aged, disabled, juvenile offenders, etc.), boarding schools and some workers' hostels",Construction,Spesiale woning,Indawo yokuhlala ekhethekileko,iindawo zokuhlala ezikhethekileyo,Indawo yokukhoselisa,Madulo ao a ikgethilego,Bodulo bo kgethehileng,Mannokgethego,Inkopholo / Ihhositela,Vhudzulo ha tshipentshela / Vhudzulo ha ndivho nthihi,Vutshamo byo hlawuleka
57,Wattle and daub,A traditional construction method whereby walls are built with wooden sticks / poles and covered with mud or a mixture of mud and clay.,Construction,Paal-en-kleiwerk / Lat-en-kleiwerk,Ukwakha ngomthelo / Ngekghokgho,"umnyomfo, ukwakha ngezinti nodaka",Ukwakha ngezintungo nodaka,Mokgwa wa go aga mokutwana,Mohlongwafatshe,Dikota le Mmu,Kwakha ngeludzaka / Tindlu letibhadziwe,U fhaa nga basha na u nama,Dlhadlha
58,Anthropometrics,"Use of body measurements, such as height and weight, to determine a persons nutritional status.",Demography,Antropometrie / Mensmeting,Isilinganiso sokondleka komuntu,ukukalwa komzimba kujongwa ubude nokondleka,Isilinganisokondleka,Antherophometheriki / Kelo ya maemo a phepo,Tekolo ya phepo ho ya ka seemo,Antheropometerekisi / Tekanyetsosemmele,Luhlolomphilo ngebudze nangesisindvo,Phimapfusho nga muvhili,Anthirophometiriki
59,Census,A survey conducted on the full set of observation objects belonging to a given population or universe.,Demography,Sensus,Ibalo labantu / Ukubalwa kwabantu,"ubalo lwabantu, ubalo-bantu",Ubalo,Palo ya batho / Sentshase,Sensase / Palo ya setjhaba,Tlhotlhomisapalo / Palagotlhe,Lubalo,Mbalavhathu,Sensasi / Nhlayelo
60,Household member,"A person that resides with the household for at least four nights a week. Note : Exclusions : Domestic workers, unless they are paid in kind. Children at boarding school",Demography,Lid van huishouding,Ilunga lomkhaya / Lomuzi / Ilunga lomndeni,amalungu ekhaya nachithe ubuncinci beentsuku ezine ngeveki belala kwelo khaya,Amalungu omndeni,Maloko a lapa,Setho sa ntlong / Setho sa madulammoho,Badulammogo,Emalunga emndeni,Murao wa mua,Xirho xa ndyangu
61,Multiple households,Two or more households living in the same dwelling unit.,Demography,Veelvoudige huishoudings,Umuzi omkhulu / Ikoponi,iintsapho zamakhaya ezihlala ndawonye,Imindeni ehlala ndawonye,Malapa a go dula mmogo,Bodulo ba diyuniting,Badulammogommalwa / Badulammogontsi,Imindeni lehlala ndzawonye,Mia nuni nthihi,Mindyangunyingi emutini
62,Responsible adult,If the household head is not available for an interview it is possible to speak to another responsible adult in the household.,Demography,Verantwoordelike volwassene,Ilihlo lekhaya,umntu omdala onoxanduva ongaphendula imibuzo,Ibambelanhloko yekhaya,Motho yo mogolo wa maikarabelo,Motho e moholo ya ikarabellang,Moikarabedi / Mogodi / Mothomogolo,Lomdzala longamela umndeni / Labadzala,Mualuwa a re na vhuifhinduleli / Muthu muhulwane a re na vhuifhinduleli,Ntswatsi wa vutihlamuleri
63,Access to education,"The opening of the way, through legislation and a conductive environment, for everybody to gain access to opportunities that lead to some perceived benefits.",Education,Toegang tot onderwys,Ukutholakala kwefundo,amathuba okufikelela kwimfundo,Ukufunda / Ukuthola imfundo,Phihlelelo ya thuto,Phihlello thutong,Phitlhelelothuto,Ematfuba ekufundza,Tswikelo kha pfunzo,Mfikelelo wa dyondzo
64,Adult Basic Education and Training,"All learning and training programmes for adults from levels 1 to 4, where ABET level 4 is equivalent to grade 9 in public schools, or a National Qualifications Framework level 1, as stipulated in the South African Qualifications Authority Act (Act 58 of 1995).",Education,Basiese Onderwys en Opleiding vir Volwassenes (BOOV),IFundosisekelo nokuBandulwa kwabaNtu abaKhulu,imfundo noqeqesho olusisiseko lwabadala,Imfundo Noqeqesho Okuyisisekelo Kwabadala,Thuto ya Motheo le Tlhahlo ya Batho ba Bagolo,Thuto ya Motheo le Kwetliso ya Batho ba Baholo,Thutotheo le katiso ya bagolo/bagodi,Imfundvosisekelo nekuceceshwa kwalabadzala,Pfunzo ya mutheo na vhugudisi ha vhaaluwa,Dyondzo ya Masungulo na Ndzetelo wa Lavakulu
65,Age-specific enrolment ratio,"Percentage of the population of a specific age enrolled, irrespective of the level of education.",Education,Ouderdomspesifieke inskrywingsverhouding,Iretjhiyo yokutlolisa ngokweminyaka,umlinganiselo wobhaliso ngokobudala obuthile,Isilinganiso sokubhalisela ukufunda ngokweminyaka,Reio ya boingwadio ya mengwaga ye e itego,Reshiyo ya ba ingodiseditseng ho ithuta ho ya ka dilemo,Bolekanyetsitsenelototakgolo / Bolekanyetsiikwadisototakgolo,Silinganiso selinani lekubhalisa kwebafundzi ngekweminyaka yebudzala,Phimo ya u walisa ho sedzwa vhukale ho tewaho,Mpimoxiave wa ntsariso hi malembe
66,Attend (educational institution),"Enrolled at and going regularly to any accredited educational institution (public or private) for organised learning at any level of education. Attendance can be full-time or part-time, and distance learning is included. Temporary absence, e.g. due to illness, does not interrupt attendance.",Education,Bywoon (onderwysinstelling),Funda/khamba isikolo,Ukufunda/ (iziko lezemfundo),Ukuya esikoleni; ukungena isikole,Tsena (sekolo),Ho kena sekolo,Tsena (Sekolo),Fundza,U dzhena (tshiimiswa tsha pfunzo),Nghena (xikolo)
67,Basic education,Nine years of schooling from grade 1 to grade 9.,Education,Basiese onderwys,IFundosisekelo,imfundo esisiseko,Imfundo eyisisekelo,Thuto ya motheo,Thuto ya motheo/mathomo,Thutotheo,Imfundvosisekelo,Pfunzo ya mutheo,Dyondzo ya masungulo
