eng,afr,zul,xho,ssw,nbl,nso,tsn,sot,ven,tso
bride service,bruidsdiens,ukusebenzela umakoti,inkonzo yomtshakazi,emalobolo,umsebenzi kamakoti,tirelo ya monyadi,tirelo ya monyadiwa,tshebeletso ya bohadi,tshumelavhuhwe,"ndzovolo, ku ba tihomu"
bride wealth,"bruidskat, lobola ",umnotho kamakoti,ubutyebi bomtshakazi,"ingcebo yamakoti, umhlambiso",umnotho kamakoti,mahumo a monyadi,khumo ya monyadi,matshidiso a ba bohweng,ndifhelavhomakhulu,midzivuriso
bureaucracy ,burokrasie,ibhyurokhrasi,ulawulo lwabantu abaqeshiweyo ,umbuso lophetfwe tisebenti tahulumende ,"ibhiriyokhresi, umbuso ophethwe ziinsebenzi zikarhulumende",birokrasi,birokerasi,birokerasi (mokgwa wa tlhahlamano ya mesebetsi),birokirasi,matirhelo hi ku landzelerisa nxanxamelo wa matshamelo ya vurhangeri
capitalism,kapitalisme,ubungxowankulu,inkqubo yelizwe elawulwa yimali,kuba nemali lenyenti yekucala ibhizinisi,ihlelo lomnotho onzinze ezandleni zabantu bangeqadi,bokapitale,bokapitalise,bokapitale,khephithaḽizimu,mphamelo wa vukorhokeri eka vaaki hi ndlela yo bindzurisa
cargo cults,vragkultusse,imikhankaso yemilingo  yokulingisa izindlela zaseYurophu kwezomnotho,iinkqubo zonqulo zomthwalo,tinkholo te-cargo,isiqhema esihlangene ngekolo ethileko,mokgwa wa tumelo ya dithoto,mekgatlho e e dumelang mo khumong ya dithoto,mekgwa ya bodumedi ya ho ithuisa ,lupfumomanditi,mphahlo wa swikwembu
Cartesian,Cartesies,"okuthathelwe emibonweni yesazi sefilosofi, uDescartes",ifilosofi yenzululwazi yendalo (i-cartesian),i-Cartesian ,ihlathululo neembonelo zemitjho,Cartesian,Khathešiene,Mokgwa wa Carte,Tshikhatheshia,mulandzeri wa Descartes
caste system,kastestelsel,uhlelo lwekhasti,inkqubo yodidi lwabantu,luhlobo lwekutalwa ekhatsi esitukulwaneni sakubo,ikambiso yokuhlukanisa abanjingileko nabatlhagako,mokgwa wa kabelo,tsamaiso ya go farologanya ka tsalo,mokgwa wa ho kgetholla ho ya ka tswalo,sisiṱeme ya khasithi,muhlawuriwa/mukhethwa
cattle complex,beeskompleks,isikhundla nomnotho ngokwezinkomo umuntu anazo,indawo yemfuyo yeenkomo,bunhlonhla,ukwaba ipahla ngokuyabelana,leruo,thuo ya dikgomo,mokgwa wa dikgomo,maitele a lupfumothakha,rifuwo
chiefdom,"kapteinskap, hoofmanskap",ubukhosi,ubukhosi,bukhosi besikhulu,ubukhosi,"bogoši, borena",bogosi,borena,vhuhosi,vuhosi
clan,stamgroep,isizwe senkosi eyodwa,isiduko,lusendvo,ikoro,mohlobo,losika,leloko,"lusese, lushaka",nyimba
class,klas,ikilasi labantu,udidi,licembu,amalunga wesiqhema somphakathi,maemo,setlhopha (go ya ka maemo a loago),maemo a batho,"vhuimo, tshiimo",ntlawa
class consciousness,klassebewustheid,ukwazi ngekilasi,ukuthanda umgangatho,kwatisa licembu,ikolelo yabantu,temogo ya maemo,temogo ya maemo,tsotello ya maemo,"tshiṱalula nga vhuimo, tshiimo",vutitwi bya ntlawa
classificatory kinship terms,geordende verwantskapterme,amathemu okuhlela ezobundeni ngokwamakilasi,amagama okuhlela ngokobuzalwane,kuhlelenjiswa kwemagama ebuhlobo,ukuhlelwa kwamathemu wobuhlobo,mareo a go aroganya meloko,mareo a karologanyo ya losika  ,mareo a ho hlophisa kamano lelapeng,mathemo a vhushakavhuangaredzi,mutswala
cohort (stat.),kohort (stat.),ikhohothi,iqela labantu abanento ebadibanisayo,licembu lebantfu labatelwe eminyakeni lengu-5,isiqhema,dithaka,setlhopha sa balekane ba ba welang mo pakeng ya dingwagatlhano,balekane,"murole, thanga",tintangha
commodification,kommodifiëring,ukuguqulela kokuthengiswayo,ukulungisa kunye,"kwenta umkhicito, imphahla yekutsengwa",okuligugu,kgwebofatša,kgwebofatso,ho fetola ntho hore e be thepa e nang le boleng,vhubindudzi,swixavisiwa swa nkoka
communitas,gemeenskapsgees,ikhomyunithasi,umoya wobudlelwane,kuba moyamunye kwemmango,ummoya wokubumbana emphakathini,tšhomišanommogo ya setšhaba,mowa wa bommogo,moya wa kopano,vhuthihi,vunyandzayin'we
conjugal relationship,huweliksverhouding,ubudlelwane babaganeneyo,unxulumano lomtshato,budlelwane balabashadene,itjhebiswano ngokuthathana,tswalano magareng ga bagatša,kamano ya banyalani,kamano ya ba nyalaneng,vhudzekani,varhandzani
"consanguineal kin (consanguinity, consanguineous)",bloedverwante,izihlobo zegazi,"izalamane ngokwegazi (ngokwegazi, ngegazi)",sihlobo sengati,isihlobo seengazi,"tswalano ka madi, pelego",kamano ya madi,kamano ya madi,vhushaka nga malofha,maxaka ya ngati
contract societies,kontrakgemeenskappe,imiphakathi yezinkontileka,imibutho yekontraki,imimango yekontileka,indabuko yamasiko emindenini,ditšhaba tša go kgolwa go dikontraka,ditšhaba tse di nang le tumelano ya boikemedi,ditjhaba se tshepang ditumellano,zwitshavha zwa muimawoga,vaaki lava hanyaka ku ya hi ntwanano wo karhi
cosmology,kosmologie,ikhosmoloji,indalo yonke,inkholelo yemuntfu mayelana nemhlaba,ikolo nemibono yomuntu ngephasi,khosmolotši,khosmoloji,khosemoloji,khosimoḽodzhi,ntivontumbulukomisava
couvade (pseudopregnancy),skynswangerskap,isingakukhulelwa,isiko kubantu bamandulo lokulalisa utata xa usana luvela,kunyoluka kwendvodza,umkhuba wokwenza sengathi nobaba ubelethile,couvade,khubate,seka boimana ho monna (couvade),khuvadi,vukhankhelan'wana
creole language,Kreoolse taal,ulimi olungaqondile,umxube wolwimi lwaseYurophu nolwaseAfrika,lulwimi lwesicreole,ilimi eliyihlanganisela yamalimi amabili,polelo ye e sa felelago go hlabologa,puo ya kheriole,puo ya creole,luamboluvangani,ririmi leri tumbulukeke exikarhi ka tindzimi timbirhi 
cross-cousins,neefs en niggies,abazala,abazala nookanina,bomzala,abomzala ngehlangothini likababa nelikamma,bomotswala tswakana,bontsale-tota,bomotswala ba kopantsweng ke kgomo,vhazwala,vatswala
cultural determinists,kulturele deterministe,ababona ukuziphatha kwabantu kuphathelene namasiko nezemvelo,abamiseli benkcubeko,bancumi bemasiko,abahlaziyimasiko,balaetši ba setšo,batho ba ba dumelang gore setso se tlhotlhomisa maikutlo le maitsholo,ba reng setho se matla,vhatikedzi vha mvelelendangi,nkucetelo wa mfuwo wa rixaka
cultural evolution,kulturele evolusie,ukusombuluka kwendalo ngokwamasiko,ukukhula kwenkcubeko,kugucugucuka kwemasiko,itjhugulukosiko,tlhagelelo ya setšo,phetogo ya setso ya seka-ebolusi,phetophetoho ya setho,tshanduluwo ya mvelele,matumbulukelo ya ximfuwo
cultural materialism,kulturele materialisme,ithiyori yokubonakalayo ngokwamasiko,inkcubeko yezinto eziphathekayo,intfo yetemasiko,umtlhago wesayensi yesiko,dithoto tša setšo,tiori ya sedumedi le maemo a tikologo,meedi ya setho,mupo sa phaṱhamvelele,maluvisi
cultural relativism,kulturele relativisme,umbono wokuqondaniswa namasiko,ulwalamano lwenkcubeko,kuhlobana ngekwemasiko,ukuzwisisa amanye amasiko,kamanyo ya setšo,tumelo ya ngwao le setso,bohlokwa ba setho,ndingano ya mvelele,mfambelaniso wa ximfuwo
cultural universals,kulturele universale,amasiko emiphakathi yomhlaba,imimiselo jikelele yenkcubeko,kufanana kwemasiko,isikomazombe,bogohle bja setšo,dipharologantsho tse di tshwanang tsa setso ,tsa setho tse tshwanang lefatsheng,zwi fanaho zwa mvelele,mfuwo lowu khumbaka vanhu hinkwavo hi ku angarhela
culture of poverty,kultuur van armoede,isiko labampofu,inkcubeko yobuhlwempu,liso lebuphuya,umtlhago wamasiko,bodiidi bja setšo,mokgwa wa botshelo wa bohuma,matshwao a bofuma,tsiku ya mvelele,mfuwo wa vusweti 
culture shock,kultuurskok,ukushaqeka ngokwamasiko,umothuko wenkcubeko,kwetfweswa lisiko,ukuthukwa kwesiko,letšhogo la setšo,kakabalo ya setso,ho imelwa maikutlo ka lebaka la setho se itseng,dzhenewo ḽa mvelele,mfuwo wa ntshukiso
culture,kultuur,amasiko,inkcubeko ,lisiko,isiko,setšo,setso,botho,mvelele,mfuwo
data ,data,idatha,i-data (iinkcukacha) ,idatha,idatha,difiwa (data),deitha,dintlha (datha),data,switiviwa
deconstruction,dekonstruksie ,idiskhonstrakshini,ukudiliza,kuhlolisisa,ukutjhugulula into izwakale ngenye indlela,tshenollo,filosofi e e ka ga tlhoka-tlhomamo mo malatoding,tshenolo ,tshandulakuhumbulele,vonelohlanhlelelo
descent group,afkomsgroep,isizukulwana,iqela lezalamane,lusendvo,isiqhema seenhlobo zesiqhema,sehlopha sa boloko,setlhopha sa lotso,sehlopha sa kutu e le nngwe,tshigwada tsha mashaka,ntlawa wa ximanjhenjhe
descriptive kinship terms,beskrywende verwantskapterme,amathemu obundeni achazayo,amagama ezalamane achazayo,emagama ebuhlobo lachazako,ihlathululo yamathemu wobuhlobo,mareo a boloko,mareo a tlhaloso ya lotso,mareo a hlalosang leloko,mathemo a ṱhalusamashaka,mathemenhlamuselo ya vuxaka
dialectical materialism,dialektiese materialisme,ithiyori yokungqubuzana ngokwezidingo zezinto zasemhlabeni,ulwimi lwesizwana lwenkolo yokuxabisa izinto eziphathekayo kunezomoya,intfo yebulwimisigodzi,ukutjhejwa kwamalimi weengodi,dialectical materialism,kgotlhang ya gore diphetogo tsa sepolotiki di bakwa kwa kgotlhang ya loago,dikgohlano tse bakwang ke tlhahiso,khuḓanelatshanduko,mbhurisano wa mianakanyo na mavonelo mayelana ni ntshamiseko wa swa le mandleni ematshan'weni ya ntshamiseko wa le moyeni
diaspora,"verstrooiing, diaspora",ufuduko,ukuthi saa kwamakholwa,kuhlakateka,ifuduso,"diaspora, khudugo ya go rata goba ya kgapeletšo go tšwa nageng ya geno",khudugo,ho phatlalla ha batho ba naha lefatsheng,phusulelavhusavhase,matshamelo ya vanhu hi ku hangalaka ni matiko
diffusion,diffusie,ukunikezelana ngamasiko,"ukuphangalala, ukunwenwa","kuncibilika, kugwinyeka",ukusatjalaliswa,"tšhollo, phatlalatšo",kanamo ya dipharologantsho tsa setso,ho kopana ka setho,khadzimamikhuvha,ku hangalaka ka swiphemu swa mfuwo exikarhi ka vanhu na matiko
displacement,verplasing ,ukukwazi ukukhuluma ngezinto nezigameko ezingekho endaweni,ushenxiso ,kugudlulwa,ikghono lokukhuluma izinto ezingekho,go tšeela sebaka,bokgoni jwa go bua dilo tse di seng teng,"ho nkela, nkelwa sebaka ",vhudavhidzani,ku siviwa ka xiphemu xa masungulo handle ko swi lemuka
divination,voorspelling,ukubhula,ukuvumisa,"kubhula, kwenta umhlahlo",ukusetjenziswa kwamandla angaphezulu,taolelo ya bokamoso,ponelopele ya bokamoso,ho noha bokamoso ka moya,vhubvumbi,nhlahluvo
division of labour,verdeling van arbeid,ukwabiwa kwemisebenzi,ukwahlula umsebenzi,imitsetfo yekusebenta,ukuhlukaniswa komsebenzi,kabo ya mošomo,kabo ya ditiro,kabelano ya mosebetsi,u kovhekana mishumo,avelano wa mitirho
domestication,temming,ukwejwayeza izilwane nezimila indawo,ukuqhelanisa nomsebenzi wekhaya,kwenta intfo ibe yasekhaya,ukukhulisa iintjalo neenlana,boselapa,kgwabofatso,taolo ya tsa lapeng,vhufuwi,ndzimo wa swakudya
dowry,"bruidskat, bruidsprys, lobola",idowri,ikhazi,"umhlambiso, lilobolo",ilobolo,magadi,"bogadi jo bo duelwang monyadi, balelapa la monyadi",phahlo e yang bohading,dzekiso,cuma
ego,ego,i-igo,ubumna (i-ego),bumine,ukuzikhakhazisa,"boipono, boitsebo, ego",boene jwa motho,ego (maikutlo a ho inahanela),vhumuthundinnṋe,xiletelamaanakanyelo 
ego (in kinship charts),ego (in verwantskapkaarte),i-igo (emashadini obundeni),ubumna (i-ego) (kwiitshati zokuzalana),bumine (kumashadi ebudlelane),ukuzikhakhazisa (ngokwetjhadi yobuhlobo),ego/boipono/boitsebo mo go tšhate ya moloko,boene jwa motho ka sebele (mo ditšhateng tsa lotso),ego (boemo ba motho lelokong),vhumuthundinnṋe (kha tshati dza vhushaka),xiletelamaanakanyelo 
emic,emiese benadering,i-emikhi,i-emic,"kuchaza, kufundza",iqhinga lokurhubhulula,"emic, leano la nyakišišo",emiki,diphuputso tse elang hloko maikutlo a mmotsuwa,emiki,qhinga ra ndzavisiso wo thumba
enculturation,verkulturering,i-inkhalthureshini,ukuziqhelisa inkcubeko,kufundziswa lisiko,ukufunda isiko lomunye,thuto ya setšo,thutasetso,thuto ya setho,ngudamvelele,vutokotisamfuwo
endogamy,stamhuwelik ,i-endogami,ukutshata phakathi kwesizwe esithile kuphela,"umkhuba wekutsatsana, kushadana ngebuhlobo",i-endogami,"endogamy, nyalano ya ka gare ga sehlopha se se rilego sa leago","nyalano le ba setlhopha sa lotso, loago le le rileng",nyallano ya leloko,nzeongozwini,ku dya xivindzi
ethnocentrism,etnosentrisme,i-ethnosentrizimu,uthando lobuhlanga,kutsatsa sengatsi lisiko lakho ngulona lelingilo,umukghwa wokunyefula amasiko wabanye,bosemorafe,boikgogomoso jwa semorafe,ho ikgohomosa,khukhumusamurafho,mbonelahansi 
essentialism,essensialisme,i-esentshiyalizimu,inkolo yokuthi iqela ngalinye lineempawu zalo ezikhethekileyo,kubaluleka,ikolelo yokobana iintjhaba ezihlukeneko zinemikhuba ezihlukanisako,boswanedi,tumelo ya gore batho bangwe le bangwe ba kgethegile,mokgwa wa ho ikgetha,vhuhulwane,swihlawulekisi swa muxaka wa swona leswi vumbaka nchumu wo karhi
ethnic group,"etniese groep, volksgroep",isizwe ngokozalo,Iiqela lohlanga,luhlanga,isiqhema sesitjhaba,sehlopha sa morafe,morafe,morabe,"murafho, lushaka",ntlawa wa rixaka ro karhi
ethnic pluralism,etniese pluralisme,ukuhlalisana kwezizwe,ubuninzi beentlanga,buhlanganyenti,ubunengi beentjhaba,meraferafe,tshedisano ya merafe,merabe ya madulammoho,murafho minzhi,vunyingi bya tinxaka
ethnicity,etnisiteit,ubuzwe ngokozalo,ubuhlanga,buhlanga,ubutjhaba,bomoraferafe,botso,ho ikamahanya le morabe,vhumirafho,ntlawa wa ririmi ro karhi
ethnographic present,etnografiese hede,i-ethnografi ngokwesikhathi esithile,ubukho benzululwazi yobuhlanga,kuchazwa kwelisiko,ukuba khona kwamasiko,go ba gona ga taodišoserafe,tlhagiso ya morafe mo nakong ya jaanong,nako ya jwale e laolwang ke bomorabe,vhuhone ha murafho,"nhlamuselo ya vukona bya vanhu vo karhi ku ya hi swihlawulekisi swa mfuwo, ndhavuko na mukhuva wa vona"
ethnography,etnografie,i-ethnografi,inkcazo yenzululwazi ngobuhlanga,kuchazwa kwetive temhlaba,"ihlathululo yesiko, i-ethnografi",taodišoserafe,thadiso ya morafe,phuputso ya morabe o itseng,ngudamirafho,"nhlamuselo ya vanhu vo karhi ku ya hi swihlawulekisi swa mfuwo, ndhavuko na mikhuva ya vona"
ethnology,etnologie,isayensi lezezinhlobo zabantu,inzululwazi ngeentlanga,kwati ngetinhlobo tebantfu,"imadaniso lokuhlaziywa kamasiko, i-ethnoloji",thutaserafe,thadiso ya ditso,thuto ya merabe,mbambedzamirafho,dyondzo ya swihlawulekisi swa vuxaka bya vanhu na ku hambana ka vona
etic,etiese benadering,i-ethikhi,i-etic,luhlangotsi lwekwati ngetinhlobo tebantfu,i-ethikhi,etic,etiki,etic,ethiki,"mavonelo ehenhla ka nhlamuselo ya vanhu vo karhi ku ya hi swihlawulekisi swa mfuwo, ndhavuko na mikhuva ya vona"
evolutionary theories of social change,evolusionêre teorieë van sosiale verandering,amathiyori oguquko lomphakathi ngokokusombuluka kwendalo,"iithiyori, iingcinga zokudaleka kotshintsho lwezentlalo",imicondvo legucuka kancanekancane yekugucuka kwetenhlalo,amatiyori wemndabuko wokutjhuguluka komphakathi,diteori tša tlholego ya diphetogo tša leago,ditiori tsa ebolusi tsa phetogo ya loago,dikgopolo tsa diphetophetoho tse amang diphetoho setjhabeng,thyori dza tshandulatsiko dza tshandulakutshilele,tithiyori ta matumbulukelo ya munhu ta ku cinca ka vanhu
exogamy,eksogamie,i-ekizogami,ukutshata ngaphandle kohlanga,kushadela ngaphandle,ukutjhada umhlotjana,"lenyalo la ka ntle ga sehlopha, letsenela",nyalanontle,ho nyala ka ntle ho leloko,nzeamutsinda,ku vuta wa rixaka rimbe
extended family,grootfamilie,umndeni omkhulu,usapho olunabileyo,umndeni lowenabile,umndeni ongezekileko,lapa le le okeditšwego,lelapa le le atologileng,lelapa le atileng,lushaka,ndyangu ni maxaka ya wona
fallow,"braakland, onbewerkte land",ukulalisa insimu,phunyuziweyo,kugucula,ukwenza iintjalo zikhule zibe namandla,tsošološo ya monontšho wa mobu,legola,nontsho-botjha,vhuvhuvhu,ku buraka
family of orientation,oriënteringsgesin,umndeni esizalelwe kuwo,usapho lokuqhelanisa,umndeni lotalelwe kuwo,ijamo lomndeni,"lelapa, legae",lelapa le motho a golelang mo go lone,lapa la matswallwa,muṱatsinde,ndlandlamuko wa ndyangu
"feud, feuding","vete, twis, rusie",umbango,"imbambano, imbambano enodushe",umbango,"ukungazwani, ukulwa","ntwa, bonaba",letlhoo mo ditlhopheng tsa loago,dintwa,mitsutsu,mivangu ya xindyangu
feudalism,"leenstelsel, feudalisme",ifyudalizimu,inkqubo yokubusisa ngomhlaba,umbango,umbango,"feudalism, mokgwa wa leago wa Yuropa ya mehlagare",bobaba,kgatello ya setjhaba ke barui ,fiyudaḽizimu,mivangu ya xindyangu
fictive kin,fiktiewe verwante,ubundeni obungebona obegazi nangokomshado,izalamne zobuntsomirha,sihlobo lesikhulu,iindlela zobuhlobo,batho ba leloko la boitlhamelo,losika la maitirelo,sekaleloko,mashaka nga khuliso,"malume, hahani"
foraging,snuffelgedrag,ukuforija,ukutya kweempahla,kudla kwetilwane,ukuburuja,motsomi wa dibjalo le diphoofolo tša tlhago,kgobokanyo ya dijo,ho sela,u tshela,vuhloti
fraternal polyandry,broederlike veelmannery,ukugana izelamani,ukuba namadoda amaninzi azalanayo,i-fraternal polyandry,ukwenda kibobaba abanengi,lenyalo la mosadi o tee la go ama sete ya  borwarre,go nyalwa ke setlhopha sa bomorwarre,ho nyalwa ke bara ba motho,nzetshelannḓu,vukati bya nsati un'we eka vabuti vo tlula un'we
functional perspective,funksionele perspektief,umbono ngokwefankshinalizimu,imbono esebenzayo,incenye yeluhlangotsi,umbono osebenzako,ponego ya tirišo,ntlhatebo ya kamano ya setšhaba,kgopolo e sebetsang,ndangamikhuvha,mavonelo ya swa matirhelo ya xo karhi
functionalism,funksionalisme,ifankshinalizimu,amandla okwenza umsebenzi,kusebenta,ukuqakatheka kwento,teori ya go šoma,tiori ya tirisano ya setšhaba,ho sebetsa,tshumisano,nkoka wa nchumu wo karhi ku ya hi matirhelo ya wona
